,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.4115689470583965,0.7343376674806943,0.672967433093251
any_positive_classifications,0.27255305385250633,0.7342337139462742,0.6742697746041475
n_positive_classifications,0.28558882833580573,0.7434657778364465,0.6771068576681715
any_positive_ground_truth,0.31173968123993334,0.5994274305326381,0.5660904518989852
n_positive_ground_truth,0.29029731388971064,0.5998861461289684,0.5662179178501258
graph_laplacian_frac_pos_classifications_one_iter,0.4179318081271158,0.8053346313774667,0.7541181802497303
graph_laplacian_frac_pos_classifications_five_iter,0.441481339074875,0.8136855653092205,0.7553767455753866
graph_laplacian_n_positive_ground_truth_one_iter,0.30944570535510335,0.7144709920137285,0.6306146176407725
graph_laplacian_n_positive_ground_truth_five_iter,0.3581539687773567,0.7361329285195697,0.6419056545955981
OLS_pred_frac_positive_classifications,0.23444923780524005,0.7620025080852749,0.6737039030331746
OLS_pred_n_positive_ground_truth,0.22415194174503408,0.7624579235694013,0.6775471945902934
RandomForest_pred_frac_positive_classifications,0.4298568353471497,0.8051679757111742,0.7211044989043078
RandomForest_pred_n_positive_ground_truth,0.32125580519203234,0.7114810903570722,0.6433657191268454
bayesian_model_p_y,0.6436305347148249,0.8060557058940004,0.6918929080004841
bayesian_model_at_least_one_positive_by_area,0.3111737574353649,0.8797967130882449,0.8086272560829585
