"unique_key","created_date","closed_date","descriptor","incident_address","street_name","cross_street_1","cross_street_2","borough","latitude","longitude"
"58963531","2023-09-29T23:14:00.000","2023-10-03T15:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","239 BEACH BREEZE PLACE","BEACH BREEZE PLACE","AQUATIC DR","BEACH BREEZE DR","QUEENS","40.58972589939895","-73.8029590612194"
"58963532","2023-09-29T21:56:00.000","2023-09-30T12:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","629 WEST   46 STREET","WEST   46 STREET","11 AVE","PEDESTRIAN OVPS","MANHATTAN","40.76366914470393","-73.99712291005008"
"58955852","2023-09-29T21:11:00.000","2023-10-01T17:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.66035731370145","-73.93520173078407"
"58960455","2023-09-29T21:05:00.000","2023-10-02T10:25:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1402 AVENUE J","AVENUE J","E 14 ST","E 15 ST","BROOKLYN","40.62508787147075","-73.96216394817056"
"58966677","2023-09-29T20:47:00.000","2023-09-30T18:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1522 STADIUM AVENUE","STADIUM AVENUE","GRISWOLD AVE","AMPERE AVE","BRONX","40.84477307951467","-73.82031129687098"
"58960456","2023-09-29T20:41:00.000","2023-10-01T14:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","219 MOSEL AVENUE","MOSEL AVENUE","LEEWOOD LOOP","LEEWOOD LOOP","STATEN ISLAND","40.6101348868364","-74.07956649727524"
"58958958","2023-09-29T19:50:00.000","2023-10-06T08:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","60-01 170 STREET","170 STREET","ST MARYS CEMETERY BNDY","HORACE HARDING EXPY SR N","QUEENS","40.73885427486378","-73.79905382443026"
"58958959","2023-09-29T19:44:00.000","2023-10-02T11:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.759761930274834","-73.94081194460627"
"58963483","2023-09-29T19:32:00.000","2023-10-02T12:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.68210698128421","-73.84583301582548"
"58961996","2023-09-29T19:23:00.000","2023-09-30T08:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","700 MACON STREET","MACON STREET","RALPH AVE","HOWARD AVE","BROOKLYN","40.68420423813459","-73.92238949874377"
"58963484","2023-09-29T19:08:00.000","2023-10-01T10:25:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1368 EAST GUN HILL ROAD","EAST GUN HILL ROAD","SEYMOUR AVE","DYRE AVENUE LINE","BRONX","40.8702671993816","-73.84587043753002"
"58963485","2023-09-29T19:02:00.000","2023-10-01T13:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","723 4 AVENUE","4 AVENUE","23 ST","24 ST","BROOKLYN","40.6612813070868","-73.99715976533709"
"58965122","2023-09-29T18:56:00.000","2023-10-01T10:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1806 EAST GUN HILL ROAD","EAST GUN HILL ROAD","ALLERTON AVE","NEW ENGLAND THRWY EXIT 10  NB","BRONX","40.863902008993634","-73.83383885556813"
"58963486","2023-09-29T18:50:00.000","2023-10-02T11:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","53-05 ROOSEVELT AVENUE","ROOSEVELT AVENUE","53 ST","54 ST","QUEENS","40.744528876896325","-73.91133745195823"
"58955856","2023-09-29T18:41:00.000","2023-10-04T18:55:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","416 BEACH  137 STREET","BEACH  137 STREET","NEWPORT AVE","CRONSTON AVE","QUEENS","40.57610522298087","-73.85594824756292"
"58965123","2023-09-29T18:41:00.000","2023-10-01T17:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","6801 OWLS HEAD COURT","OWLS HEAD COURT","68 ST","BAY RIDGE AVE","BROOKLYN","40.639221854180924","-74.03444267584811"
"58958963","2023-09-29T18:29:00.000","2023-09-30T21:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BRONX","40.86831999695185","-73.83315893248766"
"58960459","2023-09-29T18:17:00.000","2023-09-30T09:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.62296532328402","-73.91093697712262"
"58966682","2023-09-29T18:08:00.000","2023-09-30T08:55:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1152 EAST   72 STREET","EAST   72 STREET","AVENUE K","AVENUE L","BROOKLYN","40.62671249921753","-73.91527658400013"
"58966683","2023-09-29T18:05:00.000","2023-10-01T12:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","2935 WEST    3 STREET","WEST    3 STREET","W 2 PL","W BRIGHTON AVE","BROOKLYN","40.5774737693206","-73.97127690766081"
"58961998","2023-09-29T17:59:00.000","2023-10-02T12:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","80-19 155 AVENUE","155 AVENUE","80 ST","81 ST","QUEENS","40.66416061269918","-73.85346921664065"
"58966685","2023-09-29T17:47:00.000","2023-10-01T11:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.64508338357479","-73.98482933354167"
"58963493","2023-09-29T17:44:00.000","2023-09-30T17:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","269 4 AVENUE","4 AVENUE","GARFIELD PL","1 ST","BROOKLYN","40.675536654096085","-73.98438258051942"
"58955847","2023-09-29T17:20:00.000","2023-09-29T17:53:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","141 HAVEN AVENUE","HAVEN AVENUE","ADAMS AVE","HUNTER AVE","STATEN ISLAND","40.57890373939722","-74.09834244727871"
"58962000","2023-09-29T17:14:00.000","2023-09-30T13:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1199 SHEEPSHEAD BAY ROAD","SHEEPSHEAD BAY ROAD","AVENUE X","E 13 ST","BROOKLYN","40.59097379639326","-73.95715688957668"
"58958965","2023-09-29T17:11:00.000","2023-10-02T13:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","49-17 39 AVENUE","39 AVENUE","49 ST","50 ST","QUEENS","40.74901613386482","-73.91442448482849"
"58965124","2023-09-29T17:08:00.000","2023-10-02T14:25:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","180-00 64 AVENUE","64 AVENUE","UTOPIA PKWY","181 ST","QUEENS","40.737948452149325","-73.79282825795549"
"58966686","2023-09-29T17:05:00.000","2023-10-03T11:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","45-29 43 STREET","43 STREET","QUEENS BLVD","47 AVE","QUEENS","40.74254641431839","-73.92165752562363"
"58963494","2023-09-29T17:05:00.000","2023-10-02T11:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","45-20 30 AVENUE","30 AVENUE","45 ST","46 ST","QUEENS","40.76189719952214","-73.91076564146674"
"58957450","2023-09-29T17:05:00.000","2023-09-29T17:58:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","28 TREADWELL AVENUE","TREADWELL AVENUE","RICHMOND TER","STATEN ISLAND RAILWAY LINE","STATEN ISLAND","40.63927904476239","-74.13771322392358"
"58955861","2023-09-29T17:02:00.000","2023-10-01T12:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","481 HICKS STREET","HICKS STREET","KANE ST","DE GRAW ST","BROOKLYN","40.68639329074028","-74.00007932575409"
"58965127","2023-09-29T16:59:00.000","2023-10-02T12:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","39-18 47 AVENUE","47 AVENUE","39 ST","39 PL","QUEENS","40.741942658773304","-73.92594179063686"
"58960463","2023-09-29T16:59:00.000","2023-10-02T12:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","45-06 SKILLMAN AVENUE","SKILLMAN AVENUE","45 ST","46 ST","QUEENS","40.74664506875462","-73.91876552294285"
"58965128","2023-09-29T16:56:00.000","2023-09-30T16:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1309 RANDALL AVENUE","RANDALL AVENUE","FAILE ST","BRYANT AVE","BRONX","40.812287363504595","-73.88546088203935"
"58965129","2023-09-29T16:50:00.000","2023-10-02T11:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","50-19 BROADWAY","BROADWAY","49 ST","51 ST","QUEENS","40.75497197513116","-73.91046811700716"
"58958966","2023-09-29T16:47:00.000","2023-10-03T12:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","45-18 48 AVENUE","48 AVENUE","45 ST","46 ST","QUEENS","40.73937792676548","-73.92013842835267"
"58965130","2023-09-29T16:47:00.000","2023-10-03T11:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","48-32 38 STREET","38 STREET","48 AVE","GREENPOINT AVE","QUEENS","40.739495629976055","-73.92797614734349"
"58955862","2023-09-29T16:47:00.000","2023-10-01T07:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","772 EDGEWATER ROAD","EDGEWATER ROAD","AVENUE A","DRAKE ST","BRONX","40.817107454371914","-73.8830825884011"
"58965131","2023-09-29T16:44:00.000","2023-10-02T11:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","48-04 SKILLMAN AVENUE","SKILLMAN AVENUE","48 ST","49 ST","QUEENS","40.74632743718906","-73.91599783678292"
"58962002","2023-09-29T16:44:00.000","2023-09-29T16:44:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","50 BAYARD STREET","BAYARD STREET","ROEBLING ST","LORIMER ST","BROOKLYN","40.718971247692856","-73.9504981763995"
"58955863","2023-09-29T16:44:00.000","2023-10-02T10:25:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","42-11 66 STREET","66 STREET","WOODSIDE AVE","43 AVE","QUEENS","40.74299465137698","-73.89817105001961"
"58962003","2023-09-29T16:41:00.000","2023-10-02T11:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","31-67 45 STREET","45 STREET","NEWTOWN RD","BROADWAY","QUEENS","40.757900819772466","-73.91434087856113"
"58965132","2023-09-29T16:32:00.000","2023-09-30T12:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","185 7 AVENUE","7 AVENUE","W 20 ST","W 21 ST","MANHATTAN","40.74266633301621","-73.99667272183085"
"58965133","2023-09-29T16:32:00.000","2023-10-03T09:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","39-70 47 STREET","47 STREET","39 AVE","SKILLMAN AVE","QUEENS","40.74730798743465","-73.91692772617075"
"58963498","2023-09-29T16:32:00.000","2023-10-02T11:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","31-65 45 STREET","45 STREET","NEWTOWN RD","BROADWAY","QUEENS","40.75793647995861","-73.9143119559775"
"58960464","2023-09-29T16:29:00.000","2023-10-03T09:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","47-01 BARNETT AVENUE","BARNETT AVENUE","39 AVE","48 ST","QUEENS","40.750030016781785","-73.91587767476219"
"58965134","2023-09-29T16:29:00.000","2023-10-03T13:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","50-64 47 STREET","47 STREET","50 AVE","LAUREL HILL BLVD","QUEENS","40.736143924945736","-73.91916081702591"
"58957462","2023-09-29T16:23:00.000","2023-10-02T09:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","49-65 VAN DAM STREET","VAN DAM STREET","LIE WB ENTRANCE VAN DAM ST","BORDEN AVE","QUEENS","40.73839631764586","-73.93482271974253"
"58966689","2023-09-29T16:20:00.000","2023-10-02T09:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.76170558558476","-73.9315799738943"
"58957466","2023-09-29T16:20:00.000","2023-09-30T11:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","77 SULLIVAN STREET","SULLIVAN STREET","BROOME ST","SPRING ST","MANHATTAN","40.7247595442026","-74.00377735812228"
"58958969","2023-09-29T16:17:00.000","2023-10-02T12:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.75117133098466","-73.91519409018495"
"58962007","2023-09-29T16:17:00.000","2023-09-30T13:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","626 BEACH   67 STREET","BEACH   67 STREET","ALMEDA AVE","DE COSTA AVE","QUEENS","40.59771325751674","-73.79664105321731"
"58963499","2023-09-29T16:14:00.000","2023-09-30T11:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","4602 AVENUE I","AVENUE I","E 46 ST","SCHENECTADY AVE","BROOKLYN","40.63027251765241","-73.93182640387"
"58955865","2023-09-29T16:11:00.000","2023-10-01T15:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.62770164762666","-73.99972980910859"
"58955866","2023-09-29T16:08:00.000","2023-10-04T10:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","50-03 WEEKS LANE","WEEKS LANE","50 AVE","51 AVE","QUEENS","40.749529335603135","-73.78135486563443"
"58960452","2023-09-29T16:05:00.000","2023-09-29T17:57:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","28 TREADWELL AVENUE","TREADWELL AVENUE","RICHMOND TER","STATEN ISLAND RAILWAY LINE","STATEN ISLAND","40.63927904476239","-74.13771322392358"
"58958970","2023-09-29T15:56:00.000","2023-09-30T11:55:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","25 EAST   51 STREET","EAST   51 STREET","REMSEN AVE","RUTLAND RD","BROOKLYN","40.66152926771643","-73.93038875417611"
"58958952","2023-09-29T15:53:00.000","2023-09-29T16:23:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","3300 AMPERE AVENUE","AMPERE AVENUE","BAY VIEW AVE","OUTLOOK AVE","BRONX","40.8461050021273","-73.81728607657797"
"58966690","2023-09-29T15:53:00.000","2023-10-01T11:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","105 BRIGHTON   11 STREET","BRIGHTON   11 STREET","OCEAN VIEW AVE","BRIGHTON BEACH AVE","BROOKLYN","40.57990422647543","-73.95773638523328"
"58963500","2023-09-29T15:50:00.000","2023-10-03T13:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","826 EAST  178 STREET","EAST  178 STREET","MAPES AVE","MARMION AVE","BRONX","40.84435783768599","-73.88668150369175"
"58966691","2023-09-29T15:47:00.000","2023-09-30T16:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","466 FANNING STREET","FANNING STREET","PORTAGE AVE","MANOR RD","STATEN ISLAND","40.60042461073612","-74.12237531898012"
"58965141","2023-09-29T15:35:00.000","2023-10-01T12:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","162 LAMOKA AVENUE","LAMOKA AVENUE","ABINGDON AVE","NOTRE DAME AVE","STATEN ISLAND","40.55045540781721","-74.15631013054224"
"58960469","2023-09-29T15:32:00.000","2023-10-01T10:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.64948118580735","-73.97335408483526"
"58960470","2023-09-29T15:29:00.000","2023-10-02T11:35:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","201 ONDERDONK AVENUE","ONDERDONK AVENUE","STARR ST","WILLOUGHBY AVE","QUEENS","40.710262640724345","-73.9178179344332"
"58965142","2023-09-29T15:26:00.000","2023-10-02T13:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","240-25 BRADDOCK AVENUE","BRADDOCK AVENUE","241 ST","241 ST","QUEENS","40.72638861733689","-73.72747472944613"
"58958971","2023-09-29T15:23:00.000","2023-10-01T11:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","5102 11 AVENUE","11 AVENUE","51 ST","52 ST","BROOKLYN","40.636479459771714","-73.99779134929567"
"58955867","2023-09-29T15:20:00.000","2023-09-30T10:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","305 TROY AVENUE","TROY AVENUE","EASTERN PKWY","UNION ST","BROOKLYN","40.66824116783167","-73.9367260843877"
"58963504","2023-09-29T15:11:00.000","2023-09-29T15:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","10583 FLATLANDS    3 STREET","FLATLANDS    3 STREET","E 105 ST","E 108 ST","BROOKLYN","40.64492328629099","-73.88850124473977"
"58966693","2023-09-29T15:11:00.000","2023-09-30T09:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"MANHATTAN","40.81275135243847","-73.9455695281346"
"58965144","2023-09-29T14:59:00.000","2023-09-29T17:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","15 WHEELER AVENUE","WHEELER AVENUE","VICTORY BLVD","PURDY AVE","STATEN ISLAND","40.611910044273735","-74.1312421409431"
"58957468","2023-09-29T14:59:00.000","2023-09-30T09:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1334 DEAN STREET","DEAN STREET","NEW YORK AVE","BROOKLYN AVE","BROOKLYN","40.67660051097955","-73.94498124306344"
"58958976","2023-09-29T14:56:00.000","2023-10-03T08:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","117-43 196 STREET","196 STREET","LINDEN BLVD","118 AVE","QUEENS","40.692358711307314","-73.75550304684532"
"58957469","2023-09-29T14:56:00.000","2023-09-29T22:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","101 CROMWELL AVENUE","CROMWELL AVENUE","PLATTSBURG ST","JEFFERSON ST","STATEN ISLAND","40.59122812641793","-74.09808335266789"
"58963506","2023-09-29T14:53:00.000","2023-10-02T12:35:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","97-16 99 AVENUE","99 AVENUE","97 ST","98 ST","QUEENS","40.68575552229663","-73.84433903735491"
"58957470","2023-09-29T14:53:00.000","2023-10-04T10:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","43-34 192 STREET","192 STREET","43 RD","44 AVE","QUEENS","40.75694960343016","-73.7893617492808"
"58962013","2023-09-29T14:53:00.000","2023-09-30T07:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","87 GRAHAM AVENUE","GRAHAM AVENUE","SEIGEL ST","MC KIBBIN ST","BROOKLYN","40.70464000543895","-73.94277243888257"
"58963507","2023-09-29T14:47:00.000","2023-09-30T09:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","253-46 148 AVENUE","148 AVENUE","253 ST","WELLER LN","QUEENS","40.65514908448996","-73.73627489678458"
"58955870","2023-09-29T14:47:00.000","2023-09-30T10:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","512 BEACH   32 STREET","BEACH   32 STREET","ROCKAWAY FRWY","FAR ROCKAWAY BLVD","QUEENS","40.597746718427686","-73.76523715087332"
"58955871","2023-09-29T14:47:00.000","2023-09-30T17:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","820 ST ANNS AVENUE","ST ANNS AVENUE","E 158 ST","E 159 ST","BRONX","40.821166285763645","-73.90992381729878"
"58960473","2023-09-29T14:47:00.000","2023-10-03T13:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","120-01 97 AVENUE","97 AVENUE","120 ST","121 ST","QUEENS","40.691522584437166","-73.82541210426163"
"58960474","2023-09-29T14:44:00.000","2023-10-01T10:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1989 WEST    9 STREET","WEST    9 STREET","AVENUE S","AVENUE T","BROOKLYN","40.5989757906608","-73.98087511373262"
"58957471","2023-09-29T14:44:00.000","2023-10-07T11:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.653646050303536","-73.7320065384819"
"58965145","2023-09-29T14:41:00.000","2023-10-02T09:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","84-28 63 AVENUE","63 AVENUE","84 PL","WOODHAVEN BLVD","QUEENS","40.72392361556807","-73.87039165437368"
"58955872","2023-09-29T14:38:00.000","2023-09-30T09:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","260 ROGERS AVENUE","ROGERS AVENUE","CARROLL ST","CROWN ST","BROOKLYN","40.667156769475135","-73.95355014024635"
"58960479","2023-09-29T14:38:00.000",,"Catch Basin Clogged/Flooding (Use Comments) (SC)","1652 66 STREET","66 STREET","CAMERON CT","WALLASTON CT","BROOKLYN","40.62054857559387","-73.99416810433256"
"58965148","2023-09-29T14:32:00.000","2023-09-30T20:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.681496249864225","-74.00920111176733"
"58962014","2023-09-29T14:32:00.000","2023-10-02T11:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","259-24 148 AVENUE","148 AVENUE","259 ST","FRANCIS LEWIS BLVD","QUEENS","40.65497201333468","-73.72859179490622"
"58966695","2023-09-29T14:32:00.000","2023-09-30T09:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","2228 RALPH AVENUE","RALPH AVENUE","E 66 ST","AVENUE M","BROOKLYN","40.6233216802379","-73.91767642462015"
"58957472","2023-09-29T14:26:00.000","2023-10-02T11:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","125-15 172 STREET","172 STREET","125 AVE","126 AVE","QUEENS","40.681342632057415","-73.77227275225118"
"58966696","2023-09-29T14:26:00.000","2023-09-30T14:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","357 BEACH   89 STREET","BEACH   89 STREET","GULL CT","BEACH CHANNEL DR","QUEENS","40.58950658987549","-73.81467211294711"
"58963508","2023-09-29T14:20:00.000","2023-10-04T19:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","193 BEACH   97 STREET","BEACH   97 STREET","SHORE FRONT PKWY","ROCKAWAY BEACH BLVD","QUEENS","40.584618877630625","-73.818606326012"
"58963509","2023-09-29T14:20:00.000","2023-09-30T11:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","428 BEACH   64 STREET","BEACH   64 STREET","BEACH CHANNEL DR","THURSBY AVE","QUEENS","40.59375482266478","-73.79332603981541"
"58963510","2023-09-29T14:20:00.000","2023-09-30T13:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1168 HANCOCK STREET","HANCOCK STREET","CENTRAL AVE","WILSON AVE","BROOKLYN","40.691100072473866","-73.91227393194279"
"58958978","2023-09-29T14:17:00.000","2023-10-02T10:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","33-04 93 STREET","93 STREET","NORTHERN BLVD","34 AVE","QUEENS","40.756314167728156","-73.87509317676164"
"58958979","2023-09-29T14:14:00.000","2023-09-30T11:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","106 CENTRAL PARK SOUTH","CENTRAL PARK SOUTH","AVENUE OF THE AMERICAS","7 AVE","MANHATTAN","40.765868110594646","-73.97671537880294"
"58962015","2023-09-29T14:11:00.000","2023-09-29T17:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","2987 8 AVENUE","8 AVENUE","HARLEM RIVER DRIVE SERVICE RD W","HARLEM RIVER DRIVE SERVICE RD W","MANHATTAN","40.830729904331186","-73.93613432501654"
"58966697","2023-09-29T14:11:00.000","2023-09-30T11:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","555 BEACH   66 STREET","BEACH   66 STREET","THURSBY AVE","ALMEDA AVE","QUEENS","40.59610000128693","-73.7954828919409"
"58965152","2023-09-29T14:05:00.000","2023-10-03T10:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","65 EAST  193 STREET","EAST  193 STREET","MORRIS AVE","CRESTON AVE","BRONX","40.86607493877005","-73.89651470631901"
"58963512","2023-09-29T14:05:00.000","2023-10-01T12:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1751 46 STREET","46 STREET","17 AVE","18 AVE","BROOKLYN","40.63054353590783","-73.9801491304016"
"58957474","2023-09-29T14:05:00.000","2023-09-29T19:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","125 ALEX CIRCLE","ALEX CIRCLE","BEND","BEND","STATEN ISLAND","40.59212133108528","-74.06565741541688"
"58960480","2023-09-29T13:53:00.000","2023-09-30T08:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.57732350999485","-74.00569132799167"
"58966698","2023-09-29T13:53:00.000","2023-09-29T18:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","563 ELTINGVILLE BOULEVARD","ELTINGVILLE BOULEVARD","BARLOW AVE","GURLEY AVE","STATEN ISLAND","40.5588771933918","-74.16749703547168"
"58962017","2023-09-29T13:53:00.000","2023-10-01T11:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","71-33 166 STREET","166 STREET","71 AVE","72 AVE","QUEENS","40.729584289034406","-73.80328517079926"
"58958982","2023-09-29T13:50:00.000","2023-10-02T10:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","196-03 89 AVENUE","89 AVENUE","196 ST","197 ST","QUEENS","40.71649509920158","-73.7654970726791"
"58960481","2023-09-29T13:44:00.000","2023-10-07T09:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","92-29 195 PLACE","195 PLACE","BEND","SAGAMORE AVE","QUEENS","40.71283990638524","-73.76456485646578"
"58960482","2023-09-29T13:41:00.000","2023-09-29T16:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","228 MILTON AVENUE","MILTON AVENUE","EBBITTS ST","FINLEY RD","STATEN ISLAND","40.561529724328","-74.10687524509181"
"58965154","2023-09-29T13:41:00.000","2023-10-03T12:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","19 WEST  170 STREET","WEST  170 STREET","E 170 ST","JEROME AVE","BRONX","40.84030013147602","-73.9178669113313"
"58965153","2023-09-29T13:41:00.000","2023-10-01T13:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","453 WEST   40 STREET","WEST   40 STREET","LINCOLN TUNNEL BUS APPR","LINCOLN TUNNEL BUS EXIT","MANHATTAN","40.75798747602805","-73.99555298309669"
"58965155","2023-09-29T13:38:00.000","2023-10-01T12:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.59064830580026","-73.9692981414551"
"58957478","2023-09-29T13:29:00.000","2023-09-30T12:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","287 EAST   55 STREET","EAST   55 STREET","CHURCH AVE","SNYDER AVE","BROOKLYN","40.65104110480821","-73.92544806690753"
"58962020","2023-09-29T13:26:00.000","2023-09-30T08:35:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.63109318936509","-73.89834899825729"
"58955877","2023-09-29T13:23:00.000","2023-09-29T19:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","39 ETON PLACE","ETON PLACE","RICHMOND AVE","WILLOWBROOK PARK BNDY","STATEN ISLAND","40.604411557381525","-74.16120816935823"
"58960486","2023-09-29T13:17:00.000","2023-09-29T14:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1247 VIRGINIA AVENUE","VIRGINIA AVENUE","ELLIS AVE","NEWBOLD AVE","BRONX","40.83182222988048","-73.8611149450238"
"58957479","2023-09-29T13:14:00.000","2023-10-05T10:35:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","61-06 BROADWAY","BROADWAY","61 ST","62 ST","QUEENS","40.7506960438945","-73.90088422299608"
