"unique_key","created_date","closed_date","descriptor","incident_address","street_name","cross_street_1","cross_street_2","borough","latitude","longitude"
"58790051","2023-09-12T18:32:00.000","2023-09-13T08:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"STATEN ISLAND","40.55968273457773","-74.10658797891037"
"58797221","2023-09-12T17:47:00.000","2023-09-19T09:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"MANHATTAN","40.80060708632093","-73.9422709548309"
"58788671","2023-09-12T17:47:00.000","2023-09-18T10:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","104-01 103 AVENUE","103 AVENUE","104 ST","105 ST","QUEENS","40.68428647592829","-73.83794611780961"
"58795794","2023-09-12T17:08:00.000","2023-09-12T23:33:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BRONX","40.88431935104054","-73.91373678710868"
"58797222","2023-09-12T17:05:00.000","2023-09-13T09:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","4603 FORT HAMILTON PARKWA","FORT HAMILTON PARKWA","46 ST","47 ST","BROOKLYN","40.639723735324495","-73.99562211896198"
"58790052","2023-09-12T16:53:00.000","2023-09-15T09:35:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","45-08 40 STREET","40 STREET","QUEENS BLVD","47 AVE","QUEENS","40.743261867919564","-73.92437771592748"
"58798680","2023-09-12T16:41:00.000","2023-09-14T13:55:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","45-09 39 PLACE","39 PLACE","QUEENS BLVD","47 AVE","QUEENS","40.743366759582834","-73.92528340587957"
"58791520","2023-09-12T16:23:00.000","2023-09-28T12:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","837 WILCOX AVENUE","WILCOX AVENUE","PHILIP AVE","LAFAYETTE AVE","BRONX","40.831611120632644","-73.81789321311642"
"58795798","2023-09-12T16:17:00.000","2023-09-16T08:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","68-66 147 STREET","147 STREET","68 DR","69 AVE","QUEENS","40.73215686268224","-73.82230722652598"
"58792946","2023-09-12T16:17:00.000","2023-09-18T08:25:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","3-15 126 STREET","126 STREET","LAX AVE","5 AVE","QUEENS","40.79347526877845","-73.8416385585091"
"58790053","2023-09-12T16:05:00.000","2023-09-16T09:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","128-18 POWELLS COVE BOULEVARD","POWELLS COVE BOULEVARD","128 ST","129 ST","QUEENS","40.79322540180107","-73.83958420471366"
"58790054","2023-09-12T15:59:00.000","2023-09-15T12:35:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","63-25 252 STREET","252 STREET","63 AVE","CULLMAN AVE","QUEENS","40.755897195818875","-73.72615564891773"
"58792947","2023-09-12T15:47:00.000","2023-09-19T12:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"MANHATTAN","40.77623737171041","-73.94381935756766"
"58797223","2023-09-12T15:23:00.000","2023-09-21T09:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BRONX","40.90631295039103","-73.89750478707354"
"58795799","2023-09-12T15:14:00.000","2023-09-13T12:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","50 CHURCHILL AVENUE","CHURCHILL AVENUE","AMBASSADOR LN","AMBASSADOR LN","STATEN ISLAND","40.52930660041303","-74.21851828081111"
"58794372","2023-09-12T15:08:00.000","2023-09-19T09:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","488 EAST  163 STREET","EAST  163 STREET","BROOK AVE","E 163 ST","BRONX","40.824405131686454","-73.91002421565749"
"58792948","2023-09-12T15:02:00.000","2023-09-21T09:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BRONX","40.88319444190455","-73.91429155457689"
"58794373","2023-09-12T14:59:00.000","2023-09-13T17:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","196 WATCHOGUE ROAD","WATCHOGUE ROAD","ST JOHN AVE","NEAL DOW AVE","STATEN ISLAND","40.615719925188785","-74.1358780765991"
"58788672","2023-09-12T14:59:00.000","2023-09-13T06:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","4121 AVENUE T","AVENUE T","COLEMAN ST","HENDRICKSON ST","BROOKLYN","40.61058308407436","-73.92572375244711"
