,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.500741394602943,0.7413583890856619,0.670569078879568
any_positive_classifications,0.2640230358248806,0.7403351698806244,0.6717967413483933
n_positive_classifications,0.2723863861792403,0.7484471336744063,0.673918420347507
any_positive_ground_truth,0.3033981633119087,0.6238783943329398,0.5704920440258053
n_positive_ground_truth,0.3413898257846021,0.624512987012987,0.5706099150813116
graph_laplacian_frac_pos_classifications_one_iter,0.5017097084891482,0.8138970877607241,0.726804522126265
graph_laplacian_frac_pos_classifications_five_iter,0.5036448159439947,0.820303686212777,0.7305763959024671
graph_laplacian_n_positive_ground_truth_one_iter,0.35630884295926496,0.7514856355765447,0.6442831893975307
graph_laplacian_n_positive_ground_truth_five_iter,0.39853880838767364,0.7596812278630461,0.6433002864975164
OLS_pred_frac_positive_classifications,0.2374861222549008,0.7701298701298701,0.6806609023641198
OLS_pred_n_positive_ground_truth,0.2036038061857607,0.78370720188902,0.6887998021312116
RandomForest_pred_frac_positive_classifications,0.5080105972224658,0.7803800996982815,0.7178469660119133
RandomForest_pred_n_positive_ground_truth,0.35306314800212896,0.76577626918536,0.6724253869777604
bayesian_model_p_y,0.6028797153643896,0.7971992653810835,0.6763196405383679
bayesian_model_at_least_one_positive_by_area,0.3077164017568533,0.8793683589138134,0.7861393944390626
