,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.48854343578395576,0.7475512702785431,0.679345715123699
any_positive_classifications,0.24462460324593674,0.7493552546744036,0.681236276584782
n_positive_classifications,0.2791852268916137,0.7570124194882415,0.684582081546482
any_positive_ground_truth,0.2913426585014727,0.5983480843248735,0.5643147606477849
n_positive_ground_truth,0.25045797716141416,0.598507642511511,0.5643748728395943
graph_laplacian_frac_pos_classifications_one_iter,0.495841235087935,0.7938654761672169,0.7367627669047373
graph_laplacian_frac_pos_classifications_five_iter,0.5199362265742054,0.7939550241291053,0.7346092971761802
graph_laplacian_n_positive_ground_truth_one_iter,0.2636779511264652,0.7138893773323174,0.6265539992443039
graph_laplacian_n_positive_ground_truth_five_iter,0.2949580929993292,0.7626881321272037,0.6650898776353582
OLS_pred_frac_positive_classifications,0.20991162197108157,0.7510989977140847,0.6653177755054048
OLS_pred_n_positive_ground_truth,0.20696734770997097,0.7720206579007354,0.6799402313064296
RandomForest_pred_frac_positive_classifications,0.49690459561247,0.8077405258256323,0.722372832988514
RandomForest_pred_n_positive_ground_truth,0.2647539108993775,0.7217337787937401,0.6382335999408126
bayesian_model_p_y,0.5928942841107393,0.7947202521670608,0.6847703450043465
bayesian_model_at_least_one_positive_by_area,0.29607217288270393,0.8877426749767175,0.8004473403988278
