,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.48152606206748444,0.7699337835179965,0.6784099712408868
any_positive_classifications,0.24690263208790322,0.7701993050547433,0.6805032314206578
n_positive_classifications,0.3406183044794184,0.777738805480889,0.6831987350235061
any_positive_ground_truth,0.2963937672639429,0.6310250442535894,0.5666838673048148
n_positive_ground_truth,0.2993817124214153,0.6317331016849144,0.5668629484989016
graph_laplacian_frac_pos_classifications_one_iter,0.4856773023237043,0.8169737100898183,0.7399263512007725
graph_laplacian_frac_pos_classifications_five_iter,0.5001584255717254,0.8151871762931883,0.7406068597383028
graph_laplacian_n_positive_ground_truth_one_iter,0.32122462297902904,0.737186127319216,0.6413627150300857
graph_laplacian_n_positive_ground_truth_five_iter,0.3636535014677875,0.7391300072116961,0.6511259564262291
OLS_pred_frac_positive_classifications,0.23874380191722996,0.7780698878909067,0.6736013095478134
OLS_pred_n_positive_ground_truth,0.20961325937438433,0.7823674031338097,0.6809184344854666
RandomForest_pred_frac_positive_classifications,0.5003240166074824,0.8125122926637383,0.7085811728624337
RandomForest_pred_n_positive_ground_truth,0.32374132273597134,0.7455615288795647,0.6688782088696925
bayesian_model_p_y,0.5886717387818674,0.8074182128105947,0.6786898685146078
bayesian_model_at_least_one_positive_by_area,0.3053946568683737,0.8941585261915688,0.7997447761352422
