BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,empirical_estimate_ct,p_y,p_y_CI_lower,p_y_CI_upper,empirical_estimate_p_alop,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,n_children,n_elderly,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_1_frac,dep_moderate_2_area,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Queens,4076901,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,0.0,0.0009636834571095,1.151838851251296e-05,0.0060763895474058,0.0,0.2498835874437451,0.005479236885286,0.9453758759238908,4912,2456,145,1262,777,904,815,2403,2204,2128,99122,331,1006,1223,463,63.0,118.0,81.80578917496517,1938314.6638427908,0.0,124561.9295372201,0.06426300737480406,131058.25419737321,0.06761453991043162,36081076901,0,0,0,0,0
Queens,4076902,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,0.0,0.0014515991874423,1.9639701810172117e-05,0.0086475570163432,0.0,0.3419823737904591,0.0099274606748897,0.9878698747127442,1245,427,2,235,517,287,116,585,551,528,113042,134,321,270,63,74.0,112.0,94.8709090909091,1097829.1726935103,0.0,17561.202995426684,0.01599629836064612,17561.202995426684,0.01599629836064612,36081076902,1,0,0,0,0
Queens,4029900,St. Michael's Cemetery,QN01 Astoria-Queensbridge (CD 1 Equivalent),4401,0.0021367521367521,0.0068854468388877,0.000412874499357,0.0271359854515703,0.0021367521367521,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,20.0,69.0,38.46992207081985,4388336.788281635,0.0,10899.328930252195,0.002483703839540562,17906.47457844182,0.004080469536034301,36081029900,0,0,0,0,0
Queens,4031700,Astoria (North)-Ditmars-Steinway,QN01 Astoria-Queensbridge (CD 1 Equivalent),4401,0.0041472265422498,0.0164597457576238,0.0048722375051983,0.037089146123415,0.0041472265422498,1.0,1.0,1.0,5414,3413,612,1095,294,1071,803,2196,2015,1934,71822,733,1148,555,234,0.0,94.0,37.5236536456439,8247622.36245121,0.0,36991.718261765884,0.004485137247575418,98729.54020068381,0.011970666922162667,36081031700,0,1,1,0,0
Manhattan,1002500,Chinatown-Two Bridges,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0046620046620046,0.0200910091268471,0.0038416131974227,0.0518368750874814,0.0046620046620046,1.0,1.0,1.0,5162,177,1584,1425,1628,1259,1207,1980,1210,1382,21949,739,349,196,698,0.0,25.0,10.97607893242476,1408270.4684204182,0.0,23729.890708469888,0.016850378702527532,24520.409224977582,0.017411718682477817,36061002500,0,2,0,0,0
Bronx,2027401,Pelham Bay-Country Club-City Island,BX10 Co-op City-Throgs Neck (CD 10 Approximation),4210,0.0,0.0017013728065293,3.5584759107408866e-05,0.0088696710743805,0.0,0.4602280317086406,0.0238381690656867,0.9976195486434664,4894,2810,0,1922,113,1185,759,1755,1519,1587,89925,800,883,465,119,5.0,43.0,19.786369593709043,7554302.56269832,0.0,30065.43646267522,0.003979908960905606,50280.94972793733,0.006655935383924772,36005027401,1,0,1,0,0
Bronx,2027402,Pelham Bay-Country Club-City Island,BX10 Co-op City-Throgs Neck (CD 10 Approximation),4210,0.0,0.0141419017513726,1.1977192560566588e-05,0.1161955191617651,0.0,0.0953696819972464,0.0001437168431976,0.7728700537178074,3512,1950,110,962,37,718,827,1253,1137,1048,101142,638,828,453,29,0.0,35.0,16.275830048182215,5709376.363543871,0.0,0.0,0.0,0.0,0.0,36005027402,2,0,5,0,0
Queens,4071306,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,0.0,0.000589147849591,5.018419017985948e-06,0.003951144198435,0.0,0.1794011324312579,0.0025961716762518,0.8713611866942051,6882,2993,874,1289,1358,1561,971,3063,2784,2795,81458,690,1929,1111,494,57.0,99.0,79.17988741044012,1953709.631154544,0.0,0.0,0.0,0.0,0.0,36081071306,0,1,0,0,0
Manhattan,1016700,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation),4107,0.0,0.0010801906935463,1.0495927463850278e-05,0.0062354228841224,0.0,0.4001075605557398,0.009713777261064,0.9970237705716364,7196,6050,16,364,413,1605,1342,3231,3081,2945,223952,63,2146,2606,72,0.0,79.0,52.76466566388623,2195046.8411613707,0.0,97642.22422253188,0.04448297976678741,173966.124527975,0.07925394632395716,36061016700,0,0,0,0,0
Queens,4000104,Long Island City-Hunters Point,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),4402,0.0011618900077459,0.0026367122826315,0.0001472522360454,0.0094910345817719,0.0011618900077459,0.8983032610351483,0.3162980958245447,0.9999999999797504,371,65,169,125,0,68,73,24,24,24,-666666666,223,0,0,0,0.0,34.0,10.244777467427118,5978895.223901233,0.0,64912.45042942698,0.010856930586428903,69893.51518445424,0.01169003847149686,36081000104,2,0,1,0,0
