tract_id,empirical_estimate,p_y,p_y_CI_lower,p_y_CI_upper,n_images_by_area
36061000100.0,,0.049209841778580045,1.266142994e-315,0.9999999883371203,0
36061000201.0,0.0,0.0014871307676869684,9.294527716551522e-06,0.009955215226391515,345
36061000600.0,0.0022026431718061676,0.007405687263232994,0.0003812739391742327,0.026252407167687525,908
36061001401.0,0.0,0.0012769821882870345,1.2830352348649609e-05,0.008347770539258883,263
36061001402.0,0.0,0.0007255121286482342,1.1989338041755339e-05,0.0041088506728010074,711
36061001800.0,0.0,0.0004756903889596909,7.2985559431742294e-06,0.0026842345061840298,1791
36061002201.0,0.0,0.0008035461820448225,1.4665290606420744e-05,0.004835422187606789,422
36061002601.0,0.0,0.0009395987518819068,1.1256135899353347e-05,0.0061283973236993345,164
36061002602.0,0.0,0.0009211267594843719,4.1165274045851805e-06,0.006351163302984111,110
36061002800.0,0.0,0.0007813982106224274,2.784859221162544e-06,0.005840788520447631,284
36061003100.0,0.0,0.0007471825170196913,2.6549158529722105e-05,0.0036708728036045635,1288
36061003200.0,0.0,0.00044173834003587956,8.156131887172686e-06,0.0026264702322132487,637
36061003300.0,0.00087527352297593,0.0009154461761278146,6.787540529209173e-06,0.005277197363420915,2285
36061003400.0,0.0,0.0004406010148063106,3.287925730322547e-06,0.00292105503778364,678
36061003601.0,0.0,0.0004912551413038771,4.843708528844822e-06,0.0031098355628020116,669
36061003602.0,0.0014492753623188406,0.0006078083546747335,4.98235516987375e-06,0.00430522968970929,690
36061003700.0,0.00034211426616489907,0.00044347301425776034,5.662603648173613e-06,0.0024936335444403802,2923
36061003900.0,0.002224199288256228,0.002844109900097317,4.814782999619675e-06,0.012503057011326703,2248
36061004001.0,0.0,0.0004227266045390075,2.4997429237831657e-06,0.0030359845506066894,729
36061004002.0,0.0,0.0003642227705040722,3.0041260987441343e-06,0.002421845905987192,430
36061004100.0,0.0010548523206751054,0.0009411292081124529,1.3188001572550297e-05,0.005762704992951807,948
36061004300.0,0.0,0.00040620335754214975,5.25404002114711e-06,0.0024878718766504306,891
36061004500.0,0.0,0.0006412340399854475,1.0706888099018773e-05,0.003804890083533045,740
36061005200.0,0.0,0.00033248863218059485,4.100925288407968e-06,0.002065583113301804,863
36061005400.0,0.0,0.0003276810727115815,6.013507314852489e-06,0.0018733596376307817,1336
36061005501.0,0.0,0.00038033762375876563,2.469678481509497e-06,0.0024888627741606966,653
36061005502.0,0.0,0.00029397162466206163,4.669765318480792e-06,0.0017512070523014493,1268
36061005800.0,0.0,0.00034632307553148287,5.461066398590774e-06,0.0019586972402984995,1455
36061006300.0,0.0,0.0003348528459553579,6.249995375436676e-06,0.001969281844118971,1170
36061006500.0,0.0,0.0003250918650516204,5.553786742865819e-06,0.0019715064278432995,1137
36061006700.0,0.0,0.00041673391168119475,6.4218600248826085e-06,0.0024130731821656857,1123
36061006800.0,0.0,0.0003678429267114468,6.30888632672167e-06,0.0021550282872277392,1122
36061007001.0,0.0,0.0018832762177426585,1.2443339173216486e-05,0.012306701652126181,255
36061007002.0,0.001160092807424594,0.001114304127333866,6.32080786809553e-06,0.0072321237276534245,862
36061007100.0,0.0,0.0005246287978431394,5.849564679220709e-06,0.0033286262200580815,900
36061007200.0,0.0,0.00045550941614992533,8.439802621631353e-06,0.0025773219436147996,1405
36061007300.0,0.0009587727708533077,0.0007027732364010618,1.1704970828198675e-05,0.004093763474218213,1043
36061007600.0,0.0,0.00045056817692754736,6.169268826806425e-06,0.0026280486200526416,1030
36061007700.0,0.0030581039755351682,0.0026878623422303617,1.6381715577899955e-05,0.014372079912698824,981
36061007800.0,0.00131521262604121,0.0017327110653635772,2.062666772496925e-05,0.008198557754598492,2281
36061008000.0,0.0,0.00047157033568719987,1.0634741794079147e-05,0.002426877780491568,2116
36061008100.0,0.0008703220191470844,0.000780083490272195,6.791130757011395e-06,0.004976627265193194,1149
36061008200.0,0.00215633423180593,0.0005777305702443235,8.995666319381186e-06,0.0033145279909867773,1855
36061008300.0,0.0,0.0011399448342439477,1.7832374467833218e-05,0.006330069914202663,887
36061008400.0,0.0,0.0004729138653546071,8.732687721793459e-06,0.0027368318054770907,1401
36061008700.0,0.002224694104560623,0.0007951877749640769,6.5900468166876264e-06,0.0054117687542601595,899
36061008900.0,0.0,0.0007494343803192203,7.2716088963515314e-06,0.004676509686599374,890
36061009100.0,0.0,0.00047354096040234424,6.193675465911686e-06,0.0027728569793068094,1458
36061009200.0,0.0,0.0006396462871210765,1.3153386485286421e-05,0.0034958574224719856,1651
36061009300.0,0.0,0.0008612358643910713,1.3871280892836992e-05,0.004631238923383476,1040
36061009400.0,0.0032658393207054214,0.0033640392927815855,1.7691460088722404e-05,0.01558544704239384,1531
36061009500.0,0.0008756567425569177,0.0008214629755528783,7.745526211966185e-06,0.004973605145355676,1142
36061009600.0,0.0,0.0006247625894466648,1.3502981645640282e-05,0.0034510886274074235,1100
36061009700.0,0.0010152284263959391,0.0013939437805806953,1.8215240169372807e-05,0.008073490019091262,985
36061009902.0,0.005780346820809248,0.012047076979010153,5.975860865038798e-05,0.039769002620945904,865
36061010000.0,0.0007072135785007072,0.0013122439903562615,2.3350077807932113e-05,0.006796720122918884,1414
36061010100.0,0.0021231422505307855,0.001756525001759726,8.192978761784794e-06,0.011196896992175331,942
36061010200.0,0.0007930214115781126,0.0011891258664564444,1.985499505219026e-05,0.006657351763681253,1261
36061010400.0,0.0,0.0008923431154520751,1.7320628864398618e-05,0.0046406027154990235,1130
36061010801.0,0.00390625,0.0031516736408082205,1.5176419698137846e-05,0.021245225324727158,256
36061010802.0,0.0,0.0019769266163864314,9.878404643239491e-06,0.013635960189663189,230
36061010803.0,0.004048582995951417,0.005909712885860268,1.8392273554028604e-05,0.029421602069186224,494
36061010900.0,0.0,0.0005042985264328831,6.60777429461234e-06,0.0029099685086005854,1670
36061011201.0,0.0,0.001309454504483421,1.863604543090347e-05,0.007732858840500868,639
36061011202.0,0.0033222591362126247,0.004139685092118373,3.5347343051207245e-05,0.021239237799120042,602
36061011203.0,0.0,0.0013031903866824299,2.0597194461016825e-05,0.0071127334241132,648
36061011300.0,0.0,0.0005468173649775892,6.372071078078881e-06,0.0033410404019510007,919
36061011402.0,0.0,0.0012602644652765535,2.3901202392274937e-05,0.006782789709325917,754
36061011800.0,0.0,0.0017440625249599978,6.124193675152333e-05,0.008484535193275277,687
36061011900.0,0.0,0.0005522440000171247,6.074951742416645e-06,0.0035827995557673495,953
36061012000.0,0.0013175230566534915,0.0016649274702611899,2.4817207046085883e-05,0.009363179534853407,759
36061012101.0,0.0,0.0006606671174395117,4.365834229542723e-06,0.00447155011585347,564
36061012102.0,0.0,0.0007651599320355569,5.249553999732521e-06,0.004799587982766482,512
36061012200.0,0.0008665511265164644,0.0015664665219636304,2.0391806397451145e-05,0.008239321610937315,1154
36061012500.0,0.002976190476190476,0.0009583218114733558,8.507802465940074e-06,0.00601778319131256,1008
36061012601.0,0.005154639175257732,0.013245350280023426,0.0002125863722874853,0.06089374280444169,194
36061012602.0,0.0,0.001966055538974849,2.1092806602610378e-05,0.011412882434052831,412
36061012700.0,0.0018814675446848542,0.0005028415166833094,8.543493680839723e-06,0.0029780003667845825,1063
36061013000.0,0.0,0.0011023884567997661,1.6344505543312102e-05,0.006002448164476511,947
36061013100.0,0.002512562814070352,0.0027410871422336087,1.0689000698747633e-05,0.014873821392065148,1194
36061013201.0,0.015424164524421594,0.0688678280960954,0.017925462045701685,0.1593454828780132,389
36061013202.0,0.023121387283236993,0.10285913680904972,0.03130963456150485,0.226284825106061,346
36061013300.0,0.002242152466367713,0.0009177472112405611,8.764840893597136e-06,0.005924063979654891,892
36061013601.0,0.007220216606498195,0.028206115557552414,0.0023667930561300115,0.09231998761374384,277
36061013602.0,0.0,0.006891095909402706,0.00011927242511459635,0.03551535079175838,209
36061014801.0,0.0,0.0017668190671086548,2.1699610349513406e-05,0.011192567014035672,140
36061014900.0,0.0,0.0009587765344800597,1.348786733932792e-05,0.005424532203323345,1147
36061015001.0,0.0,0.0018108702897484854,1.9635272898206783e-05,0.010934061952378728,311
36061015002.0,0.0,0.00156484948777756,2.0490922855860763e-05,0.00929099621299784,424
36061015101.0,0.0078125,0.006356676750011075,8.09222662729408e-06,0.03912782425940776,256
36061015301.0,0.0,0.001724749094958567,7.027057256056254e-06,0.011445622375991069,347
36061015302.0,0.00228310502283105,0.001392926292081978,7.66770213999259e-06,0.009270933919274237,438
36061015401.0,0.0,0.003162896697252826,3.897075964392198e-05,0.020100905745560525,131
36061015402.0,0.0,0.0030721522132711484,1.1081788914565991e-05,0.021802169413142544,173
36061015403.0,0.0,0.0027697208812978223,1.0866988736642706e-05,0.01998384455536043,91
36061015501.0,0.0,0.001425950490484118,8.733371310499316e-06,0.009466441136155513,237
36061015601.0,0.0,0.0017700515082786324,2.6537423441865153e-05,0.0101522672514225,348
36061015602.0,0.0,0.0019364342927425374,2.8086789487147384e-05,0.01129301527134836,294
36061015700.0,0.0,0.0012010384766157538,2.08352043007428e-05,0.006502753358575404,861
36061015801.0,0.0,0.0013482524869383962,2.6392439376014637e-05,0.00746256877191775,432
36061015802.0,0.0,0.002011157754562431,2.9665527262056916e-05,0.011823864430334258,194
36061016001.0,0.0,0.0014133224707765931,1.8690144417614476e-05,0.007912085347957067,587
36061016100.0,0.0,0.0015520370417291263,2.0213344112047953e-05,0.00892483830626712,592
36061016200.0,0.0004899559039686428,0.002140760380996351,0.00013839962751702588,0.00798428111734696,2041
