                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[64]                                    0.004  0.006   0.000    0.015      0.000    0.000    3279.0    4025.0   1.00
p_y[65]                                    0.001  0.002   0.000    0.005      0.000    0.000    2651.0    4420.0   1.00
p_y[66]                                    0.001  0.001   0.000    0.002      0.000    0.000    2811.0    3904.0   1.00
p_y[67]                                    0.001  0.002   0.000    0.004      0.000    0.000    3306.0    4174.0   1.00
p_y[68]                                    0.002  0.002   0.000    0.006      0.000    0.000    3550.0    4559.0   1.00
p_y[69]                                    0.001  0.001   0.000    0.002      0.000    0.000    3315.0    4352.0   1.00
p_y[70]                                    0.002  0.003   0.000    0.006      0.000    0.000    3559.0    5304.0   1.00
p_y[71]                                    0.001  0.001   0.000    0.003      0.000    0.000    3580.0    4630.0   1.00
p_y[72]                                    0.001  0.002   0.000    0.003      0.000    0.000    3183.0    4074.0   1.00
p_y[73]                                    0.002  0.002   0.000    0.005      0.000    0.000    3884.0    5227.0   1.00
p_y[74]                                    0.001  0.002   0.000    0.004      0.000    0.000    2938.0    4854.0   1.00
p_y[75]                                    0.013  0.017   0.000    0.042      0.000    0.000    4185.0    4173.0   1.00
p_y[76]                                    0.002  0.004   0.000    0.007      0.000    0.000    4345.0    4876.0   1.00
p_y[77]                                    0.001  0.001   0.000    0.002      0.000    0.000    2481.0    4165.0   1.00
p_y[78]                                    0.001  0.002   0.000    0.004      0.000    0.000    3710.0    4676.0   1.00
p_y[79]                                    0.003  0.004   0.000    0.010      0.000    0.000    2638.0    3387.0   1.00
p_y[80]                                    0.069  0.037   0.011    0.136      0.001    0.000    2888.0    3783.0   1.00
p_y[81]                                    0.103  0.051   0.024    0.196      0.001    0.001    3106.0    3680.0   1.00
p_y[82]                                    0.001  0.002   0.000    0.003      0.000    0.000    2803.0    4014.0   1.00
p_y[83]                                    0.028  0.024   0.000    0.072      0.000    0.000    3555.0    3957.0   1.00
p_y[84]                                    0.007  0.011   0.000    0.024      0.000    0.000    3329.0    4040.0   1.00
p_y[85]                                    0.002  0.004   0.000    0.006      0.000    0.000    3424.0    3942.0   1.00
p_y[86]                                    0.001  0.002   0.000    0.003      0.000    0.000    2611.0    3500.0   1.00
p_y[87]                                    0.002  0.004   0.000    0.007      0.000    0.000    4320.0    5655.0   1.00
p_y[88]                                    0.002  0.003   0.000    0.006      0.000    0.000    3542.0    4563.0   1.00
p_y[89]                                    0.006  0.012   0.000    0.026      0.000    0.000    2215.0    3693.0   1.00
p_y[90]                                    0.002  0.004   0.000    0.007      0.000    0.000    3171.0    3929.0   1.00
