,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.6123309862435936,0.7480533438617271,0.6741062827819648
any_positive_classifications,0.27841788224958275,0.7455168156622392,0.6756016060690733
n_positive_classifications,0.32982619974026406,0.7550895070142289,0.678141869434801
any_positive_ground_truth,0.2762333384962361,0.6157700297991145,0.5672455302975209
n_positive_ground_truth,0.29116346310326885,0.6163606852229607,0.5673424966540228
graph_laplacian_frac_pos_classifications_one_iter,0.6185786160861048,0.8137837355117081,0.742309993786498
graph_laplacian_frac_pos_classifications_five_iter,0.6362514545337581,0.8164221008532385,0.7381697855384886
graph_laplacian_n_positive_ground_truth_one_iter,0.3059393661492589,0.7246151339393426,0.6322818863018435
graph_laplacian_n_positive_ground_truth_five_iter,0.34581742817216415,0.7450264306551732,0.6503826981399046
OLS_pred_frac_positive_classifications,0.2407614625974194,0.7462625768870422,0.6668350819174331
OLS_pred_n_positive_ground_truth,0.212444475158018,0.774416629848623,0.684120610837011
RandomForest_pred_frac_positive_classifications,0.6311074835225512,0.8178337203144731,0.7145119083616897
RandomForest_pred_n_positive_ground_truth,0.31285232632469867,0.7458301607146773,0.6523532841611837
bayesian_model_p_y,0.6608535426444743,0.7990173499155535,0.6801896457793479
bayesian_model_at_least_one_positive_by_area,0.2908856936006279,0.8739099508988303,0.7898011806929777
