,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.5892036981024595,0.7239587572920908,0.6759330002938583
any_positive_classifications,0.24989500839036854,0.7228581603581604,0.6770496620628856
n_positive_classifications,0.34564105909246057,0.7318698277031611,0.6795097675963664
any_positive_ground_truth,0.2872086708770129,0.6387617012617013,0.5839661935121184
n_positive_ground_truth,0.2727016486016267,0.6392891059557726,0.5840875697913606
graph_laplacian_frac_pos_classifications_one_iter,0.5954554315896787,0.7929809388142721,0.7454707483167027
graph_laplacian_frac_pos_classifications_five_iter,0.6136099297853542,0.7953500203500203,0.7493254034164228
graph_laplacian_n_positive_ground_truth_one_iter,0.2822004338653929,0.7289512956179622,0.6487044679247211
graph_laplacian_n_positive_ground_truth_five_iter,0.30821518560683925,0.7622422330755663,0.6709591281350216
OLS_pred_frac_positive_classifications,0.23749540132602057,0.7418091168091168,0.6685086049393758
OLS_pred_n_positive_ground_truth,0.20949550335320724,0.7692986026319358,0.6869348017733714
RandomForest_pred_frac_positive_classifications,0.587030931305631,0.7874762583095917,0.7375218796713897
RandomForest_pred_n_positive_ground_truth,0.29850338380349306,0.7602411477411477,0.6583877397181516
bayesian_model_p_y,0.6689743964576519,0.7876475376475377,0.6840958744841508
bayesian_model_at_least_one_positive_by_area,0.3052561395921584,0.8769502102835436,0.8018640841201498
