geoid,tract_id,empirical_estimate,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,n_images_by_area
36061000100.0,36061000100.0,,0.0,0.0,0.0,0
36061000201.0,36061000201.0,0.0,0.3237653315711104,0.007993857898785959,0.9852795302453822,345
36061000600.0,36061000600.0,0.0022172949002217295,1.0,1.0,1.0,902
36061001401.0,36061001401.0,0.0,0.16795478759014246,0.0037884490562471174,0.7875917236383465,259
36061001402.0,36061001402.0,0.0,0.07052645831896852,0.0013837196703377797,0.425483461078309,705
36061001800.0,36061001800.0,0.0,0.17915024218200198,0.004151114869307588,0.8151388413050761,1783
36061002201.0,36061002201.0,0.0,0.13233488219347855,0.004542655821721734,0.6346336859063068,422
36061002601.0,36061002601.0,0.0,0.08234685116001535,0.0019523904083135148,0.4598762733375671,164
36061002602.0,36061002602.0,0.0,0.08611507615770403,0.0009536878532159232,0.5575592381183999,107
36061002800.0,36061002800.0,0.0,0.15108351575077691,0.001518668482213495,0.7921508307881181,261
36061003100.0,36061003100.0,0.0,0.39560682951246556,0.03106084885642945,0.9786665010021202,1285
36061003200.0,36061003200.0,0.0,0.1539856203633874,0.005442933036577352,0.7071681393843192,628
36061003300.0,36061003300.0,0.000877963125548727,0.5544152753365882,0.020922219318121122,0.9999896535957855,2278
36061003400.0,36061003400.0,0.0,0.11219331711244113,0.0016668700463906589,0.6221856241535453,674
36061003601.0,36061003601.0,0.0,0.03876957277080939,0.0004184394867914498,0.2648694839674964,669
36061003602.0,36061003602.0,0.001451378809869376,0.11726551018441214,0.001774853504281415,0.7011722419255819,689
36061003700.0,36061003700.0,0.0003429355281207133,0.48306636143615217,0.024083360459569214,0.9990619860131186,2916
36061003900.0,36061003900.0,0.002234137622877569,0.5902253959517396,0.0069360397756380865,0.9999999996064737,2238
36061004001.0,36061004001.0,0.0,0.07826315008851106,0.0007754396410141279,0.5192974449856734,728
36061004002.0,36061004002.0,0.0,0.031791377439368475,0.0003224463822013274,0.21587478637834082,428
36061004100.0,36061004100.0,0.001059322033898305,0.13501476752850722,0.0028742640291312405,0.7225937741386788,944
36061004300.0,36061004300.0,0.0,0.10100430383101064,0.0017887212890726756,0.5538742613501716,891
36061004500.0,36061004500.0,0.0,0.24175169617497091,0.008230682583819579,0.9024778223129196,737
36061005200.0,36061005200.0,0.0,0.09424824011142172,0.002004697036519404,0.5352215850291561,861
36061005400.0,36061005400.0,0.0,0.3316141867420005,0.017094431937603193,0.9637226097976198,1336
36061005501.0,36061005501.0,0.0,0.07128068793918778,0.0006075812935110114,0.47817109354451803,649
36061005502.0,36061005502.0,0.0,0.07009562228232565,0.0011920529885618674,0.4129176365754213,1265
36061005800.0,36061005800.0,0.0,0.11365290826680219,0.0023935617305098134,0.6086835837034473,1450
36061006300.0,36061006300.0,0.0,0.2720508512390578,0.011255134016324395,0.9242888200807974,1162
36061006500.0,36061006500.0,0.0,0.24491459309072297,0.008782814429178729,0.8964415357127211,1134
36061006700.0,36061006700.0,0.0,0.11269568334156481,0.0023204687066315038,0.5865199627095976,1113
36061006800.0,36061006800.0,0.0,0.1318888982453327,0.0036567214047297987,0.659760244502304,1122
36061007001.0,36061007001.0,0.0,0.16656012611007864,0.00190716730662025,0.8324709992864497,252
36061007002.0,36061007002.0,0.0011614401858304297,0.29344291984066834,0.0050526303244843,0.9875381854371371,861
36061007100.0,36061007100.0,0.0,0.07538497912087615,0.0010569439537558346,0.47097455977451114,882
36061007200.0,36061007200.0,0.0,0.18324411860481274,0.004485639341059422,0.8114402148976937,1404
36061007300.0,36061007300.0,0.0009699321047526673,0.03303219542716302,0.0005209648975452591,0.2031745396073065,1031
36061007600.0,36061007600.0,0.0,0.0976513882767389,0.0018309526035615643,0.5493681167283399,1028
36061007700.0,36061007700.0,0.003092783505154639,0.2794213756683592,0.004058564896998101,0.9959149123777712,970
36061007800.0,36061007800.0,0.0013169446883230904,0.5884725352382346,0.029114833419351307,0.9999990699403354,2278
36061008000.0,36061008000.0,0.0,0.21181186217849662,0.005308455111864088,0.8760801614747448,2116
36061008100.0,36061008100.0,0.0008771929824561404,0.49450327594208177,0.023888016558706822,0.9995774214141492,1140
36061008200.0,36061008200.0,0.0021586616297895305,0.06747687444976598,0.0008943026468841847,0.4189095720251932,1853
36061008300.0,36061008300.0,0.0,0.5149054896209768,0.03412498692759144,0.9985660853656491,885
36061008400.0,36061008400.0,0.0,0.25743208632030556,0.008905231822570053,0.9132383832602969,1401
36061008700.0,36061008700.0,0.002224694104560623,0.5047991012392644,0.026744974004526176,0.9997161645669895,899
36061008900.0,36061008900.0,0.0,0.2565283101782811,0.0070976162750965854,0.9333001449473047,888
36061009100.0,36061009100.0,0.0,0.17290122168376626,0.0037870182943463616,0.7974956712704233,1458
36061009200.0,36061009200.0,0.0,0.40920505529417084,0.01833558312700905,0.9930926455628054,1650
