                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[64]                                    0.002  0.003   0.000    0.006      0.000    0.000    3142.0    7142.0   1.00
p_y[65]                                    0.000  0.001   0.000    0.001      0.000    0.000    2723.0    5663.0   1.00
p_y[66]                                    0.000  0.001   0.000    0.001      0.000    0.000    3619.0    6275.0   1.00
p_y[67]                                    0.000  0.001   0.000    0.002      0.000    0.000    3767.0    7389.0   1.00
p_y[68]                                    0.001  0.002   0.000    0.004      0.000    0.000    5052.0    8328.0   1.00
p_y[69]                                    0.000  0.000   0.000    0.001      0.000    0.000    3677.0    6942.0   1.00
p_y[70]                                    0.001  0.002   0.000    0.003      0.000    0.000    4421.0    8338.0   1.00
p_y[71]                                    0.000  0.001   0.000    0.001      0.000    0.000    4468.0    6920.0   1.00
p_y[72]                                    0.000  0.000   0.000    0.000      0.000    0.000    4404.0    7531.0   1.00
p_y[73]                                    0.001  0.001   0.000    0.003      0.000    0.000    4840.0    8559.0   1.00
p_y[74]                                    0.000  0.001   0.000    0.001      0.000    0.000    4097.0    7817.0   1.00
p_y[75]                                    0.004  0.007   0.000    0.014      0.000    0.000    5392.0    9442.0   1.00
p_y[76]                                    0.002  0.003   0.000    0.006      0.000    0.000    5298.0    8212.0   1.00
p_y[77]                                    0.000  0.000   0.000    0.000      0.000    0.000    3316.0    7190.0   1.00
p_y[78]                                    0.000  0.001   0.000    0.002      0.000    0.000    5500.0    8620.0   1.00
p_y[79]                                    0.000  0.001   0.000    0.001      0.000    0.000    3234.0    4775.0   1.00
p_y[80]                                    0.072  0.037   0.014    0.141      0.000    0.000    5899.0    8660.0   1.00
p_y[81]                                    0.096  0.048   0.020    0.181      0.001    0.001    5159.0    7576.0   1.00
p_y[82]                                    0.000  0.001   0.000    0.001      0.000    0.000    3543.0    7142.0   1.00
p_y[83]                                    0.029  0.024   0.001    0.071      0.000    0.000    6326.0    6816.0   1.00
p_y[84]                                    0.008  0.011   0.000    0.027      0.000    0.000    6483.0    6026.0   1.00
p_y[85]                                    0.000  0.001   0.000    0.001      0.000    0.000    5172.0    8961.0   1.00
p_y[86]                                    0.001  0.001   0.000    0.002      0.000    0.000    3219.0    5180.0   1.00
p_y[87]                                    0.000  0.001   0.000    0.001      0.000    0.000    5266.0    8798.0   1.00
p_y[88]                                    0.001  0.003   0.000    0.005      0.000    0.000    4445.0    6697.0   1.00
p_y[89]                                    0.011  0.015   0.000    0.037      0.000    0.000    3270.0    4494.0   1.00
p_y[90]                                    0.001  0.002   0.000    0.003      0.000    0.000    6127.0    8432.0   1.00
p_y[91]                                    0.000  0.001   0.000    0.002      0.000    0.000    4303.0    6726.0   1.00
p_y[92]                                    0.002  0.004   0.000    0.006      0.000    0.000    5259.0    7073.0   1.00
p_y[93]                                    0.002  0.004   0.000    0.007      0.000    0.000    5515.0    6682.0   1.00
p_y[94]                                    0.002  0.006   0.000    0.008      0.000    0.000    5525.0    6454.0   1.00
p_y[95]                                    0.002  0.004   0.000    0.007      0.000    0.000    3827.0    5275.0   1.00
p_y[96]                                    0.002  0.003   0.000    0.007      0.000    0.000    5040.0    6603.0   1.00
p_y[97]                                    0.002  0.004   0.000    0.008      0.000    0.000    5318.0    6198.0   1.00
p_y[98]                                    0.000  0.001   0.000    0.001      0.000    0.000    4754.0    7731.0   1.00
p_y[99]                                    0.000  0.001   0.000    0.001      0.000    0.000    4808.0    6990.0   1.00
p_y[100]                                   0.000  0.001   0.000    0.002      0.000    0.000    4035.0    5546.0   1.00
p_y[101]                                   0.000  0.001   0.000    0.002      0.000    0.000    4852.0    7074.0   1.00
p_y[102]                                   0.000  0.001   0.000    0.001      0.000    0.000    5520.0    7891.0   1.00
p_y[103]                                   0.002  0.002   0.000    0.005      0.000    0.000    6486.0    8116.0   1.00
p_y[104]                                   0.003  0.004   0.000    0.009      0.000    0.000    5753.0    9099.0   1.00
p_y[105]                                   0.001  0.001   0.000    0.002      0.000    0.000    5433.0    8040.0   1.00
p_y[106]                                   0.002  0.004   0.000    0.009      0.000    0.000    5257.0    9059.0   1.00
p_y[107]                                   0.001  0.001   0.000    0.002      0.000    0.000    4043.0    4383.0   1.00
p_y[108]                                   0.002  0.004   0.000    0.007      0.000    0.000    6104.0    7238.0   1.00
p_y[109]                                   0.002  0.003   0.000    0.007      0.000    0.000    4503.0    4653.0   1.00
p_y[110]                                   0.006  0.008   0.000    0.018      0.000    0.000    4675.0    7016.0   1.00
p_y[111]                                   0.001  0.002   0.000    0.002      0.000    0.000    4496.0    7044.0   1.00
p_y[112]                                   0.004  0.006   0.000    0.014      0.000    0.000    5605.0    6643.0   1.00
p_y[113]                                   0.001  0.002   0.000    0.003      0.000    0.000    4751.0    7863.0   1.00
p_y[114]                                   0.008  0.010   0.000    0.026      0.000    0.000    3709.0    3722.0   1.00
p_y[115]                                   0.000  0.001   0.000    0.002      0.000    0.000    3776.0    8042.0   1.00
p_y[116]                                   0.004  0.005   0.000    0.012      0.000    0.000    5615.0    7814.0   1.00
p_y[117]                                   0.000  0.001   0.000    0.002      0.000    0.000    4973.0    7477.0   1.00
p_y[118]                                   0.001  0.001   0.000    0.002      0.000    0.000    4895.0    7243.0   1.00
p_y[119]                                   0.001  0.003   0.000    0.004      0.000    0.000    4835.0    7993.0   1.00
p_y[120]                                   0.001  0.002   0.000    0.004      0.000    0.000    5188.0    7615.0   1.00
p_y[121]                                   0.000  0.001   0.000    0.001      0.000    0.000    4814.0    7657.0   1.00
p_y[122]                                   0.001  0.002   0.000    0.004      0.000    0.000    6041.0    8581.0   1.00
p_y[123]                                   0.000  0.001   0.000    0.001      0.000    0.000    4473.0    6771.0   1.00
p_y[124]                                   0.002  0.003   0.000    0.006      0.000    0.000    4853.0    5874.0   1.00
p_y[125]                                   0.014  0.013   0.000    0.037      0.000    0.000    6352.0    5627.0   1.00
p_y[126]                                   0.001  0.002   0.000    0.004      0.000    0.000    5399.0    8550.0   1.00
p_y[127]                                   0.000  0.000   0.000    0.000      0.000    0.000    3636.0    4116.0   1.00
p_y[128]                                   0.001  0.002   0.000    0.003      0.000    0.000    4006.0    7429.0   1.00
p_y[129]                                   0.000  0.001   0.000    0.001      0.000    0.000    3412.0    7246.0   1.00
p_y[130]                                   0.001  0.002   0.000    0.002      0.000    0.000    3407.0    5823.0   1.00
p_y[131]                                   0.001  0.001   0.000    0.002      0.000    0.000    4300.0    6517.0   1.00
p_y[132]                                   0.000  0.001   0.000    0.001      0.000    0.000    2920.0    5572.0   1.00
p_y[133]                                   0.001  0.001   0.000    0.002      0.000    0.000    3778.0    4944.0   1.00
p_y[134]                                   0.001  0.002   0.000    0.003      0.000    0.000    4216.0    7086.0   1.00
