,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.5988440787077953,0.7366142949927319,0.6670942518749441
any_positive_classifications,0.2628185177675669,0.7357374818297097,0.668513076697032
n_positive_classifications,0.33888076172683484,0.7440215878514213,0.6713858615799358
any_positive_ground_truth,0.27665903010570736,0.6447855132527139,0.5700277248974689
n_positive_ground_truth,0.29976010247567786,0.6451566510994959,0.5701350470812199
graph_laplacian_frac_pos_classifications_one_iter,0.6069614468814706,0.8178594624686852,0.7429518711111679
graph_laplacian_frac_pos_classifications_five_iter,0.6339090869781532,0.8227847709770204,0.7475552262070552
graph_laplacian_n_positive_ground_truth_one_iter,0.30944496680779704,0.7396452540747842,0.6416180096845494
graph_laplacian_n_positive_ground_truth_five_iter,0.3345218740710094,0.7595289642161259,0.6631737980554242
OLS_pred_frac_positive_classifications,0.24172018763006406,0.7762471778059568,0.6782263731490117
OLS_pred_n_positive_ground_truth,0.23170923785889033,0.7890421550737636,0.6851256563901418
RandomForest_pred_frac_positive_classifications,0.6174392155853121,0.8001376302848483,0.7199791743857722
RandomForest_pred_n_positive_ground_truth,0.31763530888616986,0.7580072990443201,0.6502810819098238
bayesian_model_p_y,0.633203464298826,0.8057866575944082,0.6805682965158619
bayesian_model_at_least_one_positive_by_area,0.3001085577069216,0.8934324065196547,0.8080351096858271
