,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.48380194322156683,0.7301170855603779,0.667095534326282
any_positive_classifications,0.20911369772407304,0.7308410204167074,0.6689712626227237
n_positive_classifications,0.2305587026800356,0.7372761907420071,0.6716644996197937
any_positive_ground_truth,0.1828617536915563,0.6004036590982039,0.5664615109117948
n_positive_ground_truth,0.20493536887704272,0.6011380604825767,0.5666172268547716
graph_laplacian_frac_pos_classifications_one_iter,0.4898679234753684,0.8376589167841244,0.7513625145010473
graph_laplacian_frac_pos_classifications_five_iter,0.5095738303239943,0.8399912081164436,0.7480678246742293
graph_laplacian_n_positive_ground_truth_one_iter,0.2103421943119211,0.7394567174176983,0.6555809891595751
graph_laplacian_n_positive_ground_truth_five_iter,0.2256596764238103,0.7712296077145289,0.6537292670710091
OLS_pred_frac_positive_classifications,0.233641805675197,0.7989938177707692,0.6880568467002494
OLS_pred_n_positive_ground_truth,0.17547660861453,0.7793725665322299,0.6725332648183184
RandomForest_pred_frac_positive_classifications,0.5013342737342055,0.8338020012001619,0.7215831380395882
RandomForest_pred_n_positive_ground_truth,0.21712658459399167,0.7245262151639057,0.6421342686670976
bayesian_model_p_y,0.5631815356997788,0.8131061864158421,0.6728083629842441
bayesian_model_at_least_one_positive_by_area,0.2452625846689789,0.8762664498932414,0.7849037286182545
