,desc_1,desc_2,desc_3,desc_4,desc_5
S1501_C01_001E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,
S1501_C01_002E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,Less than high school graduate
S1501_C01_003E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,High school graduate (includes equivalency)
S1501_C01_004E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,Some college or associate's degree
S1501_C01_005E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,Bachelor's degree or higher
S1501_C01_006E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,
S1501_C01_007E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Less than 9th grade
S1501_C01_008E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,"9th to 12th grade, no diploma"
S1501_C01_009E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,High school graduate (includes equivalency)
S1501_C01_010E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,"Some college, no degree"
S1501_C01_011E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Associate's degree
S1501_C01_012E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Bachelor's degree
S1501_C01_013E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Graduate or professional degree
S1501_C01_014E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,High school graduate or higher
S1501_C01_015E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Bachelor's degree or higher
S1501_C01_016E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,
S1501_C01_017E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,High school graduate or higher
S1501_C01_018E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,Bachelor's degree or higher
S1501_C01_019E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,
S1501_C01_020E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,High school graduate or higher
S1501_C01_021E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,Bachelor's degree or higher
S1501_C01_022E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,
S1501_C01_023E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,High school graduate or higher
S1501_C01_024E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,Bachelor's degree or higher
S1501_C01_025E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,
S1501_C01_026E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,High school graduate or higher
S1501_C01_027E,Estimate,Total,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,Bachelor's degree or higher
S1501_C01_028E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,
S1501_C01_029E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,High school graduate or higher
S1501_C01_030E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,Bachelor's degree or higher
S1501_C01_031E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",
S1501_C01_032E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",High school graduate or higher
S1501_C01_033E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",Bachelor's degree or higher
S1501_C01_034E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,
S1501_C01_035E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,High school graduate or higher
S1501_C01_036E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,Bachelor's degree or higher
S1501_C01_037E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,
S1501_C01_038E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,High school graduate or higher
