,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.5688114849117685,0.7576607880416967,0.674188727025898
any_positive_classifications,0.31516049788277295,0.7572903691077165,0.6759085213032581
n_positive_classifications,0.38111368576816806,0.7673818265259293,0.6786490967000836
any_positive_ground_truth,0.30890532395534626,0.6524536156821609,0.5788005169172932
n_positive_ground_truth,0.3366644750599069,0.6529797416901593,0.57890820802005
graph_laplacian_frac_pos_classifications_one_iter,0.5745618616280077,0.8261358421294172,0.7472920582706767
graph_laplacian_frac_pos_classifications_five_iter,0.5929935581318309,0.8166885202910903,0.7420027934419381
graph_laplacian_n_positive_ground_truth_one_iter,0.36010228086280127,0.7743689765947683,0.6674224624060151
graph_laplacian_n_positive_ground_truth_five_iter,0.4066179090782155,0.8039500426145676,0.6793330983709274
OLS_pred_frac_positive_classifications,0.2511522605700694,0.776945518914312,0.6708189745196323
OLS_pred_n_positive_ground_truth,0.2220614886662248,0.792198256080771,0.6781602443609022
RandomForest_pred_frac_positive_classifications,0.5962251819727427,0.8150314692191699,0.7237671000417711
RandomForest_pred_n_positive_ground_truth,0.34452701407019404,0.7620861469874779,0.6396916771094404
bayesian_model_p_y,0.7040964035772524,0.8063725168819249,0.6676704782790308
bayesian_model_at_least_one_positive_by_area,0.34257098069791186,0.8946305644791188,0.7994948308270677
