,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.5610409225823375,0.7590695682517528,0.6851570496205023
any_positive_classifications,0.24801346130993565,0.7581432604764774,0.6871874626151454
n_positive_classifications,0.3169013654780715,0.7671493829901975,0.6905477795057889
any_positive_ground_truth,0.20519918189608538,0.6239047679472132,0.5684252502292937
n_positive_ground_truth,0.1989358399540862,0.6244884687371126,0.5685634911140354
graph_laplacian_frac_pos_classifications_one_iter,0.5667070910388684,0.8090013640833678,0.7337580252821311
graph_laplacian_frac_pos_classifications_five_iter,0.5831963134270209,0.8152238048409098,0.7363560234477808
graph_laplacian_n_positive_ground_truth_one_iter,0.20833659107893637,0.7373949179963837,0.6391554013637996
graph_laplacian_n_positive_ground_truth_five_iter,0.23271897289449464,0.7634314627414903,0.6586028365966159
OLS_pred_frac_positive_classifications,0.23218215581452792,0.7471782508010024,0.6597054405763582
OLS_pred_n_positive_ground_truth,0.20695912125627422,0.7747359071154395,0.6782895348991773
RandomForest_pred_frac_positive_classifications,0.5739181565062221,0.7829965422072772,0.7272879531044383
RandomForest_pred_n_positive_ground_truth,0.22541945507957747,0.7312454398375788,0.640808975023594
bayesian_model_p_y,0.6564316843991319,0.8021381213716968,0.6764551846977975
bayesian_model_at_least_one_positive_by_area,0.27484137659064795,0.8802525140373695,0.7929510441174518
