,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.6456054413023825,0.7411302473066086,0.6660208319599182
any_positive_classifications,0.27069097101927825,0.7419623776232592,0.6682774078713164
n_positive_classifications,0.31344533510661393,0.750425521184651,0.6714733996967499
any_positive_ground_truth,0.2526676354141025,0.6095354569467122,0.5644017403915881
n_positive_ground_truth,0.23194054643747666,0.6097230014688361,0.5645177664974619
graph_laplacian_frac_pos_classifications_one_iter,0.6492045040639428,0.7961060083591274,0.7323976531083128
graph_laplacian_frac_pos_classifications_five_iter,0.656561505548152,0.7962194806750342,0.7354756411101588
graph_laplacian_n_positive_ground_truth_one_iter,0.24071492574737624,0.7187021288667267,0.6382299426461863
graph_laplacian_n_positive_ground_truth_five_iter,0.2642462560272624,0.7428086919793986,0.6773590876128948
OLS_pred_frac_positive_classifications,0.23494652111392106,0.75003940010969,0.6638262245368844
OLS_pred_n_positive_ground_truth,0.21455929390725603,0.7840022946623884,0.6918452106269366
RandomForest_pred_frac_positive_classifications,0.6359627015549627,0.8159841516998784,0.7131300679016415
RandomForest_pred_n_positive_ground_truth,0.2497850716626726,0.725691708325716,0.6497916804008175
bayesian_model_p_y,0.6946101276542692,0.7895781981857037,0.675761091700178
bayesian_model_at_least_one_positive_by_area,0.33240270358707563,0.8801984504724861,0.8005122288878634
