,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.5310337705500845,0.7450536902805098,0.6750533372306163
any_positive_classifications,0.2561760974915247,0.7459951227398884,0.677982445836418
n_positive_classifications,0.34002387174626747,0.7583331087817629,0.6823655232512081
any_positive_ground_truth,0.24609642869251971,0.645250060628924,0.5802462390764532
n_positive_ground_truth,0.32622892416221194,0.6457721430303683,0.5804552172143351
graph_laplacian_frac_pos_classifications_one_iter,0.5368671675878273,0.8108849128290804,0.7376866803071569
graph_laplacian_frac_pos_classifications_five_iter,0.5555050048511957,0.8091906712295547,0.738444738258297
graph_laplacian_n_positive_ground_truth_one_iter,0.33546037888910296,0.7754338336342325,0.6714535863653376
graph_laplacian_n_positive_ground_truth_five_iter,0.3576853018578928,0.8083351297458975,0.7068105019026572
OLS_pred_frac_positive_classifications,0.24090540745274028,0.7469517124302768,0.6709973857244712
OLS_pred_n_positive_ground_truth,0.23936981953558328,0.7919855298967962,0.7021050791248596
RandomForest_pred_frac_positive_classifications,0.553847713709249,0.7897574169383741,0.7151942130812119
RandomForest_pred_n_positive_ground_truth,0.35494331580782784,0.7734263425938401,0.6723318408925142
bayesian_model_p_y,0.668766360756626,0.8176383013122794,0.6904036692736577
bayesian_model_at_least_one_positive_by_area,0.3265171572170425,0.8977021637789334,0.8182600452922553
