,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.5104626988211591,0.7526847177604407,0.6684453814173785
any_positive_classifications,0.2431389390426939,0.7521126991411526,0.6702446464326974
n_positive_classifications,0.28986153161993133,0.7604356520028848,0.673267545681898
any_positive_ground_truth,0.23053703737289874,0.6167393299678752,0.5655508766474835
n_positive_ground_truth,0.25686757426839774,0.6172310365174064,0.5655991250948217
graph_laplacian_frac_pos_classifications_one_iter,0.5209785892849396,0.8152527371664591,0.7407403188150181
graph_laplacian_frac_pos_classifications_five_iter,0.5586144416826313,0.8283944142135973,0.7450665962596732
graph_laplacian_n_positive_ground_truth_one_iter,0.26697415627408677,0.7417491640988657,0.6449148816974876
graph_laplacian_n_positive_ground_truth_five_iter,0.2934486749242076,0.7708155772634891,0.6588553323915951
OLS_pred_frac_positive_classifications,0.2507804573041835,0.763194125745755,0.6733700736324917
OLS_pred_n_positive_ground_truth,0.22585965432017627,0.7886448567494919,0.6917031433863441
RandomForest_pred_frac_positive_classifications,0.5486562678769016,0.8089965908345899,0.7058540109202319
RandomForest_pred_n_positive_ground_truth,0.2844131767154421,0.7458385235691338,0.6642712206053036
bayesian_model_p_y,0.6616979910764861,0.8186619025765423,0.6876248093516212
bayesian_model_at_least_one_positive_by_area,0.3042256689632905,0.9006523306890447,0.7955498848738437
