BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,NTA2020,CDTA2020,n_total,n_classified_positive,n_tp,n_fp,n_tn,n_fn,total_not_annotated,positives_not_annotated,negatives_not_annotated,empirical_estimate_ct,p_y,p_y_CI_lower,p_y_CI_upper,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_2_area,dep_moderate_1_frac,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Manhattan,1000100,The Battery-Governors Island-Ellis Island-Liberty Island,MN01 Financial District-Tribeca (CD 1 Equivalent),4121,MN0191,MN01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0416158391438299,9.264774984218794e-309,0.9999984002142664,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0.0,19.0,8.153328995879418,1844266.544467186,0.0,0.0,0.0,0.0,0.0,36061000100,0,0,0,0,0
Manhattan,1000201,Chinatown-Two Bridges,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0301,MN03,320.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,320.0,0.0,0.0028583268991084,2.1657843989221223e-05,0.0171508721408593,0.3756178469290754,0.006906624009097,0.9960549321312446,2666,238,216,1747,400,878,726,740,45582,324,120,130,155,0.0,37.0,10.417680668712306,1887585.5329963218,0.0,0.0,0.0,0.0,0.0,36061000201,0,0,0,0,0
Manhattan,1000600,Chinatown-Two Bridges,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0301,MN03,845.0,2.0,1.0,0.0,1.0,0.0,843.0,1.0,843.0,0.0023668639053254,0.008521453846962,0.0006821445502608,0.02822044672849,1.0,1.0,1.0,10751,859,654,3301,5567,5191,3792,3773,25655,2074,1559,268,1777,0.0,41.0,10.160654182384963,4429431.854918699,0.0,22125.73459432182,6619.532227970874,0.004995163108729648,0.0014944427287260692,36061000600,0,1,0,0,0
Manhattan,1001401,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,182.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,182.0,0.0,0.0016896436952963,3.1462953246160776e-05,0.0088859342689665,0.196110628525818,0.0057099832748302,0.8029825605149502,3165,2224,85,314,251,1648,1300,1287,89873,310,867,863,111,24.0,43.0,34.84716287389446,1006120.3525325115,0.0,0.0,0.0,0.0,0.0,36061001401,1,0,0,0,0
Manhattan,1001402,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,771.0,0.0,0.0,0.0,1.0,0.0,770.0,0.0,771.0,0.0,0.0009169137489153,4.506514943894726e-06,0.0054251562701009,0.3136714435955599,0.0034685016139055,0.9849153976299242,3286,881,250,860,1099,1733,1335,1452,46615,550,896,300,545,13.0,42.0,27.55303709743172,1226210.9300108508,0.0,3803.479005595668,3611.1824810735397,0.0031018146327907964,0.0029449928986047974,36061001402,0,0,0,0,0
Manhattan,1001800,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,1813.0,0.0,0.0,0.0,1.0,0.0,1812.0,0.0,1813.0,0.0,0.0006019603277952,1.1408443826880465e-05,0.0032243390077914,0.4358992851801099,0.0204711867745364,0.9971349547666558,6948,2137,405,1057,3148,3075,2521,2647,74485,673,2212,502,555,8.0,45.0,36.39463920963775,2399286.1070614154,0.0,0.0,0.0,0.0,0.0,36061001800,0,0,0,0,0
Manhattan,1002201,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,483.0,2.0,0.0,1.0,0.0,0.0,482.0,1.0,481.0,0.0041407867494824,0.0014484991297211,1.2452109433268008e-05,0.0091469227032099,0.310225563428103,0.0059963549114211,0.9881838313005604,6748,1967,1306,2478,880,3022,2054,2656,35700,1397,1007,700,413,9.0,28.0,17.288703650474275,1740180.6507274231,0.0,14947.484754252497,1911.4396295014014,0.008589616686063145,0.0010984144828310722,36061002201,1,0,0,0,0
Manhattan,1002601,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,169.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,169.0,0.0,0.0008842583745154,5.1591274017618384e-06,0.0057843536794099,0.1033838903364562,0.0008715147900964,0.6248286264656283,4592,998,710,1984,758,1969,1570,1793,35625,829,658,389,190,2.0,20.0,12.165177006659656,1141221.8583867096,0.0,13995.841960486909,561.6066728210571,0.012263909824047847,0.0004921099860591292,36061002601,1,0,0,0,0
Manhattan,1002602,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,118.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,118.0,0.0,0.0010351033635761,3.899051149918259e-06,0.0070106526806192,0.0812272187418468,0.0004599831072197,0.5640246728215801,3632,2086,196,724,392,1846,1620,1633,71907,361,931,897,65,2.0,15.0,8.42780269058296,1114861.488136896,0.0,85266.9552185595,34817.65352042399,0.07648210663465792,0.031230474718980217,36061002602,0,0,0,0,0
Manhattan,1002800,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,308.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,308.0,0.0,0.0007347257132805,3.364179669848441e-06,0.0059020449147979,0.1323069703716899,0.0010356324048934,0.8384938971425264,6364,1893,300,2245,1357,3129,2499,2748,52305,757,1732,917,518,2.0,18.0,8.193808269152818,1973686.0533169047,0.0,108238.99596578702,22550.553383081977,0.054841040085318794,0.01142560304623136,36061002800,0,0,0,0,0
