BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,NTA2020,CDTA2020,n_total,n_classified_positive,n_tp,n_fp,n_tn,n_fn,total_not_annotated,positives_not_annotated,negatives_not_annotated,p_y,p_y_CI_lower,p_y_CI_upper,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,empirical_estimate,at_least_one_positive_image_by_area_if_you_have_100_images,at_least_one_positive_image_by_area_if_you_have_100_images_CI_lower,at_least_one_positive_image_by_area_if_you_have_100_images_CI_upper,n_images_by_area,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_2_area,dep_moderate_1_frac,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Manhattan,1003100,Tribeca-Civic Center,MN01 Financial District-Tribeca (CD 1 Equivalent),4121,MN0102,MN01,1028.0,0.0,0.0,0.0,0.0,0.0,1028.0,0.0,1028.0,0.0021743539924996,0.000864906285959,0.0046296412716763,0.8471944295129237,0.5891423143702182,0.9915223517773744,0.0,0.1919112719129626,0.0828901795521253,0.3712610455488171,1028,2667,1197,312,424,704,658,660,190769,173,557,317,56,8.0,47.0,26.14706415367887,2207103.4960005563,0.0,83460.46894012042,42631.086691323966,0.03781447906333224,0.019315399920563227,36061003100,0,0,0,0,0
Manhattan,1003200,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,727.0,0.0,0.0,0.0,0.0,0.0,727.0,0.0,727.0,0.001983383268098,0.0007869337777376,0.0041529619304473,0.7225264178019383,0.4357884884470785,0.9514659669603002,0.0,0.1770411108573805,0.0757053355563646,0.3404258912181632,727,7523,5513,207,789,581,4208,4314,88070,359,3771,1388,273,7.0,32.0,18.9992720733065,2335527.4757943912,0.0,34805.10052679542,223.74083937435825,0.014902458175944615,9.579884702416377e-05,36061003200,0,0,0,0,0
Manhattan,1003300,Tribeca-Civic Center,MN01 Financial District-Tribeca (CD 1 Equivalent),4121,MN0102,MN01,2337.0,2.0,0.0,0.0,1.0,0.0,2336.0,2.0,2335.0,0.0019790315600571,0.0007570952146891,0.0042851146173804,0.9659686142010536,0.8296672888230187,0.9999561979600088,0.0008557980316645,0.1764007584260469,0.0729411171130088,0.3491214430187436,2337,5787,4363,71,414,482,2531,2568,250001,59,2443,1676,17,0.0,37.0,13.710813896591096,3677729.098727924,0.0,46313.79318762547,2809.2257739550078,0.012593040962055846,0.0007638479340217529,36061003300,0,1,1,1,0
Manhattan,1003400,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,580.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,580.0,0.0020115113960244,0.0006808999425038,0.0046678163275744,0.6412742289115361,0.3263580079081754,0.9337070595850055,0.0,0.1781113396605524,0.0658452656395049,0.373667851670921,580,6647,4167,262,1057,748,3554,3684,109148,268,2280,1674,175,5.0,26.0,15.452301961469065,1718452.2601342958,0.0,19999.020901201802,943.2689975998052,0.011637810002146289,0.000548906140416196,36061003400,0,0,0,0,0
Manhattan,1003601,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0302,MN03,678.0,0.0,0.0,0.0,1.0,0.0,677.0,0.0,678.0,0.0020014647379597,0.0007391064131074,0.0043885492513927,0.697753758140514,0.3942569711857768,0.949307863638965,0.0,0.1780164069157539,0.0712706976510315,0.3558481057340084,678,2942,866,136,1102,708,1216,1158,55714,367,786,314,305,30.0,47.0,39.95094235033259,1082296.522569224,0.0,0.0,0.0,0.0,0.0,36061003601,0,0,0,0,0
Manhattan,1003602,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,654.0,1.0,0.0,0.0,0.0,0.0,654.0,1.0,653.0,0.0020517360446103,0.0007887110597808,0.0044282091430789,0.6961655714527708,0.4031088767850992,0.9451130641982428,0.0015290519877675,0.1821555442326257,0.0758697236872622,0.3584090129127345,654,3409,2105,390,383,448,1360,1432,144464,364,1071,543,44,24.0,46.0,37.45508483397523,961070.896014665,0.0,0.0,0.0,0.0,0.0,36061003602,0,0,0,0,0
Manhattan,1003700,SoHo-Little Italy-Hudson Square,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0201,MN02,3165.0,1.0,0.0,0.0,2.0,0.0,3163.0,1.0,3164.0,0.0017407892778325,0.0006879308904241,0.0036621075293924,0.9808245223368698,0.8867378828452098,0.9999909418456112,0.0003159557661927,0.1574898003069215,0.0665022836580506,0.30710925409627,3165,3380,2283,38,320,610,1761,1636,246250,92,1418,1128,10,0.0,27.0,6.856078345127362,7728414.615732408,0.0,30443.19668461865,26336.7559681796,0.003939125706667797,0.0034077824855005805,36061003700,0,1,0,0,0
Manhattan,1003900,Tribeca-Civic Center,MN01 Financial District-Tribeca (CD 1 Equivalent),4121,MN0102,MN01,2342.0,5.0,0.0,1.0,3.0,0.0,2338.0,4.0,2337.0,0.0021817918935886,0.0007514792654466,0.004935651119413,0.9700419595899192,0.8280628127946528,0.9999907224714316,0.0021349274124679,0.1916402488955066,0.0724199461093755,0.390299342166184,2342,6935,3931,131,910,1628,2956,2905,190588,735,2256,1608,398,0.0,20.0,4.537049062049062,8317537.3068319,0.0,0.0,0.0,0.0,0.0,36061003900,0,0,0,0,0
Manhattan,1004001,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,649.0,0.0,0.0,0.0,1.0,0.0,648.0,0.0,649.0,0.0018981171806969,0.0006759014351272,0.004258970364463,0.6633511562645316,0.3551956513972454,0.9373364021934266,0.0,0.1695791102414606,0.0653778938618496,0.3474102237314563,649,3035,2076,46,483,197,1865,1911,122383,315,1071,748,29,16.0,33.0,24.203757661006733,995026.5344316388,0.0,0.0,0.0,0.0,0.0,36061004001,0,0,0,0,0
Manhattan,1004002,East Village,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,MN0303,MN03,514.0,0.0,0.0,0.0,0.0,0.0,514.0,0.0,514.0,0.0018522153818706,0.0006613147927179,0.0041922267730029,0.5770165207687705,0.288249783527075,0.8845980391097991,0.0,0.1658161862003299,0.0640126857788546,0.3430214300007165,514,6067,3380,354,735,1076,1848,2019,153838,171,1884,1140,167,21.0,41.0,31.463864464936737,932611.2719755634,0.0,0.0,0.0,0.0,0.0,36061004002,0,0,0,0,0
