                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[64]                                    0.000  0.000   0.000    0.001      0.000    0.000    2087.0    4617.0   1.00
p_y[65]                                    0.000  0.000   0.000    0.001      0.000    0.000    1655.0    4095.0   1.00
p_y[66]                                    0.000  0.000   0.000    0.000      0.000    0.000    2038.0    4867.0   1.00
p_y[67]                                    0.000  0.000   0.000    0.001      0.000    0.000    2174.0    5712.0   1.00
p_y[68]                                    0.001  0.001   0.000    0.002      0.000    0.000    2558.0    5850.0   1.00
p_y[69]                                    0.000  0.000   0.000    0.000      0.000    0.000    1971.0    4798.0   1.00
p_y[70]                                    0.000  0.001   0.000    0.001      0.000    0.000    2247.0    4305.0   1.00
p_y[71]                                    0.000  0.000   0.000    0.000      0.000    0.000    2222.0    5091.0   1.00
p_y[72]                                    0.000  0.000   0.000    0.000      0.000    0.000    2240.0    4021.0   1.00
p_y[73]                                    0.000  0.001   0.000    0.001      0.000    0.000    2803.0    6258.0   1.00
p_y[74]                                    0.000  0.000   0.000    0.000      0.000    0.000    2081.0    4505.0   1.00
p_y[75]                                    0.001  0.002   0.000    0.003      0.000    0.000    3206.0    6259.0   1.00
p_y[76]                                    0.001  0.001   0.000    0.002      0.000    0.000    3292.0    6586.0   1.00
p_y[77]                                    0.000  0.000   0.000    0.000      0.000    0.000    2055.0    4697.0   1.00
p_y[78]                                    0.000  0.001   0.000    0.001      0.000    0.000    2720.0    4608.0   1.00
p_y[79]                                    0.000  0.000   0.000    0.000      0.000    0.000    1888.0    4528.0   1.00
p_y[80]                                    0.012  0.016   0.000    0.037      0.000    0.000    4251.0    5074.0   1.00
p_y[81]                                    0.041  0.042   0.001    0.114      0.001    0.000    4362.0    6852.0   1.00
p_y[82]                                    0.000  0.000   0.000    0.000      0.000    0.000    2059.0    5220.0   1.00
p_y[83]                                    0.030  0.032   0.000    0.083      0.000    0.000    4531.0    6305.0   1.00
p_y[84]                                    0.006  0.010   0.000    0.019      0.000    0.000    4550.0    5703.0   1.00
p_y[85]                                    0.000  0.001   0.000    0.002      0.000    0.000    2722.0    4918.0   1.00
p_y[86]                                    0.000  0.000   0.000    0.001      0.000    0.000    2064.0    4024.0   1.00
p_y[87]                                    0.000  0.001   0.000    0.001      0.000    0.000    2590.0    5033.0   1.00
p_y[88]                                    0.000  0.001   0.000    0.001      0.000    0.000    2581.0    4853.0   1.00
p_y[89]                                    0.000  0.001   0.000    0.002      0.000    0.000    2281.0    4431.0   1.00
p_y[90]                                    0.000  0.001   0.000    0.000      0.000    0.000    2368.0    5244.0   1.00
p_y[91]                                    0.000  0.000   0.000    0.000      0.000    0.000    1964.0    5616.0   1.00
p_y[92]                                    0.001  0.002   0.000    0.004      0.000    0.000    2898.0    5673.0   1.00
p_y[93]                                    0.002  0.006   0.000    0.008      0.000    0.000    3410.0    5666.0   1.00
p_y[94]                                    0.001  0.003   0.000    0.004      0.000    0.000    2927.0    4794.0   1.00
p_y[95]                                    0.000  0.001   0.000    0.001      0.000    0.000    1989.0    3859.0   1.00
p_y[96]                                    0.002  0.004   0.000    0.007      0.000    0.000    3303.0    5636.0   1.00
p_y[97]                                    0.002  0.003   0.000    0.005      0.000    0.000    3445.0    5905.0   1.00
p_y[98]                                    0.000  0.000   0.000    0.000      0.000    0.000    2032.0    4184.0   1.00
p_y[99]                                    0.000  0.001   0.000    0.001      0.000    0.000    2390.0    5076.0   1.00
p_y[100]                                   0.000  0.001   0.000    0.001      0.000    0.000    2913.0    6183.0   1.00
p_y[101]                                   0.000  0.001   0.000    0.001      0.000    0.000    2502.0    5714.0   1.00
p_y[102]                                   0.000  0.000   0.000    0.000      0.000    0.000    2257.0    4171.0   1.00
p_y[103]                                   0.003  0.004   0.000    0.008      0.000    0.000    3550.0    5829.0   1.00
p_y[104]                                   0.002  0.004   0.000    0.007      0.000    0.000    3433.0    6177.0   1.00
p_y[105]                                   0.000  0.000   0.000    0.000      0.000    0.000    2079.0    5109.0   1.00
p_y[106]                                   0.002  0.003   0.000    0.006      0.000    0.000    3347.0    5683.0   1.00
p_y[107]                                   0.000  0.000   0.000    0.000      0.000    0.000    2332.0    4508.0   1.00
p_y[108]                                   0.002  0.004   0.000    0.007      0.000    0.000    3961.0    6773.0   1.00
p_y[109]                                   0.001  0.002   0.000    0.003      0.000    0.000    2538.0    5084.0   1.00
p_y[110]                                   0.003  0.006   0.000    0.011      0.000    0.000    3953.0    6772.0   1.00
p_y[111]                                   0.000  0.000   0.000    0.000      0.000    0.000    2399.0    5135.0   1.00
p_y[112]                                   0.003  0.006   0.000    0.010      0.000    0.000    4272.0    7325.0   1.00
p_y[113]                                   0.002  0.004   0.000    0.006      0.000    0.000    4118.0    7151.0   1.00
p_y[114]                                   0.001  0.002   0.000    0.003      0.000    0.000    2457.0    5200.0   1.00
p_y[115]                                   0.000  0.000   0.000    0.000      0.000    0.000    2114.0    4704.0   1.00
p_y[116]                                   0.001  0.002   0.000    0.003      0.000    0.000    3774.0    5654.0   1.00
p_y[117]                                   0.000  0.000   0.000    0.000      0.000    0.000    2048.0    5000.0   1.00
p_y[118]                                   0.000  0.001   0.000    0.002      0.000    0.000    2906.0    5233.0   1.00
p_y[119]                                   0.000  0.001   0.000    0.002      0.000    0.000    3273.0    6085.0   1.00
p_y[120]                                   0.001  0.002   0.000    0.003      0.000    0.000    2078.0    5342.0   1.00
p_y[121]                                   0.000  0.000   0.000    0.000      0.000    0.000    2186.0    3794.0   1.00
