,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.4473956741731595,0.7311909691887541,0.6563977368549901
any_positive_classifications,0.23897853842185496,0.7324790705033398,0.6576041128308353
n_positive_classifications,0.29486853527449636,0.7410589603010271,0.6617359845496831
any_positive_ground_truth,0.25826345916919907,0.6179842332271668,0.5700432500068003
n_positive_ground_truth,0.27775927044048876,0.6186429018566545,0.5702336588417702
graph_laplacian_frac_pos_classifications_one_iter,0.4544756739670802,0.8151273655318534,0.7362354813263334
graph_laplacian_frac_pos_classifications_five_iter,0.4793740594740446,0.8095433001534027,0.7267864428909502
graph_laplacian_n_positive_ground_truth_one_iter,0.2881315244308918,0.7486293501365492,0.651598754182194
graph_laplacian_n_positive_ground_truth_five_iter,0.3210878845008662,0.7742623943206598,0.6601997932704078
OLS_pred_frac_positive_classifications,0.22080666171498214,0.7430470045195331,0.6747422680412372
OLS_pred_n_positive_ground_truth,0.2170691502931271,0.7619884569612503,0.6770135734298072
RandomForest_pred_frac_positive_classifications,0.4784994241323205,0.7773854810860636,0.6988466664853249
RandomForest_pred_n_positive_ground_truth,0.29781716558333654,0.7332185679202581,0.652631722111906
bayesian_model_p_y,0.5781527720867927,0.8036720346153582,0.6841811060033186
bayesian_model_at_least_one_positive_by_area,0.2739546834165659,0.8896016344612676,0.7997619889562877
