tract_id,empirical_estimate,p_y,p_y_CI_lower,p_y_CI_upper,n_images_by_area
36061000100.0,,0.05576105566317794,1.028809785e-313,0.9999999993227441,0
36061000201.0,0.0,0.0007867992544197425,5.494659769049082e-06,0.00544635287394673,345
36061000600.0,0.0022026431718061676,0.008105892543338553,0.0005978109297446082,0.026525643909413157,908
36061001401.0,0.0,0.00038673141697007535,4.974611402844021e-06,0.0024330314455495434,263
36061001402.0,0.0,0.0002853563853362424,4.417929837116382e-06,0.00184717057731967,711
36061001800.0,0.0,0.00030182978231481524,4.508908335294746e-06,0.0018356620596804184,1791
36061002201.0,0.0,0.00035005038226975055,7.64666644928708e-06,0.002008995125487537,422
36061002601.0,0.0,0.0008779815956123154,1.7146681377915118e-05,0.004970647416398373,164
36061002602.0,0.0,0.001960116134657551,1.3851684808707194e-05,0.013786048611185353,110
36061002800.0,0.0,0.0011499524063703507,7.74777082761548e-06,0.007457852286887076,284
36061003100.0,0.0,0.0005413275255566506,2.2269737985362314e-05,0.002706173519561081,1288
36061003200.0,0.0,0.00027244889542156605,6.157242025531153e-06,0.0015512859592685193,637
36061003300.0,0.00087527352297593,0.0013549938114359092,2.0350317015893672e-05,0.006517662359691177,2285
36061003400.0,0.0,0.0002840730173882015,3.1974456813283173e-06,0.0017925573814882925,678
36061003601.0,0.0,0.0001467901601112082,1.2918353352625042e-06,0.0009473936704090413,669
36061003602.0,0.0014492753623188406,0.00015782430517116553,1.5956503478242933e-06,0.0010781031521538995,690
36061003700.0,0.00034211426616489907,0.000662613497401422,1.4921581677840394e-05,0.00327245197471451,2923
36061003900.0,0.002224199288256228,0.002518318106496573,8.406387064787496e-06,0.011849481130843297,2248
36061004001.0,0.0,0.00015414582684333385,1.0692159048564142e-06,0.0010778923949800157,729
36061004002.0,0.0,0.00012970858808048288,1.1371823961144788e-06,0.0009054693780590366,430
36061004100.0,0.0010548523206751054,0.0003483901685094034,4.87224184872767e-06,0.002204831180555695,948
36061004300.0,0.0,0.0001529109285479896,2.069594281308919e-06,0.0009114875510941137,891
36061004500.0,0.0,0.0005646813502094243,1.1079075483427822e-05,0.003235103892215544,740
36061005200.0,0.0,0.00011098850349132551,1.3187997062098515e-06,0.0007108144726116273,863
36061005400.0,0.0,0.0001939829432937925,3.3679591696518408e-06,0.0011948421932389144,1336
36061005501.0,0.0,0.0001696328062392751,1.048533627953861e-06,0.0011965495813411923,653
36061005502.0,0.0,0.00010183107869735318,1.4333408784530239e-06,0.0006430990344538949,1268
36061005800.0,0.0,0.00013224101082267358,2.0000883326350373e-06,0.000853862153512392,1455
36061006300.0,0.0,0.0001706045364181206,3.011705898421624e-06,0.0010133694649192698,1170
36061006500.0,0.0,0.000599149519456402,1.4948335663373942e-05,0.0032157693530282185,1137
36061006700.0,0.0,0.0005503583284269452,1.2356663263386198e-05,0.0030470496551726284,1123
36061006800.0,0.0,0.00020539581065692866,4.021437404033906e-06,0.0012121945556648303,1122
36061007001.0,0.0,0.0008982900041677594,6.994314984233498e-06,0.006462300539547039,255
36061007002.0,0.001160092807424594,0.0005253599106596598,3.5576604636156753e-06,0.0036231484690282863,862
36061007100.0,0.0,0.00029668946451878953,3.2724064309970662e-06,0.001860799552822823,900
36061007200.0,0.0,0.0002718953454244502,4.293668619395039e-06,0.0016362820566934685,1405
36061007300.0,0.0009587727708533077,0.00023801767568936468,4.002452731330978e-06,0.0014718317544388012,1043
36061007600.0,0.0,0.0001460179202725886,2.0868335081494387e-06,0.0009315385952576328,1030
36061007700.0,0.0030581039755351682,0.001185333831065267,7.3672014034397216e-06,0.0077963883395275905,981
36061007800.0,0.00131521262604121,0.0022195325549759573,5.086331551297515e-05,0.00930703220013875,2281
36061008000.0,0.0,0.00023640906502142323,3.918552419287471e-06,0.0014061701218482515,2116
36061008100.0,0.0008703220191470844,0.0008923454694396183,1.0139780759963208e-05,0.00539799191690972,1149
36061008200.0,0.00215633423180593,0.00020310641063637523,2.440576083443932e-06,0.0013030121306822186,1855
36061008300.0,0.0,0.0012037620075139855,1.9673895194258852e-05,0.006553959618277013,887
36061008400.0,0.0,0.00018369226763140004,3.1459963844659643e-06,0.0011196997657911979,1401
36061008700.0,0.002224694104560623,0.001215803495166882,1.27884071547826e-05,0.0073176623472326315,899
36061008900.0,0.0,0.0005892223983550323,6.933346630214779e-06,0.0035749219580846923,890
36061009100.0,0.0,0.00018543379079795567,2.150620501274616e-06,0.0011525116241290429,1458
36061009200.0,0.0,0.0004292199603183366,7.358370462681207e-06,0.0023729192369995114,1651
36061009300.0,0.0,0.0004938301133140316,7.097959199392191e-06,0.003022967956540628,1040
36061009400.0,0.0032658393207054214,0.0011753794772356308,4.479702557425206e-06,0.008674134496980183,1531
36061009500.0,0.0008756567425569177,0.00032683508588090415,2.6953378603889787e-06,0.002222101139846018,1142
36061009600.0,0.0,0.0005866303026198247,1.224672629507164e-05,0.003245336757995743,1100
36061009700.0,0.0010152284263959391,0.0004506366455972029,6.520750155268452e-06,0.002875037341457497,985
36061009902.0,0.005780346820809248,0.015642792595002453,0.001306449293014504,0.04407124780690075,865
36061010000.0,0.0007072135785007072,0.000637870054992886,7.926853637704375e-06,0.0038723362842202733,1414
36061010100.0,0.0021231422505307855,0.0017457314548436453,1.2755069678013422e-05,0.010671737597690353,942
36061010200.0,0.0007930214115781126,0.0005455188966331755,6.716395491176227e-06,0.003482124058851462,1261
36061010400.0,0.0,0.0003466361546812783,5.180781770226282e-06,0.002093884473090962,1130
36061010801.0,0.00390625,0.0011668744720727744,4.836359811278834e-06,0.008836440953969193,256
36061010802.0,0.0,0.0006396255488569567,2.548690224835723e-06,0.004663807250356894,230
36061010803.0,0.004048582995951417,0.002478289435998105,4.732979617549659e-06,0.017738219583238183,494
36061010900.0,0.0,0.00018915404793568073,2.3445958922788876e-06,0.001153537949065239,1670
36061011201.0,0.0,0.0006355872159253161,7.32865038843148e-06,0.003877274798150601,639
36061011202.0,0.0033222591362126247,0.002255791189002342,1.640335431275297e-05,0.01430900376880506,602
36061011203.0,0.0,0.0006558786967712483,9.22643352621665e-06,0.003929399361323603,648
36061011300.0,0.0,0.0002114320921833175,2.1973136261685157e-06,0.0013586251551527468,919
36061011402.0,0.0,0.0006777872802676617,1.1318826763990757e-05,0.004012823469695227,754
36061011800.0,0.0,0.0012819098721624205,4.349250056441196e-05,0.006459344611837736,687
36061011900.0,0.0,0.00016132923932614962,1.5343186360845088e-06,0.0010745624192007388,953
36061012000.0,0.0013175230566534915,0.0010667815187134122,1.4738408095189779e-05,0.006687970043302351,759
36061012101.0,0.0,0.00021773649437067873,1.1854858205955801e-06,0.001559021940028633,564
36061012102.0,0.0,0.00019584407485885927,1.362850129090851e-06,0.001341228790368198,512
36061012200.0,0.0008665511265164644,0.0009332431094373363,1.0518219595350303e-05,0.005539491637710319,1154
36061012500.0,0.002976190476190476,0.00028044478577643234,2.016503826652552e-06,0.001963890920155075,1008
36061012601.0,0.005154639175257732,0.006197422810620305,5.614451967441607e-05,0.03496487207653868,194
36061012602.0,0.0,0.0011916168347071913,1.0470816510208134e-05,0.007739737696107452,412
36061012700.0,0.0018814675446848542,0.0001343711250837996,1.8771029477810582e-06,0.0008258687093183287,1063
36061013000.0,0.0,0.0006558435893652568,9.470811928709349e-06,0.0039383039342511614,947
36061013100.0,0.002512562814070352,0.0012121349860249229,4.686843778711064e-06,0.008686225105458798,1194
36061013201.0,0.015424164524421594,0.06609748294169279,0.018065443023359187,0.1546076556699757,389
36061013202.0,0.023121387283236993,0.09713434045648277,0.02979185430436128,0.21250450345396799,346
36061013300.0,0.002242152466367713,0.0002604710480328838,2.517049797965988e-06,0.001801758976759114,892
36061013601.0,0.007220216606498195,0.035268466895554074,0.004506647495316543,0.10384857610964365,277
36061013602.0,0.0,0.005775468551043959,0.00010375517620567096,0.02969927558380192,209
36061014801.0,0.0,0.0008238844613551202,1.233459273906175e-05,0.00488516767948699,140
36061014900.0,0.0,0.0007447333938682554,1.1447368601558964e-05,0.00405177416070814,1147
36061015001.0,0.0,0.0006885202404782657,6.89910700759046e-06,0.0046438108934238765,311
36061015002.0,0.0,0.0008281080417640531,9.765759033533777e-06,0.005381303469167358,424
36061015101.0,0.0078125,0.007808570641182668,2.4292176639789113e-05,0.0431053526796022,256
36061015301.0,0.0,0.0007516383964248448,3.095859548352601e-06,0.005293916213593359,347
36061015302.0,0.00228310502283105,0.0005189877172636808,3.5625665958985157e-06,0.003372767710552372,438
36061015401.0,0.0,0.0012461330050400734,1.5426350992627454e-05,0.007822496715529766,131
36061015402.0,0.0,0.0020297112119146855,8.982804150097608e-06,0.013804869868541077,173
36061015403.0,0.0,0.001431217147868107,7.892479963907534e-06,0.010280973167453236,91
36061015501.0,0.0,0.0007186190070873294,7.323011021600348e-06,0.004760538124285669,237
36061015601.0,0.0,0.0021991354987558544,4.8375257162358855e-05,0.011760303835352386,348
36061015602.0,0.0,0.001875129813988214,3.5574556569489215e-05,0.010535560815851051,294
36061015700.0,0.0,0.0004386606076074883,6.872059436881531e-06,0.002648569506155221,861
36061015801.0,0.0,0.0005147357484886237,1.0635549405531832e-05,0.003021029742336411,432
36061015802.0,0.0,0.0005542303106285994,8.80228528051845e-06,0.003380846587469793,194
36061016001.0,0.0,0.0005951939300374623,7.013676969258534e-06,0.0038634253065491686,587
36061016100.0,0.0,0.000407901845679071,4.6117857197847845e-06,0.002627263312373095,592
36061016200.0,0.0004899559039686428,0.002373086180520398,0.000208073660194069,0.008134919771045288,2041
36061016400.0,0.0,0.002383357507936999,5.235871671746513e-05,0.012692520920477882,448
36061016500.0,0.0,0.00039546479766534187,4.589956482223628e-06,0.0025186370077132985,817
36061016600.0,0.0030120481927710845,0.0054559250302690905,0.00012063010884845888,0.025432286595756286,332
36061016900.0,0.0,0.00047411471112522596,4.472373609399825e-06,0.0030962913298605626,666
36061017000.0,0.0,0.002192940716944008,3.384769856339506e-05,0.012243203005602358,397
36061017100.0,0.0,0.002186214432878182,2.8401733006554087e-05,0.01196097198048601,539
36061017200.0,0.0,0.005141730614742283,0.000224259461725996,0.0243796532779806,270
36061017300.0,0.0,0.0004538753237794055,4.0068820461238455e-06,0.00294567047301697,481
36061017401.0,0.0,0.005486464921992651,0.0001570106027135876,0.02590860838298897,302
36061017402.0,0.0,0.004046838632688766,6.710435499802135e-05,0.0237601101160161,149
36061017500.0,0.004048582995951417,0.00882031939097286,5.907937371620314e-05,0.03804909954480362,494
36061017700.0,0.002145922746781116,0.000742164560464035,2.765360666020798e-06,0.005569028162851542,466
36061018000.0,0.002044989775051125,0.0035862294394313422,0.00012636477141796633,0.01691096178793367,489
36061018100.0,0.0,0.0003430095847946516,2.5324114235819715e-06,0.002324193183467158,518
36061018400.0,0.0,0.0005431475843291478,1.1112962274687772e-05,0.0031684924494297965,523
36061018600.0,0.006944444444444444,0.0010477863638486942,1.355189502016171e-05,0.0067254642319465084,144
36061018700.0,0.0,0.0016103470820964887,1.3619520455220368e-05,0.009346171795231801,586
36061019300.0,0.0,0.00027807563510790943,4.500691189938727e-06,0.0016902129610952233,609
36061019600.0,0.0,0.0014383499589236202,3.314727733821013e-05,0.007832930461178863,554
36061019702.0,0.0,0.0006417822142580479,5.59310393164509e-06,0.0044219566845756335,214
36061019900.0,0.0,0.002576052730079487,4.344632279454095e-05,0.014126599403925301,368
36061020500.0,0.004166666666666667,0.013540744813813947,0.000549523789305417,0.047424840594153854,480
36061020600.0,0.0,0.0011208306194120754,2.265420951403577e-05,0.006371917891876636,375
36061020701.0,0.0,0.00033472031712093937,2.281731048845759e-06,0.002267074991752464,86
36061020800.0,0.004901960784313725,0.0008081315603910768,7.788397208231912e-06,0.005654726296940748,204
36061021303.0,0.0,0.0002957988449988781,4.280658711355655e-06,0.00191049156583596,184
36061021500.0,0.0,0.0007175417244839686,1.1260126406099705e-05,0.004455874266533134,106
36061021600.0,0.0,0.0006481224919162587,1.1818399957565667e-05,0.004029284790516806,331
36061021703.0,0.0,0.00021400802275124911,5.106604802983149e-06,0.0011580036507120492,138
36061021800.0,0.0,0.0006681455508701119,1.0468781122455999e-05,0.003971010440508806,434
36061022000.0,0.0,0.0008910744429929946,7.947447609927329e-06,0.005743554897386415,312
36061022102.0,0.0,0.0005501385782139777,6.839544880790739e-06,0.0036820429603812307,164
36061022200.0,0.0,0.0007729555689091304,1.0821322896829685e-05,0.004889399731480462,424
36061022301.0,0.0,0.00154046649035866,8.49369994440404e-06,0.010078748997560191,359
36061022400.0,0.0028653295128939827,0.0010314169342627484,1.1669523805838066e-05,0.006710256149903228,349
36061022600.0,0.0,0.0007229168352391471,6.589424752726901e-06,0.004748414610171247,205
36061022800.0,0.0,0.0005478033651085573,5.209944845388292e-06,0.0035356277212178332,295
36061023100.0,0.0,0.0005135494206788797,1.1194178996209724e-05,0.0029658308214152804,209
36061023400.0,0.0,0.0008898654972104064,1.2153992596851882e-05,0.005764900790321842,124
36061023502.0,0.0,0.00275860478178923,3.462715785414809e-05,0.016821571274462748,44
36061024301.0,0.0,0.0020379386508075303,2.95905695784518e-05,0.012927967068697857,68
36061024900.0,0.0,0.0013855899859946212,8.896939966291921e-06,0.00984586737488083,113
36061025500.0,0.01524390243902439,0.0686189014203191,0.02748176252261529,0.12992783825724802,1312
36061026500.0,0.00782122905027933,0.023939976367715502,0.004667592066870918,0.059072066261038336,895
36061026700.0,0.0,0.0023136318341734786,6.5978682601673115e-06,0.017293806575375124,46
36061026900.0,0.0,0.0015029607077498915,1.7630410515564043e-05,0.009607877925976824,198
36061027100.0,0.0,0.0020384531809483158,3.9008056074219497e-05,0.01180666164815831,201
36061029300.0,0.0,0.0012445519288449437,3.6284987552483483e-06,0.009225226618889526,283
36061029500.0,0.0,0.0013375906666688129,5.977365806267477e-06,0.009796591236838573,90
36005000200.0,0.0,0.0025486219766264664,1.509609801882656e-05,0.017394276613537086,113
36005001600.0,0.0,0.0006651287926336376,6.156317958007618e-06,0.004263439345586623,232
36005001904.0,,0.054812144839385825,0.00013509684724986117,0.45311799953214305,0
36005002002.0,0.0,0.0005242059240965037,4.693460629710011e-06,0.003377619760113328,99
36005002300.0,0.0,0.004711359051033727,5.929298049010151e-05,0.02826065642687848,101
36005002500.0,0.0,0.002960650498995569,4.700474829760788e-05,0.016348919849170238,230
36005002701.0,0.0,0.005622521294047537,2.772943889279972e-05,0.03965767694980777,34
36005002702.0,0.0,0.002531769328892138,7.128930472560338e-05,0.014133466539734756,179
36005003800.0,0.0,0.0009952528085794032,1.5862879800579834e-06,0.007458279798666267,53
36005003900.0,0.0,0.002469417978709777,4.811129843902037e-05,0.013560931207678062,289
