tract_id,empirical_estimate,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,n_images_by_area
36061000100.0,,0.0,0.0,0.0,0
36061000201.0,0.0,0.16355795075208535,0.0018938671943594886,0.8480383687801657,345
36061000600.0,0.0022026431718061676,1.0,1.0,1.0,908
36061001401.0,0.0,0.07891143734208197,0.0013074705677407928,0.4730591427184576,263
36061001402.0,0.0,0.14282712008787507,0.0031362267868752652,0.7314055738708087,711
36061001800.0,0.0,0.2874105576886122,0.008042953996078354,0.9627719142198149,1791
36061002201.0,0.0,0.11426507669649702,0.003221704715057222,0.5720071084159369,422
36061002601.0,0.0,0.11136246042462541,0.002808129661428868,0.5583417613851869,164
36061002602.0,0.0,0.13836240384965645,0.001522535646575504,0.7828171068114054,110
36061002800.0,0.0,0.19117196298275546,0.002197956387537184,0.8806824986548243,284
36061003100.0,0.0,0.37046494494144233,0.02827626862902578,0.9695075502352051,1288
36061003200.0,0.0,0.12810086447623556,0.003914493562005086,0.628027894511397,637
36061003300.0,0.00087527352297593,0.676276151601888,0.04543634388528046,0.9999996757022249,2285
36061003400.0,0.0,0.1316053572185461,0.0021655235009400533,0.7037182599627727,678
36061003601.0,0.0,0.0757752157383419,0.0008638650510730539,0.4695909545769623,669
36061003602.0,0.0014492753623188406,0.08076658159510644,0.0011003937404594462,0.5249296853801348,690
36061003700.0,0.00034211426616489907,0.5890965404048333,0.04267860541383815,0.9999309763822166,2923
36061003900.0,0.002224199288256228,0.7072482358981707,0.01872019669533666,0.9999999999976968,2248
36061004001.0,0.0,0.08144679619322323,0.0007791551122695,0.544430655312114,729
36061004002.0,0.0,0.046778009822831555,0.0004888691728292456,0.3226236217925607,430
36061004100.0,0.0010548523206751054,0.19547357253417003,0.004608245826661281,0.8766200627206044,948
36061004300.0,0.0,0.10174071840474073,0.0018423112698583767,0.5562552437182317,891
36061004500.0,0.0,0.2440586046332271,0.008165044727581389,0.9090874830399565,740
36061005200.0,0.0,0.07602821781519703,0.0011374774784125852,0.45862929300643945,863
36061005400.0,0.0,0.17212343437730468,0.004489492989620161,0.7975502538190917,1336
36061005501.0,0.0,0.08138024294409793,0.0006844584693083467,0.5424251045524843,653
36061005502.0,0.0,0.09759448071627885,0.0018158269241921293,0.5576756548539425,1268
36061005800.0,0.0,0.13673446007898793,0.0029059011063524488,0.7114538199711281,1455
36061006300.0,0.0,0.14141176049169457,0.0035175002575996706,0.6946337542322315,1170
36061006500.0,0.0,0.34683918899411703,0.01685276097769123,0.974324582660932,1137
36061006700.0,0.0,0.32405582952566464,0.013780782111273274,0.9675177216798873,1123
36061006800.0,0.0,0.16187618624539615,0.004501897780431627,0.7435719842160979,1122
36061007001.0,0.0,0.14498711752902227,0.001781966966534973,0.808570213828267,255
36061007002.0,0.001160092807424594,0.22783425277533667,0.0030620112266833365,0.9562308260062915,862
36061007100.0,0.0,0.17131856313093066,0.0029408378464374357,0.8129313615410242,900
36061007200.0,0.0,0.2271673132513166,0.006014457659647416,0.899827255144285,1405
36061007300.0,0.0009587727708533077,0.1638822450633359,0.004165865162360549,0.7848137362293967,1043
36061007600.0,0.0,0.1126631477447183,0.0021471323626083144,0.6170810343766607,1030
36061007700.0,0.0030581039755351682,0.3824558333634654,0.007201197413166114,0.999537205397974,981
36061007800.0,0.00131521262604121,0.7924347779948706,0.10954452129474714,0.9999999994541863,2281
36061008000.0,0.0,0.27183378124807034,0.008257392056511248,0.9490825674879846,2116
36061008100.0,0.0008703220191470844,0.4013323132057705,0.011583060889590813,0.9980089494949184,1149
36061008200.0,0.00215633423180593,0.21314299912823542,0.004517041498672484,0.9109594568885029,1855
36061008300.0,0.0,0.43678148010070383,0.01729953133831614,0.9970692419837545,887
36061008400.0,0.0,0.17132302735474877,0.004397848883401031,0.7918670587357207,1401
36061008700.0,0.002224694104560623,0.41037432247503286,0.011431015290544728,0.99864338876076,899
36061008900.0,0.0,0.279058618321312,0.0061517002229817186,0.9587201342006991,890
36061009100.0,0.0,0.17574845866551114,0.0031306971778105597,0.8138739244949581,1458
36061009200.0,0.0,0.3448978095105192,0.012075216635158198,0.9802053770626175,1651
36061009300.0,0.0,0.2753520299299127,0.0073547244334761066,0.9570899065923585,1040
36061009400.0,0.0032658393207054214,0.4096601598775501,0.006834974552955672,0.9999983879950212,1531
36061009500.0,0.0008756567425569177,0.20066530968030474,0.0030733475523041873,0.9211701071980241,1142
36061009600.0,0.0,0.32777755193602653,0.01338114711037286,0.9720034980882941,1100
36061009700.0,0.0010152284263959391,0.2407115668712505,0.006402376729401069,0.9413396038951771,985
36061009902.0,0.005780346820809248,0.9742968380063812,0.677230707628226,1.0,865
36061010000.0,0.0007072135785007072,0.37703292248867654,0.011146032974641793,0.9958560772067679,1414
36061010100.0,0.0021231422505307855,0.47374452379375637,0.011943456147716126,0.9999591988940685,942
36061010200.0,0.0007930214115781126,0.31579242336482566,0.008433638800024354,0.9877057175201797,1261
36061010400.0,0.0,0.22873864143912911,0.005837195550504384,0.9063854865684443,1130
36061010801.0,0.00390625,0.1652076876217241,0.00123734496234556,0.8969130750759429,256
36061010802.0,0.0,0.10032030186867352,0.000586027717358853,0.6587652914984465,230
36061010803.0,0.004048582995951417,0.3518453076145539,0.002335366239899112,0.9998553695787733,494
36061010900.0,0.0,0.1940668614801757,0.003907824234395879,0.8544914259096823,1670
36061011201.0,0.0,0.23262912344303643,0.004672076494893787,0.9164570297445822,639
36061011202.0,0.0033222591362126247,0.4309904351625355,0.00982630355350259,0.9998294080441407,602
36061011203.0,0.0,0.24719227281831582,0.00596091930734236,0.9220171655610953,648
36061011300.0,0.0,0.13211639376270612,0.0020172959589495666,0.7133305470494778,919
36061011402.0,0.0,0.2793531825076171,0.00849812869738884,0.9517691237407965,754
36061011800.0,0.0,0.41849639241158487,0.02943800373816828,0.9883443423244265,687
36061011900.0,0.0,0.11273842711094244,0.0014611382783880772,0.6410630623387449,953
36061012000.0,0.0013175230566534915,0.35006392802020075,0.011124197566364116,0.9938617762993018,759
36061012101.0,0.0,0.08736755365380211,0.0006683909262777482,0.5852065111596775,564
36061012102.0,0.0,0.07480612222982362,0.0006975363498825854,0.49700249490026643,512
36061012200.0,0.0008665511265164644,0.40364324418545117,0.012064719798401213,0.9983555426086516,1154
36061012500.0,0.002976190476190476,0.16285978109871274,0.0020305734972463326,0.8621443915996481,1008
36061012601.0,0.005154639175257732,0.43965791102028173,0.01083323582588833,0.9989968502071032,194
36061012602.0,0.0,0.24922002348843217,0.004304707060727661,0.9592857078442567,412
36061012700.0,0.0018814675446848542,0.10793855457425706,0.0019933728935152915,0.5844952125718894,1063
36061013000.0,0.0,0.31206806957346245,0.0089288007390162,0.9761730258177801,947
36061013100.0,0.002512562814070352,0.38433289594712855,0.005580475554856052,0.9999700702877592,1194
36061013201.0,0.015424164524421594,1.0,1.0,1.0,389
36061013202.0,0.023121387283236993,1.0,1.0,1.0,346
36061013300.0,0.002242152466367713,0.14765926572942079,0.0022426926437847773,0.7998360623412558,892
36061013601.0,0.007220216606498195,1.0,1.0,1.0,277
36061013602.0,0.0,0.47130859621675925,0.021452507036569805,0.9981658764902025,209
36061014801.0,0.0,0.08977668979952284,0.0017253634796445677,0.49621185170892357,140
36061014900.0,0.0,0.3884373653975393,0.013044381787840138,0.9905034363002708,1147
36061015001.0,0.0,0.13810964725376287,0.00214332946267983,0.7648634705926414,311
36061015002.0,0.0,0.20860902665913425,0.004132141157187303,0.8985139543544939,424
