                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[64]                                    0.002  0.004   0.000    0.009      0.000    0.000    1852.0    3165.0   1.00
p_y[65]                                    0.001  0.001   0.000    0.002      0.000    0.000    1983.0    3863.0   1.00
p_y[66]                                    0.000  0.001   0.000    0.001      0.000    0.000    2717.0    4469.0   1.00
p_y[67]                                    0.001  0.001   0.000    0.002      0.000    0.000    2519.0    4412.0   1.00
p_y[68]                                    0.001  0.002   0.000    0.004      0.000    0.000    3118.0    4890.0   1.00
p_y[69]                                    0.000  0.000   0.000    0.001      0.000    0.000    2547.0    3083.0   1.00
p_y[70]                                    0.001  0.002   0.000    0.004      0.000    0.000    2485.0    4851.0   1.00
p_y[71]                                    0.000  0.001   0.000    0.001      0.000    0.000    2678.0    4019.0   1.00
p_y[72]                                    0.000  0.001   0.000    0.001      0.000    0.000    3069.0    5262.0   1.00
p_y[73]                                    0.001  0.002   0.000    0.003      0.000    0.000    2610.0    3628.0   1.00
p_y[74]                                    0.000  0.001   0.000    0.001      0.000    0.000    2609.0    4791.0   1.00
p_y[75]                                    0.006  0.010   0.000    0.023      0.000    0.000    2867.0    4035.0   1.00
p_y[76]                                    0.001  0.003   0.000    0.004      0.000    0.000    2789.0    3507.0   1.00
p_y[77]                                    0.000  0.000   0.000    0.000      0.000    0.000    2527.0    4286.0   1.00
p_y[78]                                    0.001  0.001   0.000    0.002      0.000    0.000    2635.0    3519.0   1.00
p_y[79]                                    0.001  0.003   0.000    0.005      0.000    0.000    2270.0    4956.0   1.00
p_y[80]                                    0.066  0.036   0.013    0.133      0.001    0.000    3654.0    4842.0   1.00
p_y[81]                                    0.097  0.048   0.023    0.186      0.001    0.001    3669.0    4376.0   1.00
p_y[82]                                    0.000  0.001   0.000    0.001      0.000    0.000    2540.0    4120.0   1.00
p_y[83]                                    0.035  0.027   0.002    0.083      0.000    0.000    3664.0    3384.0   1.00
p_y[84]                                    0.006  0.009   0.000    0.020      0.000    0.000    3891.0    4269.0   1.00
p_y[85]                                    0.001  0.002   0.000    0.003      0.000    0.000    3415.0    4291.0   1.00
p_y[86]                                    0.001  0.001   0.000    0.003      0.000    0.000    2818.0    4524.0   1.00
p_y[87]                                    0.001  0.002   0.000    0.002      0.000    0.000    3489.0    4828.0   1.00
p_y[88]                                    0.001  0.002   0.000    0.003      0.000    0.000    3215.0    4491.0   1.00
p_y[89]                                    0.008  0.012   0.000    0.029      0.000    0.000    2343.0    4267.0   1.00
p_y[90]                                    0.001  0.002   0.000    0.003      0.000    0.000    3577.0    4476.0   1.00
p_y[91]                                    0.001  0.001   0.000    0.002      0.000    0.000    2889.0    3774.0   1.00
p_y[92]                                    0.001  0.003   0.000    0.004      0.000    0.000    3432.0    4121.0   1.00
p_y[93]                                    0.002  0.005   0.000    0.008      0.000    0.000    3945.0    4529.0   1.00
p_y[94]                                    0.001  0.004   0.000    0.005      0.000    0.000    3853.0    5438.0   1.00
p_y[95]                                    0.001  0.002   0.000    0.003      0.000    0.000    2901.0    4805.0   1.00
p_y[96]                                    0.002  0.004   0.000    0.008      0.000    0.000    3652.0    4401.0   1.00
p_y[97]                                    0.002  0.003   0.000    0.007      0.000    0.000    3431.0    3580.0   1.00
p_y[98]                                    0.000  0.001   0.000    0.002      0.000    0.000    3328.0    5332.0   1.00
p_y[99]                                    0.001  0.001   0.000    0.002      0.000    0.000    3019.0    5060.0   1.00
