                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[64]                                    0.002  0.003   0.000    0.007      0.000    0.000   17785.0   13231.0    1.0
p_y[65]                                    0.022  0.018   0.000    0.055      0.000    0.000   17807.0   13662.0    1.0
p_y[66]                                    0.006  0.008   0.000    0.018      0.000    0.000   19410.0   16782.0    1.0
p_y[67]                                    0.000  0.001   0.000    0.001      0.000    0.000   15033.0   15605.0    1.0
p_y[68]                                    0.000  0.001   0.000    0.002      0.000    0.000   12488.0   14136.0    1.0
p_y[69]                                    0.000  0.001   0.000    0.001      0.000    0.000   16925.0   16683.0    1.0
p_y[70]                                    0.000  0.001   0.000    0.002      0.000    0.000   12805.0   15275.0    1.0
p_y[71]                                    0.017  0.018   0.000    0.048      0.000    0.000   16851.0   14892.0    1.0
p_y[72]                                    0.001  0.002   0.000    0.003      0.000    0.000   16521.0   15573.0    1.0
p_y[73]                                    0.001  0.001   0.000    0.002      0.000    0.000   15946.0   13150.0    1.0
p_y[74]                                    0.002  0.004   0.000    0.007      0.000    0.000   14451.0   12323.0    1.0
p_y[75]                                    0.001  0.003   0.000    0.004      0.000    0.000   12071.0   13981.0    1.0
p_y[76]                                    0.001  0.004   0.000    0.005      0.000    0.000   13152.0   11722.0    1.0
p_y[77]                                    0.003  0.004   0.000    0.009      0.000    0.000   14877.0   15558.0    1.0
p_y[78]                                    0.000  0.001   0.000    0.001      0.000    0.000   13560.0   16418.0    1.0
p_y[79]                                    0.001  0.001   0.000    0.002      0.000    0.000   16696.0   17214.0    1.0
p_y[80]                                    0.001  0.002   0.000    0.002      0.000    0.000    9220.0   10314.0    1.0
p_y[81]                                    0.000  0.001   0.000    0.001      0.000    0.000   10895.0   13110.0    1.0
p_y[82]                                    0.000  0.001   0.000    0.001      0.000    0.000   14336.0   16027.0    1.0
p_y[83]                                    0.002  0.003   0.000    0.007      0.000    0.000   12029.0   12115.0    1.0
p_y[84]                                    0.000  0.001   0.000    0.001      0.000    0.000   10993.0   10889.0    1.0
p_y[85]                                    0.002  0.005   0.000    0.009      0.000    0.000   11055.0   14238.0    1.0
p_y[86]                                    0.000  0.001   0.000    0.001      0.000    0.000   11447.0   13314.0    1.0
p_y[87]                                    0.002  0.003   0.000    0.007      0.000    0.000   13810.0   13469.0    1.0
p_y[88]                                    0.004  0.006   0.000    0.013      0.000    0.000   13449.0   13042.0    1.0
p_y[89]                                    0.000  0.001   0.000    0.002      0.000    0.000   12827.0   13562.0    1.0
p_y[90]                                    0.002  0.004   0.000    0.007      0.000    0.000   15573.0   16536.0    1.0
p_y[91]                                    0.001  0.002   0.000    0.002      0.000    0.000   12915.0   13960.0    1.0
p_y[92]                                    0.010  0.010   0.000    0.028      0.000    0.000   13672.0   10385.0    1.0
p_y[93]                                    0.002  0.004   0.000    0.008      0.000    0.000   19271.0   17574.0    1.0
p_y[94]                                    0.006  0.007   0.000    0.017      0.000    0.000   16499.0   14136.0    1.0
p_y[95]                                    0.000  0.001   0.000    0.001      0.000    0.000   12646.0   11485.0    1.0
p_y[96]                                    0.001  0.002   0.000    0.005      0.000    0.000   17229.0   17665.0    1.0
p_y[97]                                    0.002  0.003   0.000    0.006      0.000    0.000   15639.0   16819.0    1.0
p_y[98]                                    0.001  0.002   0.000    0.003      0.000    0.000   13837.0   15932.0    1.0
p_y[99]                                    0.000  0.001   0.000    0.002      0.000    0.000   11196.0   11302.0    1.0
p_y[100]                                   0.001  0.002   0.000    0.003      0.000    0.000   13458.0    8857.0    1.0
p_y[101]                                   0.000  0.001   0.000    0.001      0.000    0.000   13446.0   11628.0    1.0
p_y[102]                                   0.001  0.002   0.000    0.005      0.000    0.000   15323.0   16686.0    1.0
p_y[103]                                   0.002  0.003   0.000    0.006      0.000    0.000   16936.0   17223.0    1.0
p_y[104]                                   0.000  0.001   0.000    0.001      0.000    0.000   15401.0   18319.0    1.0
p_y[105]                                   0.000  0.002   0.000    0.002      0.000    0.000   14966.0   16810.0    1.0
p_y[106]                                   0.001  0.003   0.000    0.005      0.000    0.000   14598.0   18220.0    1.0
p_y[107]                                   0.001  0.002   0.000    0.003      0.000    0.000   13975.0   18246.0    1.0
p_y[108]                                   0.001  0.002   0.000    0.003      0.000    0.000   15840.0   18175.0    1.0
p_y[109]                                   0.001  0.002   0.000    0.003      0.000    0.000   14875.0   17416.0    1.0
p_y[110]                                   0.000  0.001   0.000    0.001      0.000    0.000   14646.0   14841.0    1.0
p_y[111]                                   0.001  0.002   0.000    0.003      0.000    0.000   13146.0   13703.0    1.0
p_y[112]                                   0.002  0.004   0.000    0.008      0.000    0.000   17255.0   17246.0    1.0
p_y[113]                                   0.001  0.003   0.000    0.005      0.000    0.000   15879.0   12827.0    1.0
p_y[114]                                   0.001  0.002   0.000    0.004      0.000    0.000   15894.0   16924.0    1.0
p_y[115]                                   0.001  0.003   0.000    0.004      0.000    0.000   14098.0   15538.0    1.0
p_y[116]                                   0.002  0.004   0.000    0.006      0.000    0.000   15973.0   15202.0    1.0
p_y[117]                                   0.001  0.004   0.000    0.005      0.000    0.000   16016.0   14917.0    1.0
p_y[118]                                   0.000  0.001   0.000    0.001      0.000    0.000   11804.0   12822.0    1.0
p_y[119]                                   0.000  0.001   0.000    0.001      0.000    0.000   12105.0   10504.0    1.0
p_y[120]                                   0.058  0.023   0.019    0.101      0.000    0.000   15123.0   14846.0    1.0
p_y[121]                                   0.014  0.010   0.000    0.032      0.000    0.000    8999.0    4250.0    1.0
p_y[122]                                   0.001  0.002   0.000    0.003      0.000    0.000   17747.0   19257.0    1.0
p_y[123]                                   0.002  0.004   0.000    0.008      0.000    0.000   17758.0   19191.0    1.0
p_y[124]                                   0.001  0.004   0.000    0.005      0.000    0.000   17156.0   16178.0    1.0
p_y[125]                                   0.004  0.007   0.000    0.014      0.000    0.000   19023.0   19465.0    1.0
p_y[126]                                   0.029  0.059   0.000    0.111      0.000    0.001   17086.0   18545.0    1.0
p_y[127]                                   0.002  0.004   0.000    0.006      0.000    0.000   16768.0   18067.0    1.0
p_y[128]                                   0.004  0.008   0.000    0.015      0.000    0.000   18274.0   15545.0    1.0
p_y[129]                                   0.002  0.003   0.000    0.005      0.000    0.000   17849.0   18457.0    1.0
p_y[130]                                   0.003  0.006   0.000    0.009      0.000    0.000   18300.0   17826.0    1.0
p_y[131]                                   0.001  0.003   0.000    0.005      0.000    0.000   13899.0   10470.0    1.0
p_y[132]                                   0.001  0.002   0.000    0.003      0.000    0.000   13190.0    7420.0    1.0
p_y[133]                                   0.001  0.002   0.000    0.004      0.000    0.000   18292.0   19826.0    1.0
p_y[134]                                   0.004  0.008   0.000    0.014      0.000    0.000   18177.0   18058.0    1.0
p_y[135]                                   0.001  0.002   0.000    0.004      0.000    0.000   19123.0   16659.0    1.0
p_y[136]                                   0.003  0.004   0.000    0.009      0.000    0.000   18743.0   19477.0    1.0
p_y[137]                                   0.001  0.003   0.000    0.005      0.000    0.000   14577.0   13084.0    1.0
p_y[138]                                   0.003  0.004   0.000    0.009      0.000    0.000   19164.0   19328.0    1.0
p_y[139]                                   0.049  0.036   0.001    0.112      0.000    0.000   19554.0   17072.0    1.0
p_y[140]                                   0.005  0.006   0.000    0.014      0.000    0.000   18231.0   16088.0    1.0
p_y[141]                                   0.001  0.003   0.000    0.005      0.000    0.000   16881.0   17445.0    1.0
p_y[142]                                   0.002  0.005   0.000    0.008      0.000    0.000   18980.0   20122.0    1.0
p_y[143]                                   0.009  0.009   0.000    0.025      0.000    0.000   16310.0   13722.0    1.0
p_y[144]                                   0.004  0.010   0.000    0.015      0.000    0.000   16907.0   13458.0    1.0
p_y[145]                                   0.002  0.004   0.000    0.007      0.000    0.000   17278.0   15402.0    1.0
p_y[146]                                   0.001  0.002   0.000    0.003      0.000    0.000   15104.0   16697.0    1.0
p_y[147]                                   0.002  0.007   0.000    0.009      0.000    0.000   17641.0   21759.0    1.0
p_y[148]                                   0.004  0.008   0.000    0.014      0.000    0.000   18450.0   17852.0    1.0
p_y[149]                                   0.058  0.057   0.000    0.161      0.000    0.001   15220.0   10754.0    1.0
p_y[150]                                   0.001  0.002   0.000    0.003      0.000    0.000   17349.0   18918.0    1.0
p_y[151]                                   0.002  0.006   0.000    0.008      0.000    0.000   16518.0   15810.0    1.0
p_y[152]                                   0.003  0.007   0.000    0.010      0.000    0.000   14626.0   16074.0    1.0
p_y[153]                                   0.001  0.003   0.000    0.003      0.000    0.000   12145.0   16258.0    1.0
p_y[154]                                   0.001  0.003   0.000    0.003      0.000    0.000   12947.0   16926.0    1.0
p_y[155]                                   0.003  0.006   0.000    0.010      0.000    0.000   18470.0   16618.0    1.0
p_y[156]                                   0.000  0.001   0.000    0.001      0.000    0.000   11417.0   14821.0    1.0
p_y[157]                                   0.004  0.008   0.000    0.015      0.000    0.000   18210.0   13132.0    1.0
p_y[158]                                   0.001  0.003   0.000    0.004      0.000    0.000   16028.0   15486.0    1.0
p_y[159]                                   0.001  0.003   0.000    0.005      0.000    0.000   17289.0   15153.0    1.0
p_y[160]                                   0.001  0.003   0.000    0.005      0.000    0.000   14496.0   11441.0    1.0
p_y[161]                                   0.001  0.004   0.000    0.005      0.000    0.000   13915.0   16977.0    1.0
p_y[162]                                   0.004  0.007   0.000    0.014      0.000    0.000   15393.0   17878.0    1.0
p_y[163]                                   0.002  0.005   0.000    0.007      0.000    0.000   14899.0   17517.0    1.0
p_y[164]                                   0.001  0.001   0.000    0.002      0.000    0.000   10300.0   17125.0    1.0
p_y[165]                                   0.001  0.002   0.000    0.003      0.000    0.000   10647.0   13847.0    1.0
p_y[166]                                   0.000  0.001   0.000    0.001      0.000    0.000   10163.0   10512.0    1.0
p_y[167]                                   0.000  0.001   0.000    0.001      0.000    0.000   10198.0   14805.0    1.0
p_y[168]                                   0.000  0.001   0.000    0.001      0.000    0.000   12802.0   17866.0    1.0
p_y[169]                                   0.000  0.001   0.000    0.001      0.000    0.000   11666.0   15438.0    1.0
p_y[170]                                   0.000  0.001   0.000    0.002      0.000    0.000   12325.0   16993.0    1.0
p_y[171]                                   0.004  0.007   0.000    0.016      0.000    0.000   20849.0   19341.0    1.0
p_y[172]                                   0.000  0.001   0.000    0.002      0.000    0.000   12583.0   17692.0    1.0
p_y[173]                                   0.002  0.004   0.000    0.008      0.000    0.000   17396.0   19237.0    1.0
p_y[174]                                   0.000  0.001   0.000    0.001      0.000    0.000   12109.0   17741.0    1.0
p_y[175]                                   0.000  0.001   0.000    0.001      0.000    0.000   12588.0   15395.0    1.0
p_y[176]                                   0.000  0.001   0.000    0.002      0.000    0.000   11092.0   14610.0    1.0
p_y[177]                                   0.000  0.002   0.000    0.001      0.000    0.000   11605.0   13118.0    1.0
p_y[178]                                   0.000  0.001   0.000    0.001      0.000    0.000   11671.0   16419.0    1.0
p_y[179]                                   0.000  0.001   0.000    0.001      0.000    0.000   11129.0   15368.0    1.0
p_y[180]                                   0.003  0.013   0.000    0.015      0.000    0.000   11508.0   18340.0    1.0
p_y[181]                                   0.003  0.007   0.000    0.012      0.000    0.000    9307.0   15904.0    1.0
p_y[182]                                   0.001  0.002   0.000    0.004      0.000    0.000   11941.0   19055.0    1.0
p_y[183]                                   0.000  0.001   0.000    0.000      0.000    0.000    9717.0   14978.0    1.0
p_y[184]                                   0.000  0.001   0.000    0.001      0.000    0.000   13316.0   18469.0    1.0
p_y[185]                                   0.000  0.000   0.000    0.000      0.000    0.000   12163.0   17142.0    1.0
p_y[186]                                   0.000  0.001   0.000    0.001      0.000    0.000    9946.0   13678.0    1.0
p_y[187]                                   0.000  0.002   0.000    0.001      0.000    0.000   10317.0   16570.0    1.0
p_y[188]                                   0.000  0.002   0.000    0.001      0.000    0.000   11305.0   15694.0    1.0
p_y[189]                                   0.000  0.000   0.000    0.000      0.000    0.000   10863.0   15049.0    1.0
p_y[190]                                   0.000  0.001   0.000    0.002      0.000    0.000    9330.0   15370.0    1.0
p_y[191]                                   0.001  0.003   0.000    0.004      0.000    0.000   10441.0    9694.0    1.0
p_y[192]                                   0.000  0.001   0.000    0.002      0.000    0.000   10993.0   16494.0    1.0
p_y[193]                                   0.001  0.003   0.000    0.003      0.000    0.000   11704.0   14867.0    1.0
p_y[194]                                   0.000  0.001   0.000    0.001      0.000    0.000   10254.0   15718.0    1.0
p_y[195]                                   0.000  0.001   0.000    0.001      0.000    0.000   11595.0   17248.0    1.0
p_y[196]                                   0.001  0.002   0.000    0.002      0.000    0.000    9658.0   14251.0    1.0
p_y[197]                                   0.001  0.002   0.000    0.003      0.000    0.000   16139.0   20411.0    1.0
p_y[198]                                   0.001  0.002   0.000    0.002      0.000    0.000    8957.0   12059.0    1.0
p_y[199]                                   0.000  0.001   0.000    0.001      0.000    0.000   13097.0   18417.0    1.0
p_y[200]                                   0.002  0.006   0.000    0.009      0.000    0.000   10173.0   13138.0    1.0
p_y[201]                                   0.000  0.002   0.000    0.002      0.000    0.000   10024.0   13867.0    1.0
p_y[202]                                   0.001  0.002   0.000    0.002      0.000    0.000   10047.0   14554.0    1.0
p_y[203]                                   0.000  0.001   0.000    0.001      0.000    0.000    9166.0   11350.0    1.0
p_y[204]                                   0.003  0.006   0.000    0.011      0.000    0.000   14175.0   19295.0    1.0
p_y[205]                                   0.000  0.001   0.000    0.001      0.000    0.000   14599.0   11700.0    1.0
