,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.6274212063233396,0.75493762993763,0.6878557136072376
any_positive_classifications,0.2653274767093036,0.7539214709873393,0.6888717601351614
n_positive_classifications,0.2976829393678734,0.7629128437511672,0.6924532268236283
any_positive_ground_truth,0.27139626384998505,0.6219297371991983,0.5685481045476842
n_positive_ground_truth,0.2702386326901469,0.6221226984700039,0.5686415341134703
graph_laplacian_frac_pos_classifications_one_iter,0.636751093383077,0.8217240155862912,0.746612529423825
graph_laplacian_frac_pos_classifications_five_iter,0.6658085720346835,0.8243149874886402,0.7434028345492153
graph_laplacian_n_positive_ground_truth_one_iter,0.28328057363308534,0.7152296239122586,0.6363539631005121
graph_laplacian_n_positive_ground_truth_five_iter,0.31210780646448566,0.7551694946904527,0.6686754023310677
OLS_pred_frac_positive_classifications,0.25104389097136115,0.748543453633274,0.681999496518451
OLS_pred_n_positive_ground_truth,0.21098625507603502,0.7663487992829311,0.6856756904055622
RandomForest_pred_frac_positive_classifications,0.6507035121973941,0.8066294645635964,0.7307165269116079
RandomForest_pred_n_positive_ground_truth,0.285537836571227,0.7568454566957561,0.6624221095876901
bayesian_model_p_y,0.7078216926602273,0.8200356044667423,0.6955766291131718
bayesian_model_at_least_one_positive_by_area,0.30039621369902225,0.8860968292106017,0.8006803489075228
