                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[64]                                    0.004  0.006   0.000    0.014      0.000    0.000    4863.0    6818.0   1.00
p_y[65]                                    0.001  0.002   0.000    0.004      0.000    0.000    5284.0    5861.0   1.00
p_y[66]                                    0.001  0.001   0.000    0.002      0.000    0.000    5698.0    5956.0   1.00
p_y[67]                                    0.001  0.002   0.000    0.004      0.000    0.000    5849.0    7474.0   1.00
p_y[68]                                    0.002  0.002   0.000    0.005      0.000    0.000    6750.0    8559.0   1.00
p_y[69]                                    0.000  0.001   0.000    0.002      0.000    0.000    4905.0    5417.0   1.00
p_y[70]                                    0.002  0.003   0.000    0.006      0.000    0.000    6183.0    9181.0   1.00
p_y[71]                                    0.001  0.001   0.000    0.002      0.000    0.000    5034.0    6999.0   1.00
p_y[72]                                    0.001  0.002   0.000    0.003      0.000    0.000    5744.0    9229.0   1.00
p_y[73]                                    0.002  0.002   0.000    0.005      0.000    0.000    7480.0    8649.0   1.00
p_y[74]                                    0.001  0.002   0.000    0.003      0.000    0.000    4499.0    6368.0   1.00
p_y[75]                                    0.013  0.017   0.000    0.043      0.000    0.000    7248.0    9334.0   1.00
p_y[76]                                    0.002  0.004   0.000    0.008      0.000    0.000    6890.0    8126.0   1.00
p_y[77]                                    0.000  0.001   0.000    0.002      0.000    0.000    4496.0    6929.0   1.00
p_y[78]                                    0.001  0.002   0.000    0.004      0.000    0.000    6814.0    8533.0   1.00
p_y[79]                                    0.003  0.004   0.000    0.010      0.000    0.000    3826.0    7260.0   1.00
p_y[80]                                    0.067  0.036   0.013    0.133      0.000    0.000    5851.0    8073.0   1.00
p_y[81]                                    0.101  0.049   0.024    0.192      0.001    0.001    6578.0    8301.0   1.00
p_y[82]                                    0.001  0.002   0.000    0.003      0.000    0.000    4605.0    6220.0   1.00
p_y[83]                                    0.027  0.023   0.000    0.067      0.000    0.000    6504.0    6884.0   1.00
p_y[84]                                    0.007  0.010   0.000    0.023      0.000    0.000    6655.0    6261.0   1.00
p_y[85]                                    0.002  0.004   0.000    0.006      0.000    0.000    6459.0    8367.0   1.00
p_y[86]                                    0.001  0.001   0.000    0.003      0.000    0.000    5182.0    6359.0   1.00
p_y[87]                                    0.002  0.003   0.000    0.006      0.000    0.000    6497.0    8417.0   1.00
p_y[88]                                    0.002  0.003   0.000    0.006      0.000    0.000    6975.0    9396.0   1.00
p_y[89]                                    0.006  0.012   0.000    0.026      0.000    0.000    4155.0    7108.0   1.00
p_y[90]                                    0.002  0.004   0.000    0.007      0.000    0.000    6582.0    7194.0   1.00
p_y[91]                                    0.001  0.003   0.000    0.005      0.000    0.000    5227.0    6945.0   1.00
p_y[92]                                    0.003  0.006   0.000    0.011      0.000    0.000    6685.0    9632.0   1.00
p_y[93]                                    0.003  0.007   0.000    0.011      0.000    0.000    6043.0    7676.0   1.00
p_y[94]                                    0.003  0.008   0.000    0.010      0.000    0.001    6996.0    8134.0   1.00
p_y[95]                                    0.001  0.003   0.000    0.005      0.000    0.000    4250.0    5615.0   1.00
p_y[96]                                    0.002  0.003   0.000    0.006      0.000    0.000    6395.0    7879.0   1.00
p_y[97]                                    0.002  0.004   0.000    0.007      0.000    0.000    6074.0    8624.0   1.00
p_y[98]                                    0.001  0.002   0.000    0.004      0.000    0.000    5659.0    6727.0   1.00
