OBJECTID,CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape__Area,Shape__Length,geometry,n_total,n_classified_positive,n_tp,n_fp,n_tn,n_fn,total_not_annotated,positives_not_annotated,negatives_not_annotated,area,ft_elevation_min,ft_elevation_max,ft_elevation_mean,n_floodnet_sensors,catch_basin_density,has_clogged_cb_complaint,cb_avg_resolution_time,dep_moderate_1_area,dep_moderate_2_area,dep_moderate_1_frac,dep_moderate_2_frac,n_311_reports
1,1.0,1,Manhattan,100,1000100,0,The Battery-Governors Island-Ellis Island-Liberty Island,MN0191,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),36061000100,4121,1842845.89553833,10832.20394743328,"MULTIPOLYGON (((972081.3848451903 190736.47337597783, 972184.3624708647 190554.1421053007, 972398.138693033 190686.22697649896, 972384.5639215285 190712.0229406646, 972406.7694919411 190724.48235539568, 972448.490083253 190654.3487368407, 972424.752530137 190641.76053786938, 972409.6466914564 190666.93693399528, 972195.0130472411 190535.78590082412, 972181.3852417374 190373.31748462675, 972146.8050393073 190218.68647168964, 972054.1996154063 190151.6404352189, 971940.3074428577 190127.56864977683, 971829.7310042933 190156.5826292945, 971416.2647287016 190423.40127320192, 971270.1088705362 190651.48731236227, 971083.2184566624 190527.0286641599, 971013.0846505755 190637.804318701, 971053.0070209617 190662.26129492492, 971095.8064697642 190597.16271158386, 971245.3906638719 190690.06190422614, 971159.9810362508 190823.3493424923, 971184.8896710176 190839.9483455516, 971183.4524739126 190907.4933417046, 971164.7808384177 190940.85736140527, 971161.5362697222 190946.65515298882, 971153.0172340529 190967.1746200389, 971151.3273917536 190989.327880055, 971156.6355383709 191010.9020793511, 971168.4114517504 191029.7422057048, 971190.4910376967 191044.77906982045, 971216.5064312718 191050.846581377, 971445.368719316 191068.45138896667, 971452.1950753727 191077.43381283234, 971494.5902865183 191070.9665886734, 971531.7165150553 191053.15341487565, 971879.414159293 190877.13697198496, 972081.3848451903 190736.47337597783)), ((973172.263118184 194635.35497481417, 973310.2271383802 194505.05533162007, 973329.6017754778 194521.27194918136, 973792.8884397539 194071.61104657542, 973685.6384219662 193960.70623641054, 973649.0182437743 193716.28840152995, 973435.2589854877 193716.85577814525, 973340.9567846493 193624.22135768246, 973176.7775485822 193780.55957945524, 973087.3047499018 193875.47219315893, 972813.730469577 194142.25904188177, 972673.6156391278 194000.6456065193, 973182.2479566647 193473.6521094589, 972697.3194691108 193018.80502068292, 972139.3545600135 193590.13910117853, 972149.5777672821 193600.27270945706, 972144.1323314726 193606.05310593118, 972408.3953759526 193874.25519293806, 972336.0331769764 193946.70521729958, 972853.8242782067 194490.61311560322, 972936.3614672236 194408.8212928569, 973071.8161408639 194538.896945014, 973078.5907391564 194545.40231759948, 973172.263118184 194635.35497481417)))",0,0,0,0,0,0,0,0,0,1842846.6205119742,0.0,19.0,8.153328995879418,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
2,2.01,1,Manhattan,201,1000201,0,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),36061000201,4103,972312.1403503418,4754.49524738668,"POLYGON ((988547.8180459075 197773.38284207846, 987978.4079630935 197701.25341645032, 987963.4733185096 198049.61145587062, 987963.2077543146 198055.38825142686, 987962.1939595153 198077.4090687204, 987961.2063489738 198094.2690573704, 987958.8933594202 198121.1950879903, 987925.0122987434 198511.74875282048, 987922.0085130869 198541.07334349933, 987905.3534757252 198703.66437845214, 987887.2804688985 198880.11820909698, 987884.7902943384 198904.42802826272, 987882.6300760132 198925.51921888866, 987874.024908255 199009.53363948595, 987848.1120539724 199259.9470791541, 987837.4110625813 199277.02569548602, 987825.405261441 199292.38550041293, 987802.6148456326 199496.6627616617, 987807.3800435541 199522.92076260832, 988171.061510279 199562.35315414978, 988221.8193325693 199567.8853833376, 988245.7223523138 199570.4785852394, 988312.5335834794 199577.47517063736, 988340.5003925138 199353.08914090745, 988376.3303562165 199331.62594193922, 988391.9996174526 199073.3060672777, 988399.3343986458 199008.51705325485, 988401.1843750563 198992.17604665764, 988421.7863742455 198810.19621406533, 988448.8884374482 198570.69476387434, 988467.977252415 198399.6983318065, 988490.5426311832 198207.78270624919, 988495.8644105956 198172.46769702574, 988498.3674632944 198157.34672241367, 988501.0544150367 198139.3476955463, 988503.7382540106 198121.3461051528, 988547.8180459075 197773.38284207846))",345,0,0,0,0,0,345,0,345,972312.5228759922,0.0,37.0,10.417680668712306,0,1.4398662642531393e-05,0,0.0,0.0,0.0,0.0,0.0,0
3,6.0,1,Manhattan,600,1000600,0,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),36061000600,4103,2582705.157470703,6976.286214765538,"POLYGON ((986960.7849056397 199556.6515180964, 987205.7385699406 199457.7411054742, 987381.6757987468 199476.76851922803, 987464.0713835247 199485.7093193281, 987668.5990108865 199507.87772575015, 987807.3800435541 199522.92076260832, 987802.6148456326 199496.6627616617, 987825.405261441 199292.38550041293, 987837.4110625813 199277.02569548602, 987848.1120539724 199259.9470791541, 987874.024908255 199009.53363948595, 987882.6300760132 198925.51921888866, 987884.7902943384 198904.42802826272, 987887.2804688985 198880.11820909698, 987905.3534757252 198703.66437845214, 987922.0085130869 198541.07334349933, 987925.0122987434 198511.74875282048, 987958.8933594202 198121.1950879903, 987961.2063489738 198094.2690573704, 987962.1939595153 198077.4090687204, 987963.2077543146 198055.38825142686, 987963.4733185096 198049.61145587062, 987978.4079630935 197701.25341645032, 987530.790445253 197644.65836033787, 987528.4364409696 197641.28317646362, 987468.2118199975 197633.78115906307, 987452.7152348467 197636.2825629101, 987443.5268172937 197644.30618482945, 987438.6466281341 197651.75918908996, 987399.9894470691 197919.81240238715, 987397.5622004558 197921.587243966, 987391.4154096589 197922.71621129158, 987383.4868191539 197925.7810310082, 987377.4952406322 197932.57143743418, 987372.1972046504 197941.18783303176, 987355.463009527 197939.67940938417, 987327.3842077604 197935.3506113074, 987200.0790075476 197915.752398099, 987171.5201641947 197911.48640519794, 987139.9637616543 197905.9428240871, 987092.652351289 197896.7124131604, 986978.1263284434 197875.42639480237, 986879.4449131957 197854.83501819088, 986803.225904584 197838.6588042738, 986725.958921982 197826.89140463222, 986647.429671119 197813.44077711992, 986549.978480718 197793.36758911575, 986531.9046857595 197789.64718988538, 986493.7440340726 197778.83798255693, 986489.575636946 197789.36575548985, 986483.2006353238 197802.0289657898, 986474.4310407006 197822.6063621811, 986465.8712240158 197841.16599690667, 986454.1802418473 197870.19920540974, 986463.7706367583 197872.356982023, 986492.6074341214 197881.41417458135, 986513.407242757 197885.92778695142, 986528.6544380644 197888.56261457034, 986517.186049461 197975.18219915993, 986490.5302157104 198169.43943881674, 986473.929012796 198283.750251856, 986467.0190371544 198321.7336575924, 986461.3334272107 198352.98470116864, 986429.8950004026 198525.78893350466, 986424.5301913487 198555.27770868476, 986422.4050072888 198573.35071023245, 986419.6528087273 198598.82471420395, 986410.39999731 198666.0617266985, 986406.8529984148 198704.32333082365, 986400.0171794469 198778.06315225668, 986397.1036037294 198809.49418866413, 986393.2793830201 198850.7473705052, 986358.8535872067 199114.24742138147, 986341.0749520441 199322.6692759029, 986337.5675650979 199356.8948684882, 986311.452136762 199550.4441001884, 986429.9787710137 199562.0127094797, 986682.0682362828 199586.38912557662, 986812.4584589163 199610.9691513486, 986960.7849056397 199556.6515180964))",902,2,1,0,1,0,900,1,899,2582706.1734739183,0.0,41.0,10.160654182384963,0,2.2069874066754974e-05,0,0.0,22123.7754654228,28743.307693393675,0.008566121726369204,0.011129143527283995,1
4,14.01,1,Manhattan,1401,1001401,0,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),36061001401,4103,1006116.5843048096,5075.331999779842,"POLYGON ((987474.6159781564 200300.226508944, 987705.0422345756 200209.52129768924, 987930.6256555165 200120.51207053819, 988167.4953336834 200027.32004257163, 988285.8153656243 199980.2860402383, 988404.41414519 199933.14083181514, 988613.4097941678 199850.04682748698, 988868.511043526 199749.16784787, 988962.1722567868 199713.88903512235, 989113.7765360981 199663.90563128845, 989082.1446940814 199658.93040967753, 988929.1476554894 199634.86680175381, 988489.1711908745 199595.90016727772, 988312.5335834794 199577.47517063736, 988245.7223523138 199570.4785852394, 988221.8193325693 199567.8853833376, 988171.061510279 199562.35315414978, 987807.3800435541 199522.92076260832, 987668.5990108865 199507.87772575015, 987464.0713835247 199485.7093193281, 987381.6757987468 199476.76851922803, 987205.7385699406 199457.7411054742, 986960.7849056397 199556.6515180964, 986958.7344892861 199588.24954671442, 986960.3814613217 199619.9781296859, 986965.6996987436 199651.19236939735, 987089.9055240904 199974.70220245406, 987256.0567283205 200395.99709020962, 987474.6159781564 200300.226508944))",259,0,0,0,0,0,259,0,259,1006116.9800693684,24.0,43.0,34.84716287389446,0,1.2920962728512636e-05,0,0.0,0.0,0.0,0.0,0.0,1
5,14.02,1,Manhattan,1402,1001402,0,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),36061001402,4103,1226206.247177124,4459.15601869865,"POLYGON ((988387.2687167446 201261.3202922484, 988620.601345873 201168.14468265855, 988852.5366358983 201074.47047673626, 988686.2051948218 200653.35259096403, 988675.7935725168 200625.1763766077, 988671.3845754237 200613.24497764322, 988656.346365657 200572.84616553606, 988641.9365737636 200540.11959614285, 988636.761585314 200527.30916867402, 988620.2471789921 200486.43037595777, 988536.2415533364 200281.53232282607, 988404.41414519 199933.14083181514, 988285.8153656243 199980.2860402383, 988167.4953336834 200027.32004257163, 987930.6256555165 200120.51207053819, 987705.0422345756 200209.52129768924, 987474.6159781564 200300.226508944, 987589.464990891 200598.9659510834, 987599.2624163807 200624.4507586542, 987609.543606552 200651.19356209013, 987708.834573673 200886.93421204571, 987732.9424258154 200944.1720170172, 987744.0610183403 200977.1248436865, 987753.4211879215 201001.27163825012, 987922.1118206321 201446.8911158448, 988155.0972817139 201354.43370703454, 988387.2687167446 201261.3202922484))",705,0,0,0,1,0,704,0,704,1226206.729536266,13.0,42.0,27.55303709743172,0,3.5883019510617245e-05,0,0.0,3811.6326496919487,7439.195281827488,0.003108474744004589,0.006066836123661534,0
6,18.0,1,Manhattan,1800,1001800,0,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),36061001800,4103,2399276.864349365,6391.9211744871145,"POLYGON ((987061.8740318833 201784.69535613502, 987099.1704263692 201769.48215842785, 987136.4636470296 201754.26896076248, 987267.3002829998 201707.14316187522, 987477.9559054495 201623.32094700867, 987702.9491773577 201534.12196149264, 987922.1118206321 201446.8911158448, 987753.4211879215 201001.27163825012, 987744.0610183403 200977.1248436865, 987732.9424258154 200944.1720170172, 987708.834573673 200886.93421204571, 987609.543606552 200651.19356209013, 987599.2624163807 200624.4507586542, 987589.464990891 200598.9659510834, 987474.6159781564 200300.226508944, 987256.0567283205 200395.99709020962, 987035.5092578733 200491.90933400523, 986826.8416118937 200575.18351416377, 986695.6246046338 200627.0339233461, 986660.1621949072 200641.1379289553, 986627.2913994791 200654.212149306, 986406.0943319871 200741.94793885958, 986163.8967107793 200838.12257224007, 985960.5504770752 200918.98836584482, 985688.900823208 201032.98776990047, 985802.2892013702 201397.20964679573, 985847.7276215738 201540.9068810152, 985866.1989979887 201599.3216879865, 985892.6455948969 201683.71873912448, 985901.2588159747 201711.9509226797, 985957.6914387423 201898.1895474897, 985969.3262054931 201936.58658907897, 986043.768656446 202190.06564512925, 986062.7590168653 202182.52523892908, 986264.6838635217 202103.41542707098, 986401.4257132454 202049.83918766098, 986604.2337388376 201969.45258114082, 986847.1336306358 201874.13457639204, 987061.8740318833 201784.69535613502))",1783,0,0,0,1,0,1782,0,1782,2399277.8081235765,8.0,45.0,36.39463920963775,0,3.917845598443449e-05,1,2.6666666666666665,0.0,0.0,0.0,0.0,0
7,22.01,1,Manhattan,2201,1002201,0,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),36061002201,4103,1740173.8758087158,5779.062607242036,"POLYGON ((990139.4044275158 201571.5136426004, 990129.4668652548 201546.5432394179, 990050.1514259024 201347.22459427817, 989955.52024983 201109.41772088394, 989946.8306125426 201087.06511611163, 989933.5870196493 201052.9979092985, 989921.0792056548 201020.8230979178, 989914.6524470624 201004.29208862834, 989901.6673991159 200970.89028722898, 989894.1652009446 200951.59108884327, 989881.243812684 200918.3534720474, 989874.90543301 200902.04926945432, 989861.8700310575 200868.51746312183, 989855.1781967535 200851.30426373688, 989835.633394618 200801.02825228567, 989828.4646315546 200782.58745253328, 989816.916839625 200752.8830395992, 989810.3582450829 200736.0122474986, 989803.2741988314 200717.78983157946, 989796.7005896772 200699.31326524715, 989739.310018593 200559.57580924974, 989723.6665839998 200522.9841878105, 989710.2041799732 200490.20958379886, 989685.654616364 200430.44156589961, 989672.1922123613 200397.66696187403, 989641.5985806283 200323.184951685, 989633.8017657001 200304.20295308062, 989395.2325632033 200399.76375585957, 989159.334076614 200493.64456570594, 988933.5240324987 200568.29996922414, 988975.15703341 200665.37420834534, 988989.1750405633 200698.05963998818, 989035.427243703 200805.90445022113, 989047.8592521292 200834.8920661792, 989073.9966455959 200895.83604870975, 989085.6382486346 200922.97985322765, 989106.9260931347 200972.61707063668, 988852.5366358983 201074.47047673626, 988620.601345873 201168.14468265855, 988387.2687167446 201261.3202922484, 988552.4355458431 201680.6735902583, 988722.3041579602 202104.10769969283, 988733.4849454572 202131.97867718543, 988961.0175855791 202040.86947410312, 989193.0284370868 201948.43885972406, 989430.8559402077 201853.7372489728, 989771.1853566933 201719.21184195127, 989887.7218189156 201673.14701696826, 990139.4044275158 201571.5136426004))",422,0,0,0,0,0,422,0,422,1740174.560339333,9.0,28.0,17.288703650474275,0,1.9538269766091754e-05,1,0.0,14976.604512296803,16900.033062507904,0.008606380562980057,0.009711688383269095,1
8,26.01,1,Manhattan,2601,1002601,0,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),36061002601,4103,1141217.5272369385,4521.251066375303,"POLYGON ((990654.7591152382 202505.6178458414, 990546.2807060952 202313.30957718738, 990529.0985136745 202282.81158483186, 990512.4490972448 202252.6907898262, 990500.2015369112 202230.53355852634, 990489.4439059892 202211.07237275367, 990477.9174761088 202190.21995131424, 990458.6373219878 202155.33932863086, 990445.064688221 202130.78512414906, 990431.9230847768 202107.0105219258, 990405.6873021646 202061.41651803645, 990336.9324705963 201936.35008508145, 990327.495457536 201919.43827728723, 990312.5390955308 201892.63651374407, 990303.462067871 201876.370274901, 990293.791656313 201859.04068136177, 990283.9284957153 201841.36526257306, 989625.287913703 202206.65352301073, 989455.2206778368 202300.850130791, 989360.4001010137 202353.36954749914, 988971.7097717631 202568.65717605318, 989093.5302237009 202789.70342683018, 989216.0202314538 203009.80827122566, 989341.0024271278 203231.84011797595, 989558.0968946933 203112.207532501, 989580.3047241187 203099.96949362193, 989822.5259670222 202966.53850527902, 989837.568145517 202958.25231021811, 989853.2297699354 202949.62486757225, 989869.9417485807 202940.4188726267, 989885.2937416115 202931.96226739933, 989992.810182917 202872.73508606627, 990028.4900000842 202852.94846211656, 990045.6148206097 202843.45206183483, 990062.310380815 202834.19345455052, 990079.0177818324 202824.92868270603, 990097.0487915229 202814.92965784296, 990113.7232335464 202805.6824641396, 990129.503632419 202796.93185251416, 990146.8920028047 202787.28884578403, 990165.329445696 202777.0640518114, 990182.7884337764 202767.38204359112, 990200.9190528877 202757.3278429514, 990217.8330579399 202747.94844705192, 990234.3354418196 202738.796651285, 990253.4618496863 202728.1902654969, 990271.2962651073 202718.30024945605, 990290.419255021 202707.69563365568, 990654.7591152382 202505.6178458414))",164,0,0,0,0,0,164,0,164,1141217.9761376097,2.0,20.0,12.165177006659656,1,2.8040217267083596e-05,1,2.0,13959.509600230944,14519.520872738247,0.012232115066637968,0.01272282874642299,1
9,26.02,1,Manhattan,2602,1002602,0,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),36061002602,4103,1114857.1178894043,4491.203219581926,"POLYGON ((991014.6653555827 203156.51715469063, 990921.8269633106 202992.0763236328, 990910.833797683 202972.60451773863, 990892.8643737106 202940.77632489966, 990875.9533605654 202910.15290526155, 990849.3193845843 202861.92291449066, 990829.3111419755 202825.69127833753, 990785.0163358698 202745.480262693, 990769.4753180208 202717.33828893543, 990682.5495244551 202557.0944193012, 990654.7591152382 202505.6178458414, 990290.419255021 202707.69563365568, 990271.2962651073 202718.30024945605, 990253.4618496863 202728.1902654969, 990234.3354418196 202738.796651285, 990217.8330579399 202747.94844705192, 990200.9190528877 202757.3278429514, 990182.7884337764 202767.38204359112, 990165.329445696 202777.0640518114, 990146.8920028047 202787.28884578403, 990129.503632419 202796.93185251416, 990113.7232335464 202805.6824641396, 990097.0487915229 202814.92965784296, 990079.0177818324 202824.92868270603, 990062.310380815 202834.19345455052, 990045.6148206097 202843.45206183483, 990028.4900000842 202852.94846211656, 989992.810182917 202872.73508606627, 989885.2937416115 202931.96226739933, 989869.9417485807 202940.4188726267, 989853.2297699354 202949.62486757225, 989837.568145517 202958.25231021811, 989822.5259670222 202966.53850527902, 989580.3047241187 203099.96949362193, 989558.0968946933 203112.207532501, 989341.0024271278 203231.84011797595, 989457.3878807276 203443.68836874017, 989583.0526937888 203664.06640659383, 989624.629481868 203741.65522926502, 989646.6792896703 203782.8040417365, 989700.7370975732 203883.68467848437, 990353.8428273149 203522.38280778436, 990603.1755219594 203384.33939200614, 990823.7599194571 203262.21236030877, 991014.6653555827 203156.51715469063))",107,0,0,0,0,0,107,0,107,1114857.5564801195,2.0,15.0,8.42780269058296,0,3.408507192611708e-05,1,0.0,85282.78507501022,120085.37997709625,0.07649657535108703,0.10771365299459013,0
10,28.0,1,Manhattan,2800,1002800,0,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),36061002800,4103,1973678.467895508,5627.554836577085,"POLYGON ((991650.5154830354 204302.33362248976, 991511.4720670675 204055.7447635994, 991381.400027 203821.6438835338, 991344.5904514168 203755.00568572944, 991334.0674396638 203735.95508351756, 991318.6350033917 203708.01769961076, 991282.9836311103 203643.4774636783, 991267.1674057203 203614.8452554115, 991253.729842762 203590.5194445635, 991196.302832627 203486.5556162336, 991169.9084196754 203438.77240291584, 991133.5298134155 203372.91460075518, 991051.7804121334 203224.08699334276, 991029.9906141118 203184.41755125497, 991014.6653555827 203156.51715469063, 990823.7599194571 203262.21236030877, 990603.1755219594 203384.33939200614, 990353.8428273149 203522.38280778436, 989700.7370975732 203883.68467848437, 989745.9800850087 203965.36407823942, 989818.8962941298 204097.00430410475, 989940.0707499129 204316.32496855388, 990070.4247724904 204548.82440791096, 990198.6365827342 204782.15087367553, 990331.7268119577 205014.2631059843, 990339.6073671639 205032.47191106417, 990475.0300033884 204957.15848470895, 990650.7954826835 204859.40889790436, 990847.0654829012 204751.67505683113, 990953.4751122635 204699.89288425897, 990993.5649034501 204679.05145068638, 991650.5154830354 204302.33362248976))",261,0,0,0,0,0,261,0,261,1973679.2442364937,2.0,18.0,8.193808269152818,0,2.938674061115587e-05,0,0.0,108231.68966424938,130798.89706598305,0.054837527415007185,0.06627160793626416,0
