geoid,tract_id,empirical_estimate,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,n_images_by_area
36061000100.0,36061000100.0,,0.0,0.0,0.0,0
36061000201.0,36061000201.0,0.0,0.2543329970491735,0.002940594886292594,0.9655287829080439,345
36061000600.0,36061000600.0,0.0022172949002217295,1.0,1.0,1.0,902
36061001401.0,36061001401.0,0.0,0.1952435869658521,0.0036928071655529526,0.8791522563063844,259
36061001402.0,36061001402.0,0.0,0.2730665026721459,0.007165993766882544,0.9495668585668343,705
36061001800.0,36061001800.0,0.0,0.38135944775565783,0.013821158888963191,0.9900168290531692,1783
36061002201.0,36061002201.0,0.0,0.20992466975448096,0.006158393080044469,0.847105793920891,422
36061002601.0,36061002601.0,0.0,0.11209093979294435,0.0017428815137613268,0.6279105119496453,164
36061002602.0,36061002602.0,0.0,0.0717140306248232,0.00038131757093355645,0.500952528931661,107
36061002800.0,36061002800.0,0.0,0.12452373904451215,0.0005880927372867911,0.7650592028993668,261
36061003100.0,36061003100.0,0.0,0.43576352186529554,0.03239093319728403,0.9913282744982176,1285
36061003200.0,36061003200.0,0.0,0.18201036547852928,0.004770263958212786,0.7908318725885782,628
36061003300.0,36061003300.0,0.000877963125548727,0.5325471995593768,0.016851494790292996,0.9999913248532479,2278
36061003400.0,36061003400.0,0.0,0.17920214356861594,0.0024549553942716518,0.8504638409353018,674
36061003601.0,36061003601.0,0.0,0.20129628420068466,0.003453147144063318,0.8914752414881187,669
36061003602.0,36061003602.0,0.001451378809869376,0.21427174742520533,0.00351112372315483,0.9439918307916136,689
36061003700.0,36061003700.0,0.0003429355281207133,0.4636795760915553,0.01813876295920248,0.9992093119905998,2916
36061003900.0,36061003900.0,0.002234137622877569,0.7161933532629622,0.011518664510283775,0.9999999999990395,2238
36061004001.0,36061004001.0,0.0,0.1826673332862278,0.0018602144602933386,0.8767444587174458,728
36061004002.0,36061004002.0,0.0,0.10838512688091598,0.0012145059799285346,0.6569531874728014,428
36061004100.0,36061004100.0,0.001059322033898305,0.37161523083174747,0.012566744958563131,0.9954598159729553,944
36061004300.0,36061004300.0,0.0,0.2241639959343821,0.004787923082047732,0.8980222933369363,891
36061004500.0,36061004500.0,0.0,0.2617167264907231,0.007988016093159281,0.9398332588078069,737
36061005200.0,36061005200.0,0.0,0.1718312179365621,0.0033878795785863306,0.7966413279765477,861
36061005400.0,36061005400.0,0.0,0.24657294331626686,0.007193341383022306,0.9064361733731501,1336
36061005501.0,36061005501.0,0.0,0.16049068980866918,0.0016170287204152506,0.8355425175123259,649
36061005502.0,36061005502.0,0.0,0.22600444273384657,0.005610390742078672,0.891313793238275,1265
36061005800.0,36061005800.0,0.0,0.26967762852564675,0.0073872931807588025,0.9457329396546958,1450
36061006300.0,36061006300.0,0.0,0.22989389986700007,0.006240120031449831,0.8967005672025834,1162
36061006500.0,36061006500.0,0.0,0.22953209002887426,0.006043046538704197,0.8953385924276089,1134
36061006700.0,36061006700.0,0.0,0.2640225962199359,0.006733157392242522,0.9447348338733482,1113
36061006800.0,36061006800.0,0.0,0.2355215051975937,0.007037123892690067,0.9026363490650955,1122
36061007001.0,36061007001.0,0.0,0.24261945144186894,0.003252902462832269,0.9570688371168399,252
36061007002.0,36061007002.0,0.0011614401858304297,0.3510598510290149,0.005722051884637741,0.9973835133865065,861
36061007100.0,36061007100.0,0.0,0.23851084118872332,0.004945042097889482,0.9259784880987544,882
36061007200.0,36061007200.0,0.0,0.3052854713792167,0.00980290328215828,0.9651945187657573,1404
