,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.6531400428030381,0.7074271209191368,0.6551476347117794
any_positive_classifications,0.2781825970174411,0.7074487171819868,0.655858395989975
n_positive_classifications,0.2650046367946847,0.7136950208985374,0.6581257832080201
any_positive_ground_truth,0.24773235917504827,0.6144768056136993,0.5690358709273182
n_positive_ground_truth,0.20238165434495156,0.6150316634438397,0.5691637949039264
graph_laplacian_frac_pos_classifications_one_iter,0.661701191818954,0.7803410880529476,0.7157078895154554
graph_laplacian_frac_pos_classifications_five_iter,0.6866831053418061,0.7884463316255673,0.7207772034252298
graph_laplacian_n_positive_ground_truth_one_iter,0.21347420261299102,0.691844586647529,0.6154905492898914
graph_laplacian_n_positive_ground_truth_five_iter,0.23285615646232374,0.7141468811673943,0.640125704887218
OLS_pred_frac_positive_classifications,0.24758356581183855,0.7746081108918259,0.6737886382623224
OLS_pred_n_positive_ground_truth,0.20826214945471724,0.7950182405358531,0.6895715852130325
RandomForest_pred_frac_positive_classifications,0.6651859738777142,0.7892271195901361,0.7185985797827903
RandomForest_pred_n_positive_ground_truth,0.22603862354924845,0.7629195489371317,0.6432859492481203
bayesian_model_p_y,0.6998852214638493,0.7988324728053213,0.6732965225563908
bayesian_model_at_least_one_positive_by_area,0.28699699487929775,0.8945471097555302,0.7996044799498747
