,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.6133855754914684,0.7354020373695309,0.6629392183134432
any_positive_classifications,0.2926900953330323,0.7350824254160438,0.6639856562697992
n_positive_classifications,0.37570886980065565,0.7433328006467442,0.6667023701949543
any_positive_ground_truth,0.32189616995300674,0.6293754719759852,0.5692687398082655
n_positive_ground_truth,0.3570756827311128,0.6298016212473013,0.5693829910987858
graph_laplacian_frac_pos_classifications_one_iter,0.618344204337833,0.8002252950927032,0.7246972340801213
graph_laplacian_frac_pos_classifications_five_iter,0.6312536527589363,0.8018249215854005,0.7286810986819556
graph_laplacian_n_positive_ground_truth_one_iter,0.3701478395131458,0.7369703293569847,0.6561633377995202
graph_laplacian_n_positive_ground_truth_five_iter,0.4001101206182135,0.7623982803623522,0.6724305144424018
OLS_pred_frac_positive_classifications,0.258383185088477,0.768485008005966,0.6660214065372511
OLS_pred_n_positive_ground_truth,0.2318847541953155,0.7782895746967603,0.6726804391404148
RandomForest_pred_frac_positive_classifications,0.6271125198903063,0.8031566380582633,0.7118154010739621
RandomForest_pred_n_positive_ground_truth,0.38522040800791524,0.7548403976975405,0.6442318678008704
bayesian_model_p_y,0.7029555818559865,0.8024547451408015,0.6719598770240655
bayesian_model_at_least_one_positive_by_area,0.3359067138646744,0.8851277037761214,0.7893816408562616
