,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.5880199855620489,0.7768586133491417,0.6745810878275452
any_positive_classifications,0.25848289349508097,0.7756123521327908,0.6760519207875165
n_positive_classifications,0.28721868064504363,0.7826469914580583,0.6783509773550609
any_positive_ground_truth,0.22220364903399834,0.6268677076877476,0.5703836454639717
n_positive_ground_truth,0.18387344786413934,0.627204535043518,0.5704348493964337
graph_laplacian_frac_pos_classifications_one_iter,0.5963295430750144,0.8200584058634907,0.736162137252141
graph_laplacian_frac_pos_classifications_five_iter,0.623409821199634,0.8248194605373069,0.7402962147492929
graph_laplacian_n_positive_ground_truth_one_iter,0.1916553309089402,0.7280556977715502,0.6501779336653054
graph_laplacian_n_positive_ground_truth_five_iter,0.21113687333527864,0.7420390854463637,0.6500480036866831
OLS_pred_frac_positive_classifications,0.22499545278866806,0.752091697879335,0.6539971069778159
OLS_pred_n_positive_ground_truth,0.2024785799639806,0.776649780388564,0.6800035842752724
RandomForest_pred_frac_positive_classifications,0.5967818960175441,0.8025248578588559,0.7120143627030555
RandomForest_pred_n_positive_ground_truth,0.20495637397436656,0.7318247958826224,0.6462614728811173
bayesian_model_p_y,0.6458141214436551,0.8177730322545875,0.6932999654373457
bayesian_model_at_least_one_positive_by_area,0.2693126493141569,0.8828312360216647,0.802197928800932
