,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.37172136508513304,0.7051864565347495,0.657630254074861
any_positive_classifications,0.21161681164800383,0.7059345527588413,0.6594267699552072
n_positive_classifications,0.26396310012537255,0.7167690497974121,0.6629617419530504
any_positive_ground_truth,0.24135761501001,0.6367812257083697,0.5778134292898824
n_positive_ground_truth,0.2799778262693357,0.6375895135826757,0.5780016230039454
graph_laplacian_frac_pos_classifications_one_iter,0.37360412395066106,0.7683446952238785,0.7202427031557818
graph_laplacian_frac_pos_classifications_five_iter,0.3801028291164694,0.7734179914562251,0.7180070686092885
graph_laplacian_n_positive_ground_truth_one_iter,0.2912666076118999,0.7676378732742194,0.6615990059100834
graph_laplacian_n_positive_ground_truth_five_iter,0.31609204601031604,0.7932709174583302,0.6790129306432755
OLS_pred_frac_positive_classifications,0.20296815567129034,0.7555187144439324,0.6639220637776485
OLS_pred_n_positive_ground_truth,0.19660327726299584,0.7898554712490283,0.6831071449545398
RandomForest_pred_frac_positive_classifications,0.3792490159207854,0.778008034725423,0.6989948320137529
RandomForest_pred_n_positive_ground_truth,0.2917457843146721,0.7424433682559555,0.6636818164830999
bayesian_model_p_y,0.5232319656497556,0.7981584794557298,0.6719890340457111
bayesian_model_at_least_one_positive_by_area,0.2649087936200749,0.8730351725608624,0.7938784989349036
