BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,empirical_estimate,p_y,p_y_CI_lower,p_y_CI_upper,n_images_by_area,empirical_estimate_p_alop,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,n_children,n_elderly,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,n_catch_basins,catch_basin_density,cb_days_clogged,has_clogged_cb_complaint,cb_avg_resolution_time,dep_moderate_1_area,dep_moderate_1_frac,dep_moderate_2_area,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Queens,4088400,Howard Beach-Lindenwood,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),4410,0.0067114093959731,0.0181541053936199,0.0016593586872245,0.0650301793738612,298,0.0067114093959731,1.0,1.0,1.0,9190,6231,591,2001,167,2003,2452,3268,2913,2756,98921.0,2453,1127,654,239,0.0,46.0,5.657014707949449,16672299.58002524,7.0,425.0,2.549138455436491e-05,42.0,1,2.210526315789474,410713.777654689,0.024634500818756712,484478.8364494335,0.02905890900796182,36081088400,2,2,2,0,0
Bronx,2018301,Concourse-Concourse Village,BX04 Highbridge-Concourse (CD 4 Approximation),4204,0.0,0.0006387097698619,4.482968361865687e-06,0.0042718468685551,27,0.0,0.015820078181423,0.000121033091983,0.1091568681483927,4427,643,1334,2058,122,921,991,2017,1714,1736,54226.0,694,693,439,339,49.0,89.0,71.68020022246941,719418.5438350494,0.0,22.0,3.058025149410693e-05,2.0,1,2.0,0.0,0.0,0.0,0.0,36005018301,0,0,0,0,0
Bronx,2019500,Concourse-Concourse Village,BX04 Highbridge-Concourse (CD 4 Approximation),4204,0.0,0.0011258071667974,1.4778914906628212e-05,0.0069968149517708,78,0.0,0.0708966264524207,0.0011520997039881,0.4217042016251841,7286,483,2973,3580,56,1987,796,2672,2117,2146,37374.0,1622,534,233,524,18.0,104.0,53.318858874021714,2376402.2716526357,0.0,58.0,2.4406642213679046e-05,2.0,1,2.0,4320.459940751557,0.001818067585732004,4320.459940751557,0.001818067585732004,36005019500,0,0,0,0,0
Bronx,2005902,Concourse-Concourse Village,BX04 Highbridge-Concourse (CD 4 Approximation),4204,0.0,0.002031651664929,9.138773690369168e-06,0.014287002022526,32,0.0,0.050913034965066,0.0002923993373549,0.3690201816717738,3044,763,701,1506,62,508,489,1286,984,1159,46902.0,588,463,285,236,39.0,83.0,61.92533995815899,764814.8644845173,0.0,12.0,1.569007162025801e-05,2.0,1,2.0,2173.218334630441,0.0028414959430674547,9075.843847003965,0.011866719997814183,36005005902,0,0,0,0,0
Staten Island,5014604,Great Kills-Eltingville,SI03 South Shore (CD 3 Approximation),4503,0.0,0.0007445101605362,1.39412868133341e-06,0.0055806808197422,31,0.0,0.0200176683463647,4.321708536053904e-05,0.1592707760544146,6718,5548,17,353,800,1597,1574,2329,2134,2010,122083.0,1451,823,1006,164,28.0,82.0,58.84077775399661,12148246.172609773,0.0,202.0,1.6627914608401857e-05,59.0,1,5.9,629097.8290251173,0.0517850741651517,952736.0867433243,0.07842581334015318,36085014604,0,0,1,0,0
Staten Island,5014605,Great Kills-Eltingville,SI03 South Shore (CD 3 Approximation),4503,0.0,0.0002202686066937,2.2366660253860215e-07,0.0015833625749846,19,0.0,0.0039557488422983,4.249656893143273e-06,0.029659007813814,3890,3480,2,148,201,708,695,1290,1226,1063,143125.0,1003,634,450,21,12.0,93.0,56.493667154483525,9498217.645726683,0.0,300.0,3.1584873203550165e-05,5.0,1,2.5,272137.07733587705,0.028651383605461336,414123.2005028092,0.04360009592843203,36085014605,0,0,0,0,0
Staten Island,5005901,West New Brighton-Silver Lake-Grymes Hill,SI01 North Shore (CD 1 Equivalent),4501,0.0,0.0001380961154345,5.5949049822195664e-08,0.0009231698676274,7,0.0,0.0009498614203161,3.91643282729448e-07,0.0064443194891798,3075,1913,193,845,56,555,441,1125,1032,968,93977.0,533,712,553,21,136.0,266.0,194.64277734386584,10114994.580772499,0.0,48.0,4.7454301252165535e-06,0.0,0,0.0,12467.461556585424,0.0012325722428249944,18562.364540690676,0.0018351334143051057,36085005901,0,0,0,0,0
Brooklyn,3051200,Flatbush,BK14 Flatbush-Midwood (CD 14 Approximation),4314,0.0,0.0103748376391344,0.0001545839076259,0.0635660199323125,42,0.0,0.245806786283339,0.0064719918475833,0.9366070534722616,5991,1165,3051,1251,279,842,779,2317,2010,2137,82240.0,1319,852,835,294,20.0,53.0,40.38115788075952,1506254.6700118042,0.0,11.0,7.302881922293921e-06,0.0,0,0.0,1366.9917197433508,0.0009075435561853813,1366.9917197433508,0.0009075435561853813,36047051200,1,0,0,0,0
Queens,4032900,East Elmhurst,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),4403,0.0043103448275862,0.0108941290235558,0.0003784210028071,0.0490491170147152,232,0.0043103448275862,0.6860668699620911,0.0840653761344025,0.9999914360055736,3823,187,827,1606,1100,893,514,1107,1089,1085,71680.0,1137,290,214,183,17.0,46.0,25.02037474212552,4703534.163788245,1.0,132.0,2.8064003662660054e-05,27.0,1,1.8,191889.69235027116,0.040796916885944855,232002.0204204367,0.049325042051694454,36081032900,11,5,0,0,0
Bronx,2016600,Throgs Neck-Schuylerville,BX10 Co-op City-Throgs Neck (CD 10 Approximation),4210,0.0,0.0005497380437538,3.1321148399320617e-06,0.0036218541593195,46,0.0,0.0228835382774068,0.0001440671296069,0.1537223077724505,2387,521,327,1300,126,678,222,833,803,770,107344.0,366,352,136,42,8.0,60.0,29.35244037174238,3077496.9471403644,0.0,82.0,2.6645030493432357e-05,5.0,1,5.0,0.0,0.0,0.0,0.0,36005016600,0,0,0,0,0
Brooklyn,3050600,Flatbush (West)-Ditmas Park-Parkville,BK14 Flatbush-Midwood (CD 14 Approximation),4314,0.0232558139534883,0.0422588011111147,0.0022921178623999,0.1809459342450999,43,0.0232558139534883,1.0,1.0,1.0,5675,1474,1546,1497,746,898,986,2079,1961,1999,69977.0,797,974,602,294,38.0,57.0,48.97397391746175,1771606.7477586747,1.0,38.0,2.14494554438084e-05,3.0,1,0.42857142857142855,0.0,0.0,0.0,0.0,36047050600,22,16,2,0,0
Queens,4049900,Elmhurst,QN04 Elmhurst-Corona (CD 4 Approximation),4404,0.0,0.0011083852473488,2.1707305286370244e-05,0.0066034036054646,195,0.0,0.1516504675164615,0.0042240240821933,0.725261071682107,5289,650,27,932,3494,1071,606,1519,1374,1411,85759.0,796,740,435,318,27.0,124.0,66.86417390253239,4961670.65559836,0.0,95.0,1.9146776679506014e-05,2.0,1,0.4,99708.34593156783,0.020095720343522753,139261.6930711355,0.028067500392030962,36081049900,0,0,0,0,0
Queens,4050700,Middle Village,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),4405,0.0,0.0003858549366653,3.5313827580338387e-06,0.0025122575588842,408,0.0,0.1099877847958282,0.0014397692456242,0.6416663623180663,3267,1588,0,664,998,418,724,1250,1122,1119,98274.0,732,665,365,110,59.0,135.0,106.11534140556736,4005737.394416047,0.0,103.0,2.5713118424483056e-05,0.0,0,0.0,0.0,0.0,0.0,0.0,36081050700,0,0,0,0,0
Bronx,2001902,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),4221,0.0014513788098693,0.0027075567137006,0.0001042995186377,0.0124454773068597,689,0.0014513788098693,1.0,1.0,1.0,1979,93,343,961,0,225,70,566,446,495,76429.0,204,76,108,109,6.0,54.0,21.41412164699836,5059224.386292756,0.0,119.0,2.3521391998823667e-05,0.0,0,0.0,31947.96479089966,0.006314794986650147,76097.73639668178,0.015041383932852969,36005001902,0,0,0,0,0
Brooklyn,3006300,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),4306,0.0379746835443038,0.0591946206384515,0.0023530381958057,0.2271911042050917,79,0.0379746835443038,1.0,1.0,1.0,2038,1393,9,286,114,430,148,940,918,908,184091.0,128,739,528,5,0.0,45.0,30.713242093582394,1081261.1518077333,0.0,35.0,3.236960834252149e-05,0.0,0,0.0,0.0,0.0,0.0,0.0,36047006300,0,0,0,0,0
Brooklyn,3005100,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),4306,0.0,0.0009674301836326,2.132615296333944e-05,0.0055889041823398,239,0.0,0.1612128528510829,0.0050840372200162,0.7380219993083627,2425,1820,14,184,168,481,313,1012,991,974,173125.0,54,987,644,9,4.0,31.0,15.26604712573634,1969090.9039902757,0.0,82.0,4.1643582748683985e-05,0.0,0,0.0,0.0,0.0,0.0,0.0,36047005100,0,0,0,0,0
Brooklyn,3005900,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),4306,0.0,0.0034609356075121,0.0001704046678816,0.014862933768051,818,0.0,0.733057432178041,0.1301225123143365,0.9999952107452208,1463,922,109,362,16,238,199,628,555,575,99896.0,156,414,301,0,0.0,26.0,10.040362245296276,3843227.1949504744,0.0,125.0,3.252474903493464e-05,1.0,1,0.2,112648.87179834148,0.029311010274476662,144594.4003391574,0.0376231726631037,36047005900,2,6,2,0,0
Staten Island,5021300,Port Richmond,SI01 North Shore (CD 1 Equivalent),4501,0.0,0.0002082756413323,2.077086598971064e-07,0.0014691580632106,32,0.0,0.0062696735164159,6.646655719563799e-06,0.0459580413179786,5391,1145,1169,2820,175,1349,513,1540,1462,1405,83009.0,1335,542,647,98,10.0,75.0,34.335511414171364,8432872.96920986,0.0,148.0,1.7550365165036663e-05,8.0,1,4.0,26130.532099652097,0.003098651218281125,45460.52426023793,0.005390870279467459,36085021300,1,0,0,0,0
Staten Island,5024700,Port Richmond,SI01 North Shore (CD 1 Equivalent),4501,0.0,0.0001199389397157,6.127545768340712e-08,0.0008999059223047,38,0.0,0.0042922560046841,2.3284647530485983e-06,0.0336332138842082,2943,1049,740,789,308,802,344,853,739,753,82853.0,806,220,164,88,22.0,72.0,35.08599095442421,5174185.33472924,0.0,122.0,2.357859104526725e-05,0.0,0,0.0,101536.01928884618,0.01962357602603337,194949.7500615983,0.03767738058261877,36085024700,0,0,0,0,0
Bronx,2005100,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),4221,0.0057971014492753,0.0185975114872212,0.0015891094034897,0.0663507579043909,345,0.0057971014492753,1.0,1.0,1.0,6795,82,2430,4056,0,2091,1275,2621,2289,2242,25468.0,1082,256,87,609,0.0,50.0,16.050465120496128,5514200.8642411735,0.0,113.0,2.0492543304468522e-05,22.0,1,7.333333333333333,159077.63816447163,0.028848720255380614,196994.40015934836,0.03572492279648891,36005005100,1,3,0,0,0
Brooklyn,3035400,Coney Island-Sea Gate,BK13 Coney Island-Brighton Beach (CD 13 Approximation),4313,0.0116279069767441,0.03633046089115,0.0035003023086871,0.1263278003757169,172,0.0116279069767441,0.9215900696536924,0.4528915009625815,0.999999999918352,5366,5165,16,101,15,720,2266,2845,2514,2368,50559.0,1113,975,1455,1545,1.0,27.0,8.21830516837301,4053667.0629766057,0.0,55.0,1.3567961834441709e-05,0.0,0,0.0,8053.025229420002,0.0019866025266284866,8053.025229420002,0.0019866025266284866,36047035400,0,0,0,0,0
Brooklyn,3036600,Brighton Beach,BK13 Coney Island-Brighton Beach (CD 13 Approximation),4313,0.005,0.009290766036591,0.0002742013199,0.0445720752951716,200,0.005,0.5984118900900262,0.0533707708243034,0.9998904566240208,4369,1781,171,953,883,1094,709,1359,1242,1214,48278.0,639,502,319,756,3.0,28.0,8.353651752364302,2516459.251757441,0.0,85.0,3.377761827084537e-05,0.0,0,0.0,57370.134731821665,0.022797958954334587,63746.997031325955,0.025332020372198127,36047036600,1,0,0,0,0
Queens,4003900,Queensbridge-Ravenswood-Dutch Kills,QN01 Astoria-Queensbridge (CD 1 Equivalent),4401,0.0,0.001419346976059,3.3007732329745577e-06,0.0103577830079669,83,0.0,0.0779687291982672,0.0002739271056059,0.5786027259514146,1474,236,56,996,151,290,111,541,474,514,56201.0,307,137,197,94,8.0,32.0,17.850401669934847,1580667.956475136,0.0,41.0,2.5938401441014428e-05,0.0,1,0.0,15021.624648415178,0.009503339766508051,15307.66019161648,0.009684298418848393,36081003900,2,0,0,0,0
Queens,4034700,East Elmhurst,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),4403,0.0013020833333333,0.0036958282660031,0.0002388249643676,0.0148830960240682,768,0.0013020833333333,1.0,1.0,1.0,3636,269,256,2482,607,900,412,953,828,898,75583.0,622,378,142,385,10.0,62.0,32.53136531365314,4118368.415582611,0.0,86.0,2.0882056028451228e-05,0.0,0,0.0,112638.43867683504,0.02735025799310392,250989.09975214515,0.060943819111102665,36081034700,0,0,0,0,0
Bronx,2015700,Crotona Park East,BX03 Morrisania-Crotona Park East (CD 3 Approximation),4263,0.0,0.0063725138170634,0.0001459785011535,0.0341560227633842,121,0.0,0.373233783433761,0.0175095820444558,0.9850808494154404,5959,32,2485,2900,23,1789,654,2267,2042,2046,45731.0,1133,498,213,369,0.0,87.0,38.09100639215103,3362929.951910409,1.0,45.0,1.338118861929802e-05,16.0,1,16.0,46524.14291859942,0.013834407372110157,65364.21026762767,0.019436685034279602,36005015700,0,0,0,0,0
Manhattan,1031703,Financial District-Battery Park City,MN01 Financial District-Tribeca (CD 1 Equivalent),4121,0.0,0.002545193806552,2.5176647168030236e-05,0.0144318057853737,438,0.0,0.4242984611734421,0.0109669301702714,0.998283018128386,5960,4207,145,124,903,1571,606,2584,2481,2536,250001.0,281,1373,2119,110,0.0,29.0,4.050052721331962,2649757.5344046084,0.0,37.0,1.3963541765459598e-05,0.0,0,0.0,1906.46881738291,0.0007194880258398009,1906.46881738291,0.0007194880258398009,36061031703,0,0,0,0,0
Staten Island,5029106,New Springville-Willowbrook-Bulls Head-Travis,SI02 Mid-Island (CD 2 Approximation),4502,0.0,0.0010349395394914,5.056016187542857e-07,0.0073630220431249,24,0.0,0.0194653866965334,1.2134368294799967e-05,0.1625270405331263,3064,1885,344,611,204,718,534,1042,906,978,114000.0,559,601,383,25,12.0,50.0,33.14930286599535,4648177.806831161,0.0,81.0,1.742618362855202e-05,0.0,0,0.0,229777.4332777206,0.04943387340734467,247952.56600918606,0.0533440363758857,36085029106,0,0,0,0,0
Brooklyn,3001300,Downtown Brooklyn-DUMBO-Boerum Hill,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),4302,0.0018726591760299,0.0013390515654708,2.444528399525034e-05,0.0077559776149705,534,0.0018726591760299,0.3407292444116735,0.0129691080540952,0.9843586448431324,2408,1460,285,173,383,146,458,1248,1223,1199,173000.0,47,586,1105,48,29.0,85.0,61.12524480384105,3166938.529169857,0.0,99.0,3.126047414186806e-05,0.0,1,0.0,0.0,0.0,0.0,0.0,36047001300,0,0,1,0,0
Staten Island,5013203,Great Kills-Eltingville,SI03 South Shore (CD 3 Approximation),4503,0.0,0.0005182771147685,5.312693001847952e-07,0.003653015406564,29,0.0,0.0130996550707061,1.5406695112168967e-05,0.1006935413241271,7288,5569,20,957,538,1421,1310,2303,2170,2021,123693.0,1548,1573,582,99,17.0,94.0,52.99732108343297,11124067.59178458,0.0,185.0,1.663060732718196e-05,4.0,1,0.6666666666666666,353192.54924747726,0.031750305932006326,469887.1788818114,0.04224059005438223,36085013203,1,0,0,0,0
